股票代码,股票简称,报告期,上下游关系比率,现金比率,核心利润率%,核心利润含金量
600271,航天信息,2016-09-30,0.95,0.23,10.39,0.40
600272,开开实业,2016-09-30,0.89,0.03,3.74,-0.29
600273,嘉化能源,2016-09-30,1.08,0.03,22.36,0.63
600275,武昌鱼,2016-09-30,1.18,0.00,-256.91,-0.69
600276,恒瑞医药,2016-09-30,0.23,0.05,27.63,0.84
600277,亿利洁能,2016-09-30,0.93,0.00,1.72,5.24
600278,东方创业,2016-09-30,2.12,0.25,0.55,6.88
600279,重庆港九,2016-09-30,0.57,0.10,9.07,0.25
600280,中央商场,2016-09-30,13.82,0.16,3.97,-0.32
600281,太化股份,2016-09-30,1.42,0.06,-1.60,10.65
600282,南钢股份,2016-09-30,9.23,0.19,1.07,14.15
600283,钱江水利,2016-09-30,10.60,0.12,-0.89,-26.16
600284,浦东建设,2016-09-30,7.84,0.39,3.80,-9.31
600285,羚锐制药,2016-09-30,0.39,0.06,13.60,0.38
600286,S*ST国瓷,2015-12-31,0.77,0.00,19.02,0.44
600287,江苏舜天,2016-09-30,1.22,0.11,2.01,1.21
600288,大恒科技,2016-09-30,0.95,0.06,-3.92,3.34
600289,亿阳信通,2016-09-30,0.55,0.23,3.03,-11.28
600290,华仪电气,2016-09-30,0.82,0.22,8.39,-1.97
600291,西水股份,2016-09-30,0.00,1.39,-14.88,-32.40
600292,远达环保,2016-09-30,0.86,0.04,7.10,0.66
600293,三峡新材,2016-09-30,2.91,0.06,2.29,0.71
600295,鄂尔多斯,2016-09-30,1.87,0.38,4.40,8.43
600296,S兰铝,2006-12-31,0.59,0.00,10.22,1.32
600297,广汇汽车,2016-09-30,1.63,0.37,3.18,-0.58
600298,安琪酵母,2016-09-30,0.73,0.02,11.23,1.34
600299,安迪苏,2016-09-30,0.54,0.16,34.11,0.79
600300,维维股份,2016-09-30,1.66,0.10,3.76,2.03
600301,*ST南化,2016-09-30,0.78,0.11,-77.52,1.04
600302,标准股份,2016-09-30,0.74,0.05,-5.87,3.21
600303,曙光股份,2016-09-30,1.18,0.22,-7.02,4.01
600305,恒顺醋业,2016-09-30,1.70,0.03,12.46,1.66
600306,*ST商城,2016-09-30,6.91,0.12,-16.10,0.06
600307,酒钢宏兴,2016-09-30,1.87,0.14,2.50,2.89
600308,华泰股份,2016-09-30,0.66,0.20,1.60,7.43
600309,万华化学,2016-09-30,1.52,0.04,17.67,1.41
600310,桂东电力,2016-09-30,0.70,0.00,4.39,0.27
600311,荣华实业,2016-09-30,1.25,0.11,-123.86,0.92
600312,平高电气,2016-09-30,0.56,0.03,25.22,0.14
600313,农发种业,2016-09-30,1.16,0.11,0.30,8.43
600315,上海家化,2016-09-30,0.75,0.15,11.91,0.17
600316,洪都航空,2016-09-30,1.20,0.03,-1.96,25.62
600317,营口港,2016-09-30,0.32,0.09,16.38,1.42
600318,新力金融,2016-09-30,1.29,0.04,-47.76,2.01
600319,亚星化学,2016-09-30,6.72,0.10,-11.05,-0.19
600320,振华重工,2016-09-30,1.10,0.08,3.75,0.16
600321,国栋建设,2016-09-30,0.45,0.01,-20.26,0.58
600322,天房发展,2016-09-30,61.63,0.63,-11.60,2.28
600323,瀚蓝环境,2016-09-30,2.72,0.08,18.58,1.60
600325,华发股份,2016-09-30,4.73,1.36,11.42,17.59
600326,西藏天路,2016-09-30,1.05,0.23,12.28,0.26
600327,大东方,2016-09-30,3.18,0.21,2.89,0.94
600328,兰太实业,2016-09-30,1.06,0.06,4.44,-0.09
600329,中新药业,2016-09-30,0.51,0.09,4.96,0.81
600330,天通股份,2016-09-30,0.69,0.10,7.17,-0.28
600331,宏达股份,2016-09-30,6.97,0.07,-5.53,-3.96
600332,白云山,2016-09-30,1.34,0.32,5.99,2.60
600333,长春燃气,2016-09-30,7.23,0.03,-0.29,-48.35
600335,国机汽车,2016-09-30,1.99,0.23,1.70,10.20
600336,澳柯玛,2016-09-30,1.48,0.12,2.66,2.51
600337,美克家居,2016-09-30,1.93,0.07,11.44,0.63
600338,西藏珠峰,2016-09-30,0.45,0.01,49.01,0.28
600339,*ST油工,2016-09-30,4.30,0.02,-3.29,-2.80
600340,华夏幸福,2016-09-30,5.77,0.53,24.64,-0.03
600343,航天动力,2016-09-30,0.72,0.08,1.40,-27.49
600345,长江通信,2016-09-30,0.34,0.05,-10.58,1.83
600346,恒力股份,2016-09-30,1.45,0.00,5.44,-0.51
600348,阳泉煤业,2016-09-30,1.16,0.27,0.12,-20.90
600350,山东高速,2016-09-30,3.52,0.20,53.63,1.29
600351,亚宝药业,2016-09-30,0.52,0.13,0.53,38.73
600352,浙江龙盛,2016-09-30,0.85,0.09,17.19,-3.06
600353,旭光股份,2016-09-30,0.45,0.06,8.12,-0.22
600354,敦煌种业,2016-09-30,0.60,0.18,-88.43,1.90
600355,精伦电子,2016-09-30,0.40,0.01,-0.95,23.16
600356,恒丰纸业,2016-09-30,0.14,0.11,9.41,0.79
600357,承德钒钛,2009-09-30,2.48,0.00,0.25,-117.67
600358,国旅联合,2016-09-30,0.42,0.00,-82.85,0.61
600359,新农开发,2016-09-30,1.56,0.00,-10.57,-0.17
600360,华微电子,2016-09-30,0.72,0.20,2.69,2.43
600361,华联综超,2016-09-30,14.09,1.15,-0.90,1.16
600362,江西铜业,2016-09-30,0.67,0.24,1.02,0.74
600363,联创光电,2016-09-30,0.64,0.06,1.36,-1.56
600365,通葡股份,2016-09-30,0.43,0.02,6.02,-2.26
600366,宁波韵升,2016-09-30,0.35,0.04,9.18,1.12
600367,红星发展,2016-09-30,0.62,0.07,9.11,1.47
600368,五洲交通,2016-09-30,0.84,0.06,32.47,2.85
600369,西南证券,2016-09-30,0.00,0.46,-17.58,25.45
600370,三房巷,2016-09-30,1.05,0.19,11.60,1.36
600371,万向德农,2016-09-30,13.81,0.10,9.99,11.60
600372,中航电子,2016-09-30,0.65,0.04,6.56,-4.94
600373,中文传媒,2016-09-30,0.98,0.15,11.48,0.72
600375,*ST星马,2016-09-30,2.98,0.00,-8.33,-1.95
600376,首开股份,2016-09-30,129.13,0.92,13.50,-2.30
600377,宁沪高速,2016-09-30,13.43,0.01,46.96,1.44
600378,天科股份,2016-09-30,1.00,0.09,6.30,-2.06
600379,宝光股份,2016-09-30,0.38,0.03,9.20,0.91
600380,健康元,2016-09-30,0.37,0.25,12.04,1.38
600381,青海春天,2016-09-30,0.06,0.05,23.13,-0.07
600382,广东明珠,2016-09-30,0.73,0.03,51.23,-3.51
600383,金地集团,2016-09-30,35.08,0.39,14.18,2.81
600385,山东金泰,2016-09-30,0.25,0.04,1.42,-7.48
600386,北巴传媒,2016-09-30,1.33,0.22,4.75,1.42
600387,海越股份,2016-09-30,1.82,0.00,-1.43,-3.67
600388,龙净环保,2016-09-30,2.40,0.13,10.00,0.46
600389,江山股份,2016-09-30,1.66,0.04,0.52,10.69
600390,*ST金瑞,2016-09-30,0.27,0.14,8.32,-0.62
600391,成发科技,2016-09-30,1.26,0.02,6.39,-0.25
600392,盛和资源,2016-09-30,0.17,0.02,-8.73,3.40
600393,粤泰股份,2016-09-30,0.59,0.00,10.79,-14.49
600395,盘江股份,2016-09-30,0.34,0.05,1.71,-3.34
600396,金山股份,2016-09-30,1.61,0.12,9.01,2.99
600397,安源煤业,2016-09-30,0.50,0.23,-12.54,1.03
600398,海澜之家,2016-09-30,8.62,0.54,26.14,0.21
600399,抚顺特钢,2016-09-30,1.81,0.20,4.48,0.12
600400,红豆股份,2016-09-30,5.34,0.00,4.20,5.20
600401,海润光伏,2016-09-30,1.04,0.15,0.08,-198.85
600403,大有能源,2016-09-30,0.99,0.06,-39.13,0.15
600405,动力源,2016-09-30,0.77,0.04,0.29,12.94
600406,国电南瑞,2016-09-30,0.79,0.00,12.33,-0.88
600408,安泰集团,2016-12-31,0.30,0.00,-12.48,0.30
600409,三友化工,2016-09-30,1.28,0.07,7.36,1.07
600410,华胜天成,2016-09-30,0.77,0.30,0.65,-13.13
600415,小商品城,2016-09-30,73.43,0.02,24.17,-0.47
600416,湘电股份,2016-09-30,0.82,0.24,1.01,-10.46
600418,江淮汽车,2016-09-30,3.09,0.80,-4.25,0.28
600419,天润乳业,2016-09-30,1.42,0.03,12.40,1.05
600420,现代制药,2016-09-30,0.46,0.04,10.55,0.83
600421,仰帆控股,2016-09-30,0.65,0.00,-5.12,1.09
600422,昆药集团,2016-09-30,0.65,0.05,9.93,0.44
600423,柳化股份,2016-09-30,3.78,0.10,-26.53,-0.39
600425,青松建化,2016-09-30,1.18,0.04,-22.30,-1.14
600426,华鲁恒升,2016-09-30,1.08,0.03,13.69,1.10
600428,中远海特,2016-09-30,1.50,0.15,-2.53,-2.98
600429,三元股份,2016-09-30,1.79,0.25,-0.73,-9.11
600432,*ST吉恩,2016-09-30,0.65,0.15,-39.51,-0.39
600433,冠豪高新,2016-09-30,0.73,0.01,4.98,1.30
600435,北方导航,2016-09-30,0.77,0.01,3.67,-15.38
600436,片仔癀,2016-09-30,0.43,0.06,34.85,0.55
600438,通威股份,2016-09-30,2.00,0.08,6.42,1.35
600439,瑞贝卡,2016-09-30,0.50,0.05,9.01,2.61
600444,国机通用,2016-09-30,0.68,0.02,0.83,-4.99
600446,金证股份,2016-09-30,1.53,0.02,5.51,-2.68
600448,华纺股份,2016-09-30,3.38,0.17,0.85,2.59
600449,宁夏建材,2016-09-30,0.62,0.08,3.93,3.52
600452,涪陵电力,2016-09-30,5.28,0.08,9.78,1.28
600455,博通股份,2016-09-30,8.41,0.05,-1.46,-31.95
