code,股票名称,市盈率,type,上年同期每股收益,预增范围,增长率,GPE水准
600888,新疆众和,39.84,预增,0.0613,0,0.0,0.0
600884,杉杉股份,35.03,预增,0.404,0,0.0,0.0
600596,新安股份,22.36,预增,0.1142,0,0.0,0.0
300308,中际旭创,165.39,预增,0.05,0,0.0,0.0
600580,卧龙电气,11.57,预增,0.1989,0,0.0,0.0
600569,安阳钢铁,9.15,预增,0.051,0,0.0,0.0
600035,楚天高速,14.19,预增,0.27,0,0.0,0.0
600017,日照港,26.81,预增,0.06,0,0.0,0.0
300006,莱美药业,63.45,预增,0.009000000000000001,0,0.0,0.0
300055,万邦达,47.95,预增,0.3191,0,0.0,0.0
300073,当升科技,39.44,预增,0.5425,0,0.0,0.0
300097,智云股份,37.78,预增,0.63,0,0.0,0.0
300102,乾照光电,34.31,预增,0.07,0,0.0,0.0
300112,万讯自控,46.3,预增,0.1,0,0.0,0.0
300127,银河磁体,28.47,预增,0.37,0,0.0,0.0
300603,立昂技术,47.65,预增,0.46,0,0.0,0.0
300506,名家汇,43.0,预增,0.36,0,0.0,0.0
300432,富临精工,21.59,预增,0.6356,0,0.0,0.0
300430,诚益通,68.09,预增,0.55,0,0.0,0.0
300132,青松股份,31.74,预增,0.0848,0,0.0,0.0
300180,华峰超纤,59.74,预增,0.22,0,0.0,0.0
300410,正业科技,36.42,预增,0.45,0,0.0,0.0
300184,力源信息,21.5,预增,0.1221,0,0.0,0.0
300216,千山药机,97.47,预增,0.57,0,0.0,0.0
300226,上海钢联,135.24,预增,0.1402,0,0.0,0.0
300233,金城医药,31.09,预增,0.63,0,0.0,0.0
300338,开元股份,49.0,预增,0.0234,0,0.0,0.0
300332,天壕环境,98.44,预增,0.08,0,0.0,0.0
300331,苏大维格,50.11,预增,0.17,0,0.0,0.0
600050,中国联通,111.31,预增,0.0073,0,0.0,0.0
600067,冠城大通,13.98,预增,0.22,0,0.0,0.0
600079,人福医药,9.54,预增,0.63,0,0.0,0.0
600303,曙光股份,12.31,预增,0.1,0,0.0,0.0
600567,山鹰纸业,10.69,预增,0.09,0,0.0,0.0
300323,华灿光电,28.57,预增,0.35,0,0.0,0.0
600528,中铁工业,23.12,预增,0.115,0,0.0,0.0
600516,方大炭素,19.82,预增,0.04,0,0.0,0.0
600500,中化国际,34.96,预增,0.03,0,0.0,0.0
600491,龙元建设,25.26,预增,0.28,0,0.0,0.0
600438,通威股份,24.21,预增,0.3218,0,0.0,0.0
600395,盘江股份,13.62,预增,0.118,0,0.0,0.0
600345,长江通信,20.95,预增,0.32,0,0.0,0.0
600308,华泰股份,11.71,预增,0.156,0,0.0,0.0
600293,三峡新材,24.65,预增,0.3677,0,0.0,0.0
600079,人福医药,9.54,预增,0.63,0,0.0,0.0
600280,中央商场,25.04,预增,0.103,0,0.0,0.0
600242,中昌数据,66.05,预增,0.1,0,0.0,0.0
600235,民丰特纸,109.29,预增,0.04,0,0.0,0.0
600230,沧州大化,9.84,预增,1.2613,0,0.0,0.0
600171,上海贝岭,56.39,预增,0.06,0,0.0,0.0
600171,上海贝岭,56.39,预增,0.06,0,0.0,0.0
600160,巨化股份,21.49,预增,0.08,0,0.0,0.0
600133,东湖高新,6.91,预增,0.2296,0,0.0,0.0
600110,诺德股份,49.95,预增,0.023,0,0.0,0.0
600103,青山纸业,50.13,预增,0.0363,0,0.0,0.0
600549,厦门钨业,36.2,预增,0.1359,0,0.0,0.0
