code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603838,四通股份,-2.369,11.95,12.15,12.21,11.9,12.24,1198982,1.23251,14334680,54.318,4.665,318682.6,116249.6
603833,欧派家居,2.024,127.03,124.93,128.0,124.5,124.51,523182,1.26038,66366360,50.012,8.717,5342836.882192,527301.53
603829,洛凯股份,3.345,18.23,17.62,18.26,17.46,17.64,3976946,9.94237,71061269,41.432,6.388,291680.0,72920.0
603828,柯利达,0.0,9.83,0.0,0.0,0.0,9.83,0,0.0,0,35.107,3.099,324613.018125,106376.328
603826,坤彩科技,1.054,15.34,15.18,15.36,15.12,15.18,2869100,3.18789,43685644,38.083,4.946,552240.0,138060.0
603825,华扬联众,-0.888,30.15,30.42,30.49,29.88,30.42,558368,1.39592,16825518,35.058,4.24,482400.0,120600.0
603823,百合花,0.183,16.44,16.37,16.61,16.15,16.41,1973027,2.80486,32155696,21.632,3.024,369900.0,115644.192852
603822,嘉澳环保,0.0,35.91,0.0,0.0,0.0,35.91,0,0.0,0,56.294,4.062,263399.85,145794.6
603819,神力股份,1.188,17.03,16.95,17.16,16.75,16.83,1101553,1.9635500000000001,18673067,34.755,2.768,205756.46,95538.3
603818,曲美家居,-0.069,14.56,14.53,14.78,14.41,14.57,1421904,1.08041,20809671,38.316,4.64,704878.72,191621.248
603817,海峡环保,0.077,12.94,12.88,12.98,12.8,12.93,2899792,2.57759,37381751,44.621,4.179,582300.0,145575.0
603816,顾家家居,4.612,61.01,58.55,61.12,58.28,58.32,2739988,3.07518,164479139,36.533,6.678,2612088.241,543599.1
603813,原尚股份,-0.533,29.86,29.74,29.96,28.9,30.02,1947567,8.8245,57172981,48.161,4.779,263574.22,65901.02
603811,诚意药业,2.806,31.88,31.07,32.04,30.74,31.01,1437140,6.74714,45249536,29.794,4.731,271617.6,67904.4
603809,豪能股份,3.559,36.37,35.18,36.38,35.18,35.12,4246948,15.92406,152838811,23.042,3.254,387958.79,96998.79
603808,歌力思,-3.132,21.96,22.75,22.84,21.4,22.67,4317193,3.81561,95558529,26.836,3.776,740715.11514,248467.889124
603806,福斯特,1.525,35.28,35.25,35.99,34.96,34.75,1106502,0.27525000000000005,39018390,16.72,2.948,1418256.0,1418256.0
603803,瑞斯康达,-1.042,18.05,18.24,18.29,17.86,18.24,1389203,2.44578,24975571,25.786,3.15,760005.280385,102524.0
603801,志邦股份,1.225,54.52,54.15,55.0,53.82,53.86,1414140,3.53535,76803509,36.798,5.385,872320.0,218080.0
603800,道森股份,-0.363,16.49,16.59,16.59,16.32,16.55,1026600,1.51864,16890319,-57.118,3.702,342992.0,111472.4
603799,华友钴业,3.551,94.18,90.95,95.0,90.95,90.95,20590793,6.40039,1933497495,724.462,10.557,5581828.520176,3029878.181814
603798,康普顿,-1.839,17.61,17.82,18.0,17.5,17.94,1016037,1.18974,17911377,14.554,4.289,352200.0,150389.4
603797,联泰环保,-0.379,21.05,21.36,21.36,20.56,21.13,5012501,9.39726,104329073,52.625,4.489,449080.7,112280.7
603789,星光农机,-1.769,14.44,14.65,14.66,14.31,14.7,2601788,2.50172,37517397,86.988,3.424,378270.8176,150176.0
603788,宁波高发,-0.571,34.82,34.93,35.09,34.66,35.02,532100,1.05446,18531747,30.814,3.25,572277.142518,175708.684
900951,*ST大化B,0.0,0.832,0.832,0.838,0.815,0.832,221300,0.22130000000000002,182379,-2.6,1.19,22880.0,8320.0
900930,*ST沪普B,-0.57,0.698,0.698,0.698,0.689,0.702,219100,0.17556000000000002,152431,-0.5650000000000001,0.429,26679.3285226,8711.04
900921,*ST丹科B,-0.846,0.469,0.47,0.473,0.461,0.473,339550,0.17521,158428,-2.449,0.247,47674.986856,9088.9201214
601558,*ST锐电,-0.606,1.64,1.65,1.66,1.63,1.65,28880400,0.5060300000000001,47294932,-3.216,6.364,989018.4,935980.799836
601519,*ST智慧,-0.6,4.97,4.99,5.04,4.87,5.0,6494350,0.32673,32205437,-5.616,7.179,987886.9,987886.9
601268,*ST二重,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
601106,*ST一重,-1.554,3.8,3.85,3.86,3.78,3.86,11497556,0.17586000000000002,43845831,-4.333,2.686,2605957.51226,2484440.0
601005,*ST重钢,4.819,2.61,2.61,2.61,2.61,2.49,1694825,0.020220000000000002,4423493,-2.462,-10.839,2327755.191687,2187303.992487
600984,建设机械,-0.597,6.66,6.61,6.75,6.6,6.7,6652736,1.23467,44418531,51.588,1.292,424084.959198,358860.016764
600962,国投中鲁,-2.247,10.44,10.68,10.68,10.33,10.68,1501116,0.59094,15668549,3070.588,3.348,273747.24,265196.88
600877,*ST嘉陵,0.0,6.43,0.0,0.0,0.0,6.43,0,0.0,0,-14.359,-15.633,441922.35172,441922.35172
600870,厦华电子,0.0,7.54,0.0,0.0,0.0,7.54,0,0.0,0,-769.388,409.783,394492.54741,394492.54741
600860,*ST京城,-1.183,6.68,6.76,6.78,6.6,6.76,658955,0.20464000000000002,4412715,-19.086,5.681,281896.0,215096.0
600847,*ST万里,-1.16,14.48,14.66,14.79,14.45,14.65,351300,0.22918000000000002,5117080,-51.714,3.305,221960.1552,221960.1552
600844,*ST丹科,-1.461,6.07,6.18,6.23,6.04,6.16,2896100,0.35201000000000005,17644803,-31.697,3.197,617030.21368,499397.494838
600817,*ST宏盛,-1.731,12.49,12.77,12.77,12.3,12.71,850604,0.5463800000000001,10652990,624.5,20.72,200976.692418,194443.163426
600815,*ST厦工,-0.893,4.44,4.51,4.51,4.43,4.48,2697940,0.28134000000000003,12036682,-1.5859999999999999,8.02,425782.675116,425782.675116
600806,*ST昆机,0.0,6.44,0.0,0.0,0.0,6.44,0,0.0,0,-16.513,15.761,342016.230332,251279.971404
600793,宜宾纸业,0.884,25.12,25.15,25.28,24.5,24.9,2349129,2.23089,58588932,831.788,17.189,264513.6,264513.6
600779,水井坊,-1.408,46.9,47.6,47.76,46.0,47.57,6702820,1.37199,312965563,101.934,15.397,2291279.32362,2291279.32362
600767,*ST运盛,-1.339,6.63,6.73,6.73,6.6,6.72,1874925,0.54998,12461429,-39.701,9.934,226089.750666,226023.450666
600747,*ST大控,-1.103,2.69,2.72,2.72,2.67,2.72,8758273,0.8228900000000001,23480335,-38.429,1.976,393904.339331,286304.339331
600733,S*ST前锋,0.0,50.18,0.0,0.0,0.0,50.18,0,0.0,0,-296.923,53.531,991486.548,379360.8
600732,ST新梅,-0.516,7.71,7.76,7.78,7.58,7.75,3324201,0.7447,25523950,176.027,7.593,344161.35468,344161.35468
600725,ST云维,-1.905,3.09,3.14,3.17,3.07,3.15,5715056,0.46371,17778989,1.246,13.969,380833.23,380833.23
600722,金牛化工,-0.263,7.58,7.7,7.7,7.53,7.6,8690359,1.27739,65951599,198.95,5.647,515682.314408,515682.314408
600715,文投控股,-10.013,20.22,23.4,23.4,20.22,22.47,4119800,0.9185500000000001,86460027,56.167,5.228,3750513.777,906891.264
600710,ST常林,-0.442,6.75,6.79,6.79,6.73,6.78,3126282,0.48826,21094645,33.75,2.255,882055.86795,432191.7
600696,*ST匹凸,-2.349,6.65,6.84,6.85,6.6,6.81,5521400,1.62124,37143828,-4.926,43.182,226476.09075,226476.09075
600691,阳煤化工,0.779,3.88,3.84,3.88,3.76,3.85,51883977,2.9540100000000002,198537148,-7.505,1.804,681633.319528,681479.671528
600680,*ST上普,-2.42,10.08,10.31,10.38,10.05,10.33,1480365,0.5750700000000001,15006868,-8.162,6.195,385283.139696,259484.739696
600656,退市博元,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
600654,*ST中安,-1.512,5.21,5.25,5.28,5.16,5.29,16927661,2.24195,88276470,24.81,2.299,668453.936832,393377.483234
600644,乐山电力,-1.534,7.06,7.18,7.22,7.02,7.17,3060805,0.5685,21631772,17.974,2.84,380110.865254,380110.865254
600636,*ST爱富,-2.861,14.26,14.64,14.66,14.24,14.68,3678484,0.86323,52715368,-20.703,2.451,637339.15653,607663.77568
600608,*ST沪科,0.61,8.25,8.25,8.35,8.13,8.2,943510,0.29636,7792120,-117.857,-74.864,271310.688825,262656.438825
600556,ST慧球,0.141,7.11,7.12,7.13,7.07,7.1,2267524,0.5743600000000001,16095985,-101.571,43.354,280698.326388,280698.326388
600540,*ST新赛,-0.802,4.95,4.99,4.99,4.91,4.99,1719269,0.37123,8503611,-4.92,3.749,233107.039935,229246.039935
600539,狮头股份,0.0,16.8,0.0,0.0,0.0,16.8,0,0.0,0,-336.0,8.143,386400.0,386400.0
600444,国机通用,-0.134,14.93,15.02,15.02,14.84,14.95,498726,0.47498,7450098,142.19,5.931,218607.944476,156765.0
600432,*ST吉恩,0.0,6.74,0.0,0.0,0.0,6.74,0,0.0,0,-4.956,7.663,1080909.919384,1080909.919384
600425,*ST青松,0.254,3.94,3.95,3.98,3.92,3.93,13049502,0.9464500000000001,51532742,-9.381,1.358,543243.293884,543243.293884
600423,*ST柳化,-0.75,5.29,5.33,5.37,5.24,5.33,3573900,0.8949300000000001,18858981,-2.593,-10.559,211254.834377,211254.834377
600408,安泰集团,1.235,3.28,3.23,3.35,3.23,3.24,17797018,1.76768,58915114,-5.655,3.391,330230.4,330230.4
600403,*ST大有,1.699,4.79,4.71,4.87,4.71,4.71,4485333,0.18761000000000003,21476925,-5.841,1.635,1145199.140558,1145199.140558
600401,*ST海润,-2.609,1.12,1.14,1.14,1.11,1.15,86079404,1.8218100000000002,96369924,-4.487,1.8439999999999999,529192.737024,529192.737024
600311,荣华实业,-0.722,5.5,5.51,5.54,5.46,5.54,8341664,1.25325,45799513,-56.352,4.401,366080.0,366080.0
600301,ST南化,1.765,8.07,7.97,8.28,7.96,7.93,1905148,0.8101900000000001,15506820,315.234,7.103,189764.54898,189764.54898
600289,ST信通,-4.944,7.69,7.69,7.69,7.69,8.09,118400,0.02092,910496,34.484,1.552,485279.041061,435194.543996
600275,*ST昌鱼,-1.182,5.85,5.92,5.93,5.78,5.92,2649350,0.5206700000000001,15488290,-72.311,25.931,297669.78423,297669.78423
600265,ST景谷,0.0,21.41,0.0,0.0,0.0,21.41,0,0.0,0,82.346,70.894,277901.8,277901.8
600247,ST成城,-1.669,8.84,8.9,8.9,8.72,8.99,1409364,0.4189,12413186,-13.867,-10.12,297414.3744,297414.3744
600242,中昌数据,0.0,17.27,0.0,0.0,0.0,17.27,0,0.0,0,172.7,4.042,788660.665694,492783.972626
600234,ST山水,0.511,13.78,13.8,13.8,13.6,13.71,234714,0.11594000000000002,3215073,196.857,32.34,278970.42264,278970.42264
600228,*ST昌九,-1.459,12.16,12.45,12.57,12.0,12.34,1810810,0.75038,22148136,-81.067,506.667,293445.12,293445.12
600225,*ST松江,0.393,5.11,5.08,5.18,5.06,5.09,7102451,0.8351400000000001,36385967,-10.429,2.618,478036.726265,434580.75738
600217,中再资环,4.916,6.83,6.54,6.83,6.4,6.51,20428489,2.83651,135473570,61.256,5.99,948454.631106,491895.033881
600163,中闽能源,0.233,4.3,4.3,4.38,4.29,4.29,3360543,0.44592000000000004,14549106,40.566,2.581,429770.0489,324058.28302
600149,*ST坊展,0.559,10.79,10.74,10.99,10.65,10.73,6015544,1.58237,65105583,-165.491,22.987,410192.64,410192.64
600145,*ST新亿,0.0,1.87,0.0,0.0,0.0,1.87,0,0.0,0,-935.0,4.503,278835.77106,278835.77106
600121,*ST郑煤,2.041,6.5,6.38,6.63,6.38,6.37,13899080,1.3689,90677207,-10.479,1.94,659973.18725,659973.18725
600112,*ST天成,0.0,4.92,0.0,0.0,0.0,4.92,0,0.0,0,-25.322,2.118,250528.784232,250528.784232
600091,ST明科,-0.172,5.81,5.82,5.95,5.77,5.82,2632328,0.7822100000000001,15454292,193.667,2.815,254136.676444,195521.606
600087,退市长油,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
600074,ST保千里,-4.975,7.64,7.64,7.64,7.64,8.04,56600,0.005520000000000001,432424,21.829,3.879,1862544.941436,783904.592848
600071,凤凰光学,0.116,17.3,17.34,17.39,17.15,17.28,449165,0.18914,7747909,-35.306,11.583,410827.34888,410827.34888
600069,银鸽投资,-0.118,8.47,8.49,8.5,8.42,8.48,4945710,0.59921,41778645,-26.469,5.193,1057990.204579,699091.899968
