报表日期,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
应付账款,4148.95,4465.8,4809.41,4484.36,4010.15,5876.61,5620.98,4976.63,6918.76,7970.16,11162.59,12966.95,12327.43,13106.33,17994.08,13513.65,1170.0,17431.02,19899.62,1895.65,16972.53,18945.13,26020.25,23830.12,19520.64,21909.72,29139.6,26685.43,24488.95,23803.71,29216.37,32119.78,29352.12,28909.52,36581.65,30264.15,35255.33,35474.32,46343.95,43444.68,42376.31,33671.57,47055.29,0.0,51608.87,0.0,60105.44,47469.83,94235.22,78487.88,99865.62,76496.0,92686.22,88873.58,96289.44,96750.51,97594.24,118288.08,108231.89,91379.8
预收款项,521.03,701.34,892.89,350.86,434.88,523.08,567.82,576.24,1460.32,849.74,1988.57,1281.93,1877.75,1484.95,1554.5,1843.27,0.0,1005.03,1932.58,0.0,1604.03,1421.06,1882.83,1635.4,2021.58,1669.66,1621.48,1006.38,2385.06,1909.48,1605.64,4740.84,6506.99,7216.76,6107.63,6218.09,7357.15,5672.31,8330.74,7992.54,8705.42,10133.32,11996.02,12833.03,12179.52,11107.97,15382.73,14198.92,18118.0,52506.9,1959.66,2077.77,21.53,3.84,2.85,283.52,0.0,0.0,0.0,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,154.23,159.0,115.75,110.26,210.12,152.65,331.46,111.43,99.02,201.67,323.08,253.63,75.66,178.5,137.44,170.43,94.73,185.67,296.76,353.11,335.33,265.65,267.36,290.93,283.53,442.68,614.32,642.95,455.42,706.85,811.77,4844.39,2648.67,2264.28,2644.51,2363.75,2466.75,2152.4,2529.15,2774.61,3509.43,2659.29,2777.38,2993.9,6399.36,2533.69,3426.78,5495.5,9305.65,7815.42,11758.49,11619.89,16974.63,6378.09,9796.37,12287.91,20140.18,10023.15,14250.42,17877.26
应交税费,414.68,584.35,267.98,473.19,-395.68,-95.05,-76.28,296.15,457.33,644.24,61.43,-580.48,-80.88,1052.77,216.25,2006.84,1383.95,2090.76,2152.74,1772.83,0.0,4368.36,2643.76,0.0,1975.67,4511.66,4647.87,3884.26,297.9,4824.21,5916.17,3305.97,1095.61,6758.92,6185.6,5510.21,2747.02,8014.77,8390.62,5348.07,4378.74,9511.25,11426.42,7393.39,5597.55,10437.88,9181.38,6561.86,5190.55,11233.24,18274.91,10671.55,6488.73,4558.87,14032.57,5541.79,8442.13,13351.6,17085.28,14219.14
其他应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4783.91,0.0,10614.28,0.0,5731.77,0.0,7894.06,9435.43,23610.33,10095.98,21538.7,10182.56,16627.29,18173.86,15668.76,12802.99,18438.38,13552.76,7235.4,5918.97,21127.78,36215.31,21608.37,22496.33,23100.29,15292.6
应付利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2139.39,0.0,0.0,2175.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.61,61.61,61.61,61.61,61.61,61.61,61.61,61.61,61.61,61.61,61.61,15098.76,0.0,101.61,61.61,61.61,61.61,61.61,1261.61,61.61,61.61,61.61,61.61,61.61,77.21,61.61,61.61,61.61,61.61
其他应付款,191.44,112.43,19.92,21.86,117.22,25.87,457.81,681.49,799.35,808.63,755.82,517.72,636.88,510.69,513.04,447.39,959.28,869.21,444.58,1161.32,1229.29,1818.16,1487.18,1535.78,2573.46,2539.83,444.44,959.6,1760.42,1329.5,1295.7,6521.59,7209.99,4398.3,4722.3,5946.49,10552.67,15643.33,5670.16,10625.91,7832.45,9373.81,8511.56,10095.98,21437.09,0.0,16565.68,0.0,15607.15,0.0,18376.77,0.0,7173.79,0.0,21066.17,0.0,21546.76,0.0,23038.68,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,1620.87,1992.36,51676.29,51853.55
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4,68.55,45.7,22.85,91.4,68.55,45.7,22.85,91.4,88.53,45.7,22.85,551.95,438.67,320.71,301.63,491.51,250.33,224.43,189.32,0.0,0.0,0.0,0.0,10261.99,6396.38,6500.41,6298.73,11521.67,6029.32,7975.79,7040.37
流动负债合计,13430.33,12022.92,8605.94,6940.54,4376.68,6483.18,10901.79,13641.94,12549.77,12774.43,16591.49,17019.76,17236.84,16733.24,23815.3,21381.58,18691.43,21981.69,25126.29,24128.27,22580.58,27118.37,32601.38,29767.81,26674.87,31373.55,41467.71,38178.61,34479.15,37642.31,53891.36,61117.03,69646.39,68317.54,75599.61,66532.15,63816.94,73221.0,86697.63,85487.27,82415.91,81248.92,113947.14,99168.81,113509.51,105643.78,110233.05,102388.3,157518.18,191258.54,282822.13,261577.75,232990.64,157650.5,184586.76,213683.3,183004.1,186998.03,273229.53,240218.6
长期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,875.0,875.0,875.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,44000.0,29500.0,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,50037.5,147028.52,146847.86,145861.49,164989.22,118534.03,120588.87
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4009.12,3771.2,4046.88,1666.16,1472.57,2122.63,2091.86
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3040.3,3040.3,3040.3,3040.3,2732.8,2996.36,2550.37,2547.21,2325.2,2320.2,2181.29,2181.29,2313.6,2313.6,2208.69,2208.69,2071.2,2071.2,1970.85,1754.65,1713.3,1713.3,1631.7,1631.7,1559.8,1559.8,1480.65,1480.65
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.74,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.15,600.0,130.4,104.54,23.05,23.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.5,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.96,43.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.89,270.42,267.42,270.4,268.34,264.97,265.13,264.45,266.0,266.84,264.02,265.78,250.87,249.53,248.82,248.41,239.59,239.23,238.87,238.52,237.93,237.58,237.21,236.82,2506.92,2506.53,2506.08,2505.66,2295.36,3386.78,3425.43,3380.98,3820.13,3746.41,3664.49,3612.42,3632.76,3720.48,3641.95,3635.57,4257.39,4226.43,4211.42,4197.6,4988.05,4925.4,4907.78,6261.15,5413.69,5219.25,5381.0,5351.3
长期递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.8,949.8,949.8,949.8,4172.25,13865.69,11517.33,11517.33,13782.79,13392.79,13786.59,13786.16,17211.89,17211.89,17211.89,17217.79,17217.49,16671.52,17021.52,17025.62,17068.69,17106.48,16656.38,17558.66,17343.05,17689.47,19973.46,19625.52,19316.87,19504.81,20496.25,21487.96
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.6,732.6,691.9,671.55,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3028.04,2870.42,2397.82,2374.94,1166.4,1163.03,1140.13,1139.45,266.0,266.84,264.02,265.78,250.87,249.53,248.82,248.41,2972.19,2971.83,2930.77,2910.07,3187.73,3187.38,45187.01,31172.12,9719.47,19412.52,17063.71,17063.29,23810.95,25165.93,19762.39,19714.35,23357.22,23278.49,23057.67,23011.49,23163.85,22705.6,32872.16,32869.88,23397.28,33779.85,23172.6,23833.97,24044.4,78374.79,177312.66,178413.11,173818.01,192745.65,148014.56,151000.63
负债合计,13430.33,12022.92,8605.94,6940.54,4376.68,6483.18,10901.79,13641.94,15577.82,15644.86,18989.31,19394.7,18403.24,17896.27,24955.42,22521.03,18957.44,22248.53,25390.31,24394.05,22831.46,27367.9,32850.19,30016.22,29647.06,34345.38,44398.49,41088.68,37666.88,40829.68,99078.37,92289.14,79365.86,87730.06,92663.31,83595.44,87627.89,98386.93,106460.01,105201.62,105773.13,104527.42,137004.8,122180.31,136673.36,128349.37,143105.21,135258.17,180915.47,225038.39,305994.74,285411.72,257035.04,236025.28,361899.42,392096.41,356822.11,379743.69,421244.08,391219.23
实收资本(或股本),7700.0,7700.0,10300.0,10300.0,10300.0,10300.0,15450.0,15450.0,15450.0,15450.0,25558.0,25558.0,25558.0,25558.0,40892.8,40892.8,40892.8,40892.8,53160.64,53160.64,53160.64,53160.64,53160.64,53160.64,53160.64,53160.64,53160.64,53160.64,53160.64,53160.64,58476.7,58476.7,58476.7,58476.7,66831.8,66831.8,66831.8,66831.8,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69,100247.69
资本公积,3540.38,3540.38,23666.29,23666.29,23666.29,23666.29,19546.29,19546.29,19546.29,19546.29,34528.43,34528.43,34528.43,34528.43,19193.63,19193.63,19193.63,19193.63,6925.79,6925.79,6925.79,6925.79,6925.79,6925.79,6925.79,6925.79,6925.79,6925.79,6925.79,6925.79,1609.72,1609.72,1609.72,1609.72,245956.39,245955.14,245956.39,245956.39,212540.49,212540.49,212843.85,212505.29,177979.49,177979.49,178335.79,178335.79,178335.79,178335.79,178396.28,178396.28,178396.28,178396.28,178401.41,178401.41,178401.41,179071.53,176620.0,178299.79,179947.92,177280.57
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34997.97,34997.97,34997.97,31127.05,32623.64,32623.64,25173.64
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.8,128.8,128.8,128.8,166.49,156.4,680.74,798.54,935.13,892.73,769.94,1280.23,487.38,204.32,554.34,461.25,447.6,502.32,712.01,720.13,557.5,130.86,70.11,-159.91,-1021.55,-1175.35,-1387.66,-1378.07
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.12,170.37,148.31,326.04,174.7,235.37,282.42,314.97
盈余公积,262.32,262.32,262.32,262.32,880.64,880.64,880.64,880.64,1886.07,1886.07,1886.07,1886.07,3494.89,3494.89,3494.89,3494.89,5301.23,5301.23,5301.23,5301.23,7627.71,7627.71,7627.71,7627.71,9558.6,9558.6,9558.6,9558.6,12102.22,12102.22,12102.22,12102.22,15365.01,15365.01,15365.01,15365.01,21398.4,21399.39,21398.4,21398.4,26324.68,26104.26,26104.26,26104.26,31652.27,31652.27,31652.27,31652.27,36832.02,36832.02,36832.02,36832.02,50534.05,50534.05,50534.05,50534.05,50534.05,50534.05,50534.05,50534.05
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,2238.93,3348.59,2949.53,4385.79,5743.82,7838.03,6211.88,8843.11,10672.64,14418.13,17193.92,20745.06,23607.06,29609.17,35708.78,41034.65,44441.89,51069.45,54028.75,59238.83,62436.27,70092.76,72786.14,78126.0,80994.66,90440.12,94891.56,100913.61,102835.43,113722.67,128027.72,136038.96,136006.99,150254.22,145757.21,155817.53,156608.44,175181.47,169688.45,182629.46,183743.4,205111.14,215700.65,231513.43,236094.09,263726.76,277364.25,295319.59,291133.92,329396.72,362964.62,402091.79,413817.23,459747.33,480195.27,519081.0,531783.6,578224.85,580682.76,615442.34
归属于母公司股东权益合计,13741.63,14851.29,37178.14,38614.4,40590.75,42684.96,42088.81,44720.04,47555.0,51300.48,79166.42,82717.55,87188.37,93190.48,99290.09,104615.97,109829.55,116457.11,119416.41,124626.48,130150.4,137806.89,140500.27,145840.14,150639.68,160085.15,164536.59,170558.64,175024.08,185911.32,200216.37,208227.61,211587.23,225834.46,474059.78,484109.69,490961.51,509525.45,504555.77,517614.59,524094.76,544861.11,520802.04,537125.11,546817.23,574166.84,588154.35,606016.6,607057.5,645375.02,679152.61,718287.9,743732.01,754233.74,774598.87,814102.43,827211.44,873742.76,877683.54,917267.91
少数股东权益,-40.39,-32.65,-9.16,-3.9,-22.04,3.38,132.65,767.7,696.09,713.59,782.26,780.9,758.25,766.11,855.93,865.02,903.22,917.39,942.08,984.26,1000.05,1003.88,1033.49,1044.75,1050.92,1059.1,1083.21,1103.37,1139.46,1158.24,1471.82,1497.73,1634.34,1873.32,1989.09,2022.73,2154.08,27053.11,30761.68,32881.7,32993.39,25189.43,6881.54,7339.06,7649.42,7760.04,8204.01,8458.04,8599.92,6825.9,6126.07,5998.12,5758.19,6010.59,6238.97,15292.99,15752.34,10699.08,9744.57,13055.75
所有者权益(或股东权益)合计,13701.24,14818.64,37168.97,38610.5,40568.71,42688.34,42221.46,45487.74,48251.09,52014.07,79948.68,83498.46,87946.62,93956.59,100146.02,105480.99,110732.77,117374.49,120358.5,125610.74,131150.46,138810.77,141533.77,146884.89,151690.6,161144.25,165619.8,171662.01,176163.53,187069.56,201688.19,209725.34,213221.57,227707.77,476048.87,486132.42,493115.59,536578.56,535317.45,550496.29,557088.15,570050.54,527683.58,544464.16,554466.64,581926.88,596358.36,614474.64,615657.42,652200.92,685278.68,724286.03,749490.2,760244.33,780837.84,829395.42,842963.78,884441.84,887428.1,930323.66
负债和所有者权益(或股东权益)总计,27131.56,26841.56,45774.92,45551.03,44945.39,49171.52,53123.24,59129.68,63828.9,67658.92,98937.98,102893.15,106349.86,111852.86,125101.45,128002.02,129690.21,139623.02,145748.81,150004.79,153981.91,166178.67,174383.96,176901.12,181337.66,195489.63,210018.28,212750.7,213830.42,227899.24,300766.56,302014.48,292587.43,315437.84,568712.18,569727.86,580743.48,634965.49,641777.46,655697.91,662861.29,674577.96,664688.38,666644.47,691140.0,710276.25,739463.57,749732.81,796572.89,877239.32,991273.42,1009697.75,1006525.24,996269.62,1142737.26,1221491.83,1199785.89,1264185.53,1308672.19,1321542.89
