报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
应付账款,12194.76,17920.86,18391.39,20786.22,28300.36,32396.49,34145.11,44057.48,48086.37,44309.66,43236.89,54861.3,51530.27,64411.39,0.0,89878.25,0.0,74844.4,78362.89
预收款项,12643.52,12621.49,20060.19,17798.65,25817.87,26270.86,39998.23,65458.36,56693.49,55095.4,67922.78,96007.8,62289.91,54637.5,64417.19,100856.14,71266.19,67818.54,106918.29
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,4331.99,3808.22,4383.07,6061.52,7450.9,6474.51,7839.98,11915.92,10609.71,12259.16,14955.69,15535.11,13680.02,19066.31,22016.84,26998.35,22559.76,18962.4,24980.68
应交税费,5950.85,3806.84,5795.46,8388.48,6894.52,6785.23,6503.08,7166.39,8727.11,8370.33,6631.78,7998.61,12656.63,8685.91,13239.76,16253.28,19839.18,15091.94,13391.37
其他应付款(合计),0.0,0.0,0.0,0.0,0.0,13184.7,0.0,17044.71,0.0,14008.22,0.0,57633.99,57732.68,66019.31,83996.07,96734.97,77762.34,66367.32,72923.97
应付利息,10.2,13.13,20.63,149.63,67.57,79.43,88.98,14.12,10.42,7.24,10.18,4.71,11.19,347.39,410.66,261.78,484.91,534.21,222.21
应付股利,13188.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.09,0.0,0.0,0.0,0.0,0.0
其他应付款,1481.24,3780.84,4711.53,8331.81,10582.4,13105.27,11835.2,17030.6,17179.93,14000.98,21128.14,57629.27,57721.49,65588.83,0.0,96473.19,0.0,65833.11,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,10000.0,11430.0,8570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5167.56,4980.29,51648.33,46733.51
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
流动负债合计,68887.6,65915.23,71338.47,90397.94,116176.51,124242.86,138164.06,176699.05,163245.37,154770.17,175541.93,252255.36,215100.17,247653.95,275942.13,359411.01,294411.61,342461.16,384474.2
长期借款,0.0,0.0,0.0,15000.0,17000.0,22855.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,60177.01,112788.61,106726.17,115382.66,95063.55,67097.29
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76491.98,77847.07,79195.29,80541.84,81911.2
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,177.86,350.77,1509.17,411.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,101.9,3694.55,3694.55,4192.54,4002.79
长期递延收益,0.0,0.0,203.0,360.1,320.09,395.92,393.42,370.91,358.41,461.61,504.58,1221.43,1199.99,1178.55,1250.05,1254.02,1230.22,1204.98,1180.45
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,177.86,350.77,1712.17,15771.68,17320.09,23250.92,20393.42,370.91,358.41,461.61,504.58,1222.19,1199.99,61355.56,190632.55,189521.81,199502.72,181002.91,154191.73
