报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
净利润,0.0,595.73,0.0,719.24,0.0,106.27,0.0,330.62,0.0,219.56,0.0,429.33,0.0,-455.62,0.0,289.94,0.0,4327.1,0.0,9943.25,0.0,131.81,0.0,6512.05,0.0,9299.39,0.0,8940.95,0.0,5043.98,0.0,25117.46,0.0,13882.1,0.0,34755.15,0.0,25094.21,0.0,50992.03,0.0,25227.7,0.0,56245.81,0.0,10518.24,0.0,-117453.96,0.0,-22208.66,0.0,-341795.31,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,38.08,0.0,673.53,0.0,-245.97,0.0,142.26,0.0,75.79,0.0,191.57,0.0,875.11,0.0,1314.6,0.0,383.17,0.0,-569.82,0.0,-269.54,0.0,-198.08,0.0,455.82,0.0,1880.53,0.0,-79.2,0.0,2876.44,0.0,934.28,0.0,-490.78,0.0,-987.74,0.0,4092.92,0.0,160.91,0.0,8086.83,0.0,6019.61,0.0,130867.41,0.0,2758.64,0.0,287471.96,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,180.28,0.0,418.09,0.0,176.9,0.0,354.28,0.0,152.38,0.0,272.06,0.0,100.81,0.0,203.31,0.0,100.12,0.0,189.18,0.0,88.8,0.0,140.04,0.0,309.82,0.0,1205.86,0.0,709.0,0.0,1685.47,0.0,1014.89,0.0,2047.04,0.0,1207.62,0.0,2433.62,0.0,1316.2,0.0,2618.11,0.0,1472.9,0.0,2921.2,0.0,1613.26,0.0,2948.58,0.0
无形资产摊销,0.0,5.66,0.0,19.11,0.0,7.05,0.0,22.03,0.0,8.61,0.0,11.04,0.0,0.87,0.0,1.83,0.0,0.91,0.0,2.45,0.0,1.62,0.0,12.47,0.0,294.13,0.0,477.25,0.0,236.07,0.0,494.97,0.0,254.94,0.0,514.45,0.0,282.69,0.0,570.38,0.0,287.98,0.0,569.79,0.0,286.82,0.0,588.22,0.0,286.89,0.0,584.72,0.0
长期待摊费用摊销,0.0,1.45,0.0,10.23,0.0,26.46,0.0,20.07,0.0,13.99,0.0,18.49,0.0,4.5,0.0,10.42,0.0,6.63,0.0,10.27,0.0,2.13,0.0,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,21.2,0.0,189.5,0.0,398.72,0.0,264.44,0.0,683.79,0.0,360.25,0.0,1697.94,0.0,1157.36,0.0,939.11,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,-8.13,0.0,-8.13,0.0,0.23,0.0,-87.33,0.0,10.96,0.0,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.36,0.0,-584.55,0.0,0.0,0.0,-5.68,0.0,0.0,0.0,0.0,0.0,-6.74,0.0,-6.72,0.0,-0.32,0.0,6.09,0.0,13.31,0.0,3.45,0.0,0.89,0.0,14.15,0.0,0.0,0.0,936.72,0.0
