报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
投资活动现金流出小计,614.65,4649.71,6515.04,22477.03,4580.15,8891.41,21292.1,25999.98,4397.06,6875.85,14970.13,27564.87,7434.43,20525.66,27009.95,32323.06,17278.84,29036.69,46248.66,54026.79,9202.22,18289.85,27942.13,46762.94,6136.85,20067.19,42042.69,45329.99,8597.51,14922.79,17175.37,29852.1,2566.89,23107.3,22778.41,62167.99,19732.68,43132.41,67815.42,265385.8,16443.78,127279.8,333511.01,698411.77,364959.45,700983.26,776975.08,1200119.2,207306.71,521084.51
投资活动产生的现金流量净额,711.78,-1370.92,-3218.64,-16703.34,-2230.71,-4412.36,-16918.49,-20009.55,-4373.77,3394.03,-4393.19,-7533.19,-7414.24,-16328.63,-8512.92,-13813.28,-11077.13,-22820.29,-39611.7,-49831.78,-9179.13,-18269.76,-27891.75,-46699.35,-6100.1,-19994.69,-41962.37,-45249.49,-8577.42,-14902.7,-17149.38,-29817.98,-2559.01,-23076.33,-22747.56,-47017.52,-19697.93,-43062.64,-67736.05,-264959.06,45506.93,-125440.6,-327954.97,-337556.31,-34136.36,-171240.47,-144488.74,-285550.96,38393.35,-594.15
吸收投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9209.76,9209.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1555.0,1630.0,1630.0,0.0,12019.47,12019.47,13606.17,0.0,1851.66,1851.66,1851.66,0.0,0.0,1421.16,1421.16,0.0,1420.59,1328.33,53699.66,0.0,0.0,1000.14,13392.87,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630.0,0.0,12019.47,12019.47,0.02,0.0,1851.66,1851.66,1851.66,0.0,0.0,1421.16,1421.16,0.0,1420.59,1328.33,1420.59,0.0,0.0,1000.14,1428.78,0.0,0.0
取得借款收到的现金,0.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,0.0,6000.0,6000.0,6000.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,9209.76,10209.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1555.0,1630.0,2630.0,0.0,12019.47,12019.47,13606.17,0.0,1851.66,1851.66,1851.66,0.0,0.0,1421.16,1421.16,0.0,1420.59,1328.33,53699.66,0.0,0.0,1000.14,13392.87,0.0,0.0
偿还债务支付的现金,0.0,4800.0,4800.0,4800.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,77.76,5424.32,5429.0,5690.72,29.31,2715.83,3999.25,4456.28,1.35,4980.8,4980.8,5174.21,6207.43,6207.43,6207.43,6210.48,0.0,7216.83,7216.83,7500.42,0.0,5027.01,9206.18,10122.64,0.0,4915.3,8999.36,9895.52,0.0,12241.99,12241.99,12244.99,0.0,13681.09,15049.99,15049.99,0.0,19564.69,19564.69,19567.69,0.0,31690.71,31690.71,31690.71,0.0,36824.42,36824.42,49302.18,39084.02,81088.97
