报表日期,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
其他非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.23,1059.23,1059.23,1081.5,1570.52,1520.72,0.0,54.37,82.49,0.0,0.0,0.0,35202.72,60146.02,0.0,0.0,1.21,0.0,0.0,0.0,74.73,74.73,486.37,0.0
非流动资产合计,2037.09,859.34,2297.01,2571.31,2463.02,2717.53,2815.21,2921.16,5607.17,5463.24,5523.53,5667.06,5860.25,9158.65,11262.7,10018.35,10827.92,16273.7,17880.89,21130.06,27857.43,34436.86,34273.66,55162.29,65003.04,70447.81,95430.4,137987.6,171647.6,170018.0,167732.12,166673.08,165960.83,148095.27,172324.46,163940.66,163872.14,164961.53,165376.2,168236.65,164562.43,111650.67,110632.43,110792.16,110584.43
资产总计,7291.47,15895.64,19071.07,21930.57,23198.47,93346.98,93593.11,95854.35,98347.28,111333.54,103690.6,108071.91,110950.23,122488.23,115267.08,118924.75,117361.57,125287.71,122953.66,131259.44,127706.04,138126.0,139310.85,156033.32,161679.06,182247.85,211004.77,251307.69,285911.27,279675.8,259223.66,268234.27,313258.7,389430.46,383880.37,394379.83,377417.34,416040.06,416573.18,366873.71,332088.68,337269.85,331461.78,345815.48,343986.67
短期借款,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5155.85,37155.07,22719.16,7753.57,1717.91,75.87,74.5,8600.0,67403.22,65303.22,50203.22,57173.26,80900.0,100000.0,82000.0,31000.0,4000.0,0.0,0.0,0.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17149.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40521.63,0.0,24074.2,0.0,34065.43,0.0,40211.08,40180.43,49924.1,24317.79,31391.0,30779.83,25505.52,20378.18,19995.27,25464.64,34534.49,26271.32
应付票据,20.73,428.2,451.15,596.21,1039.71,1289.31,1914.26,1606.9,2150.35,4151.12,1719.59,5258.77,5967.78,6531.08,2196.92,5769.27,4949.8,4918.37,5707.26,7668.89,8720.17,4884.79,9192.72,9608.85,12206.98,11358.45,6408.32,26074.42,18567.42,10668.99,10146.19,15989.57,18992.99,12931.16,10606.41,29052.09,0.0,8622.29,0.0,7327.51,4683.43,2849.83,5375.42,3903.85,5979.98
应付账款,649.84,1470.17,868.03,1368.52,975.78,2778.47,1634.9,1635.23,3039.56,3582.02,5131.3,6230.42,6921.46,5335.61,8089.5,7156.28,5499.68,7412.38,6759.74,9480.73,5062.36,11622.58,9803.79,15621.94,14020.89,24263.95,27893.31,14447.2,12240.33,13405.22,16705.7,18075.85,14350.2,27279.93,29574.02,20872.01,0.0,22768.71,0.0,18178.01,15694.75,17145.44,20089.22,30630.63,20291.34
预收款项,52.32,12.12,246.2,58.16,201.35,779.65,1508.32,2830.08,814.14,6368.23,1453.61,1278.51,1363.87,6744.82,3736.51,3886.5,3443.16,4628.97,4030.28,3439.9,3247.33,3214.06,2962.05,2599.94,3235.63,4910.18,4942.37,5851.25,5725.12,2452.53,2544.02,1316.41,1673.44,1701.17,1994.06,2098.89,2569.22,1960.61,2465.75,2706.35,6111.12,2470.82,4878.3,5590.64,4705.35
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
