股票代码,股票名称,交易所
826,启迪环境,深圳
828,东莞控股,深圳
829,天音控股,深圳
830,鲁西化工,深圳
831,五矿稀土,深圳
833,粤桂股份,深圳
835,长城动漫,深圳
836,富通鑫茂,深圳
837,*ST秦机,深圳
838,财信发展,深圳
839,中信国安,深圳
848,承德露露,深圳
850,华茂股份,深圳
851,高鸿股份,深圳
852,石化机械,深圳
856,冀东装备,深圳
858,五粮液,深圳
859,国风塑业,深圳
860,顺鑫农业,深圳
861,海印股份,深圳
862,银星能源,深圳
863,三湘印象,深圳
868,*ST安凯,深圳
869,张裕Ａ,深圳
875,吉电股份,深圳
876,新希望,深圳
877,天山股份,深圳
878,云南铜业,深圳
880,潍柴重机,深圳
881,中广核技,深圳
882,华联股份,深圳
883,湖北能源,深圳
885,城发环境,深圳
886,海南高速,深圳
887,中鼎股份,深圳
888,峨眉山Ａ,深圳
889,中嘉博创,深圳
890,*ST胜尔,深圳
892,欢瑞世纪,深圳
893,东凌国际,深圳
895,双汇发展,深圳
897,*ST津滨,深圳
898,鞍钢股份,深圳
899,赣能股份,深圳
900,现代投资,深圳
901,航天科技,深圳
902,新洋丰,深圳
903,云内动力,深圳
905,厦门港务,深圳
906,浙商中拓,深圳
908,景峰医药,深圳
909,数源科技,深圳
910,大亚圣象,深圳
911,*ST南糖,深圳
912,泸天化,深圳
913,钱江摩托,深圳
915,山大华特,深圳
917,电广传媒,深圳
918,嘉凯城,深圳
919,金陵药业,深圳
920,南方汇通,深圳
921,海信家电,深圳
922,佳电股份,深圳
923,河钢资源,深圳
925,众合科技,深圳
926,福星股份,深圳
927,*ST夏利,深圳
928,中钢国际,深圳
929,兰州黄河,深圳
930,中粮科技,深圳
931,中关村,深圳
932,华菱钢铁,深圳
933,神火股份,深圳
935,四川双马,深圳
936,华西股份,深圳
937,冀中能源,深圳
938,紫光股份,深圳
939,*ST凯迪,深圳
948,南天信息,深圳
949,新乡化纤,深圳
950,重药控股,深圳
951,中国重汽,深圳
952,广济药业,深圳
953,*ST河化,深圳
955,欣龙控股,深圳
957,中通客车,深圳
958,东方能源,深圳
959,首钢股份,深圳
960,锡业股份,深圳
961,中南建设,深圳
962,东方钽业,深圳
963,华东医药,深圳
965,天保基建,深圳
966,长源电力,深圳
967,盈峰环境,深圳
968,蓝焰控股,深圳
969,安泰科技,深圳
970,中科三环,深圳
971,*ST高升,深圳
972,ST中基,深圳
973,佛塑科技,深圳
975,银泰黄金,深圳
976,华铁股份,深圳
