科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
负债合计,"181,829,234.09","144,465,635.78","301,564,086.56","365,037,753.53","452,912,789.06","558,961,218.03","467,066,977.64","538,917,138.38","518,827,768.58","497,107,451.06","494,919,586.79","506,616,494.06","494,896,383.20","508,996,583.48","732,307,019.13","841,684,151.38","949,025,855.65","962,362,380.96","913,086,829.66","1,029,234,488.18","1,164,346,867.92","1,169,270,165.02","1,328,385,648.15","1,261,497,810.42","1,301,251,332.11","1,327,138,827.27","1,351,313,363.15","1,394,121,432.02","1,617,052,987.26","1,838,197,893.07","2,029,507,030.05","2,226,512,444.09"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"167,900,000.00","167,900,000.00","167,900,000.00","176,760,000.00","176,760,000.00","236,760,000.00","236,760,000.00","236,760,000.00","239,560,000.00","239,560,000.00","239,560,000.00","239,560,000.00","239,757,000.00","239,689,600.00","239,689,600.00","239,689,600.00","239,689,600.00","239,689,600.00","239,677,300.00","239,677,300.00","239,677,300.00","239,652,900.00","239,652,900.00","239,650,000.00","239,650,000.00","239,650,000.00","239,650,000.00","276,155,232.00","276,155,232.00","276,155,232.00","276,155,232.00","276,155,232.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"7,169.12","7,169.12","7,169.12","26,027,169.12","26,027,169.12","1,183,645,859.12","1,183,645,859.12","1,183,645,859.12","1,208,227,817.45","1,209,649,692.44","1,211,071,567.43","1,212,493,442.42","1,213,297,786.31","1,213,312,763.99","1,213,908,055.67","1,214,503,347.35","1,215,098,639.03","1,215,896,548.58","1,216,624,859.63","1,217,422,769.18","1,216,602,496.70","1,216,627,663.17","1,216,764,180.43","1,216,903,715.80","1,217,540,709.77","1,217,540,709.77","1,217,540,709.77","2,659,380,743.67","2,659,380,743.67","2,659,380,743.67","2,659,380,743.67","2,659,380,743.67"
无形资产,"20,700,844.67","20,927,848.80","20,182,609.14","19,533,280.04","25,994,564.74","26,060,264.76","25,816,164.19","25,912,219.61","25,182,602.86","26,475,005.24","26,688,915.34","25,787,907.43","27,482,649.83","40,135,663.77","106,266,855.35","105,525,532.30","138,293,765.26","139,076,296.96","137,654,083.30","135,822,349.13","136,911,909.49","136,077,362.47","134,618,767.43","132,961,948.30","131,287,402.66","130,168,888.32","128,769,432.50","123,054,732.16","122,262,223.34","120,950,223.26","120,089,472.89","119,650,543.52"
盈余公积,"1,495,452.42","8,375,563.72","16,270,111.78","16,270,111.78","29,829,072.13","29,829,072.13","29,829,072.13","29,829,072.13","46,601,911.31","46,601,911.31","46,601,911.31","46,601,911.31","65,982,871.73","65,982,871.73","75,651,414.96","79,664,094.02","87,753,231.10","87,753,231.10","99,060,972.53","105,654,562.35","115,347,969.97","121,229,594.30","128,920,647.09","135,714,560.18","144,432,400.85","152,089,201.95","161,917,530.06","168,847,436.19","179,346,065.82","179,346,065.82","179,346,065.82","179,346,065.82"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,"27,980,177.33","27,980,177.33","27,980,177.33","27,980,177.33","27,980,177.33","27,980,177.33","27,980,177.33","27,980,177.33","27,980,177.33","27,980,177.33","27,980,177.33","27,980,177.33"
