科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,"41,854,184.91","34,913,637.65","104,798,815.64","102,033,815.64","97,960,495.76","81,822,885.41","83,357,265.45","76,641,757.24","90,475,079.50","81,825,336.07","141,517,337.04","115,961,363.59","117,849,472.82","108,340,301.60","367,456,965.55","376,852,941.97","400,228,513.24","379,924,339.18"
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"264,114.31",,,,,,,,,"500,000.00","500,000.00","155,351.00","155,351.00","9,000,000.00","8,838,802.55","8,693,714.31","18,427,967.76","18,249,150.96","18,070,308.06","17,002,552.82","16,754,184.84","16,462,227.84","16,244,599.62","10,000,000.00","52,000,000.00","52,000,000.00","52,000,000.00","54,000,000.00","54,000,000.00","83,165,000.00",,,,,,,"4,500,000.00","3,865,994.99","3,706,417.20","27,052,315.88","26,072,889.76","37,389,270.38","62,012,372.47"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,"59,989,425.21","59,490,884.82","58,992,344.43","58,493,804.04","71,526,980.56","70,939,691.40","70,319,994.60","69,700,297.80","68,465,409.91","67,728,050.86","67,061,782.75","73,610,852.07","66,931,707.23","66,234,434.78","65,544,372.22","64,952,077.48","48,150,372.26","47,607,332.83","47,071,731.32","46,453,735.29","61,255,774.41","52,630,389.22","53,274,844.53","46,267,023.63","52,214,370.46","51,667,111.86","47,145,372.77","47,074,873.22","58,747,838.32","58,158,469.04","56,329,680.13","59,437,087.99"
预计负债,"149,168,791.77","150,104,355.08","150,873,658.68","131,761,831.67","132,472,556.00","133,183,280.34","133,907,863.94","127,734,076.30","127,764,861.46","127,214,392.15","126,663,922.84","58,504,851.08","57,954,381.77","57,403,912.46","56,853,443.15","56,302,973.84","55,752,504.53","55,202,035.22","54,651,565.91","54,101,096.60","53,550,627.29","53,000,157.98","52,449,697.58","51,899,230.70","51,348,763.82","50,798,296.94","50,247,830.06","49,697,363.18","49,146,896.30","48,596,429.42","48,045,962.54","47,495,495.66","46,945,028.78","46,394,561.90","45,844,095.02","45,293,628.12","44,743,161.24","44,192,694.36","43,642,227.48","43,091,760.60","42,541,293.72","41,990,826.84","41,440,359.96"
固定资产,"134,685,152.49","133,475,195.87","132,047,828.75","130,731,829.58","129,362,844.12","128,284,889.42","127,173,180.03","126,841,227.77","125,805,367.08","124,670,823.54","123,697,689.95","63,394,065.01","63,224,182.31","75,736,311.20","75,238,598.97","62,912,752.00","62,412,273.30","64,547,916.91","63,716,610.19","63,600,210.48","62,862,162.18","62,270,273.36","55,427,629.67","60,496,889.48","59,856,556.07","59,168,619.63","59,315,127.44","78,615,336.44","77,168,099.21","76,909,378.76","78,639,723.09","67,694,298.19","74,670,019.52","73,563,875.64","78,691,822.13","75,044,872.22","75,066,739.42","77,541,692.85","77,268,439.07","73,962,097.20","71,205,276.06","70,726,385.68","65,080,709.64"
递延所得税负债,"99,242.70","155,743.88","251,520.83","235,948.52","151,306.49",,,,,,,,"2,123.37",,,,,,,,,,,,,,,"1,654,551.96","1,536,225.42","1,417,898.89","1,299,572.35","1,105,360.28","1,008,138.05","910,915.83","813,693.60","1,230,876.00","1,167,210.00","1,103,544.00","1,039,878.00","1,322,220.59","1,252,272.12","1,182,323.66","929,157.56"
在建工程,,,,,,,,,"261,044.93","268,900.69","271,909.41",,,,"445,760.00",,,,,,"209,515.00","308,034.68","28,205.13","330,996.00","330,996.00","1,092,327.21","10,335,289.69","3,440,029.67","1,619,824.13","1,158,278.41","211,091.30","3,767,398.54","3,731,656.49","4,154,951.71","6,404,379.08","4,567,787.57","3,364,901.08","3,392,614.75","2,337,390.59","2,887,792.36","3,418,440.96","3,229,063.51","3,010,775.68"
其他非流动负债,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","400,000.00","400,000.00","400,000.00","400,000.00","1,040,000.00","920,000.00","3,420,000.00","6,420,000.00",,,"2,200,000.00","3,100,000.00","6,100,000.00","4,600,000.00","4,600,000.00","2,181,133.33","5,830,400.00","5,830,400.00","4,756,526.18","6,954,026.18","48,373,733.36","45,853,733.36","36,198,500.00","36,198,500.11",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"149,268,034.47","150,260,098.96","151,125,179.51","131,997,780.19","137,623,862.49","138,183,280.34","138,907,863.94","128,134,076.30","128,164,861.46","127,614,392.15","127,063,922.84","59,544,851.08","58,876,505.14","60,823,912.46","63,273,443.15","56,302,973.84","55,752,504.53","57,402,035.22","57,751,565.91","60,201,096.60","58,150,627.29","57,600,157.98","54,630,830.91","57,729,630.70","57,179,163.82","55,554,823.12","57,201,856.24","99,725,648.50","96,536,855.08","86,212,828.31","85,544,035.00","80,938,831.97","93,169,166.83","93,521,477.73","97,988,788.62","124,791,830.89","74,177,698.01","71,283,565.13","65,929,132.25","69,888,996.81","70,790,631.46","63,127,889.35","64,774,256.37"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,784.74,,"239,590.61",,,,,,,,,,,,,,,,,,
负债合计,"501,479,538.38","493,251,772.24","494,156,199.44","493,583,426.20","502,173,581.92","504,087,035.31","487,151,378.74","400,744,841.18","398,865,949.46","406,322,688.09","403,629,892.52","492,324,179.95","526,772,520.47","940,226,241.25","329,012,036.81","420,367,258.35","285,984,638.49","311,003,332.19","360,392,701.40","412,921,955.75","351,865,540.58","346,686,379.41","314,205,756.90","456,133,034.64","439,676,752.87","346,977,879.96","280,890,901.20","1,099,921,156.42","1,110,085,143.59","973,024,963.34","1,142,619,375.55","1,401,777,246.05","1,269,852,095.71","1,307,355,981.36","1,388,007,510.49","2,060,389,661.71","1,433,426,494.71","1,267,995,200.19","1,320,619,571.47","2,165,184,086.43","2,020,600,882.55","2,244,110,467.04","2,510,021,016.44"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"208,180,180.00","208,180,180.00","208,180,180.00","208,180,180.00","208,180,180.00","208,180,180.00","208,180,180.00","208,180,180.00","208,180,180.00","208,180,180.00","208,180,180.00","208,180,180.00","208,180,180.00","324,800,338.00","324,800,338.00","324,800,338.00","324,800,338.00","324,800,338.00","324,800,338.00","324,800,338.00","324,800,338.00","324,800,338.00","362,800,338.00","362,800,338.00","362,800,338.00","362,800,338.00","362,800,338.00","499,766,874.00","499,766,874.00","499,766,874.00","499,766,874.00","499,766,874.00","499,766,874.00","499,766,874.00","499,766,874.00","499,766,874.00","588,297,797.00","1,529,574,272.00","1,529,574,272.00","1,554,174,516.00","1,598,844,924.00","1,598,844,924.00","1,617,339,924.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"483,759,364.34","483,759,364.34","483,759,364.34","483,196,107.34","483,196,107.34","483,196,107.34","483,196,107.34","483,196,107.34","483,196,107.34","483,196,107.34","483,196,107.34","483,123,810.97","543,123,810.97","537,985,252.97","463,855,168.90","551,329,159.02","551,329,159.02","551,329,159.02","551,329,159.02","551,329,159.02","559,996,421.70","559,996,421.70","870,617,221.70","870,617,221.70","870,617,221.70","870,617,221.70","870,617,221.70","973,360,960.88","973,360,960.88","973,360,960.88","968,153,386.19","973,360,960.88","973,360,960.88","973,360,960.88","973,360,960.88","1,003,354,909.28","2,054,676,477.27","1,113,463,217.38","1,113,463,217.38","1,125,230,886.43","1,388,569,036.25","1,387,652,432.47","1,428,332,404.63"
