科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,493,116,476.67","1,506,365,906.68","1,519,615,336.69","1,532,392,000.03","1,496,334,409.20","1,509,416,945.87","1,522,666,375.88"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","9,541,865.55","30,123,829.01","30,874,074.10","31,397,660.18","33,044,823.38","32,623,111.79","33,075,312.02","33,065,347.88","34,014,634.28","35,698,434.78","37,581,851.98","38,392,262.75"
长期股权投资,"41,252,706.27","41,252,706.27","24,935,630.61","17,295,630.59","17,295,630.59","43,295,630.59","43,295,630.59","43,295,630.59","43,295,630.59","43,295,630.59","29,295,499.99","48,295,500.00","48,295,500.00","48,295,500.00","49,295,500.00","51,069,254.40","51,069,254.40","75,069,254.40","76,403,254.40","237,811,573.08","237,811,573.08","237,782,574.47","237,782,574.47","238,703,374.86","326,103,374.86","323,905,808.02","623,905,808.02","612,148,501.28","612,148,501.28","585,698,958.44","574,047,767.01","98,469,453.03","92,679,230.10","94,947,150.94","93,811,172.40","146,480,026.82","147,740,573.41","153,706,091.10","156,562,933.43","162,201,663.08","156,865,714.87","158,108,864.43","155,976,860.60"
专项应付款,,,,"5,957,500.00","8,850,000.00","8,380,000.00","8,380,000.00","8,380,000.00","8,380,000.00","12,860,000.00","41,210,000.00","41,210,000.00","41,210,000.00","41,210,000.00","43,947,477.00",,,,,,,,,,"8,000,000.00","8,000,000.00","8,000,000.00",,,,,,,,,,,,,,,,
投资性房地产,"153,652,855.60","152,667,417.91","151,681,980.22","150,761,562.31","149,792,379.58","151,836,915.24","150,808,483.98","235,200,527.50","571,746,532.60","571,746,532.60","571,746,532.60","603,437,839.00","603,437,839.00","603,437,839.00","603,437,839.00","657,695,440.00","657,695,440.00","657,695,440.00","657,695,440.00","2,660,111,893.50","2,660,111,893.50","2,921,228,102.70","3,810,576,918.57","4,010,563,735.57","4,010,563,735.57","4,010,563,735.57","4,010,563,735.57","4,037,907,209.70","4,037,907,209.70","4,103,332,009.70","4,110,675,709.70","5,208,661,124.30","5,208,661,124.30","5,208,661,124.30","5,384,705,611.78","8,565,591,197.89","8,570,774,440.10","8,087,913,037.68","8,102,373,111.69","8,405,608,568.82","8,389,665,703.17","8,422,017,623.91","8,431,028,229.18"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,008.87","148,801.57","290,636.93"
固定资产,"139,893,866.63","137,914,584.71","139,939,873.83","157,270,216.00","157,568,745.35","154,720,353.62","176,160,002.70","204,476,156.52","221,257,510.92","219,315,780.27","217,952,435.60","212,574,136.90","211,460,910.37","208,496,534.53","208,101,254.57","399,493,363.50","398,068,612.45","397,700,877.97","379,615,504.88","178,541,651.44","177,242,104.81","183,221,969.59","185,986,078.68","206,830,625.22","203,300,396.05","218,668,511.08","216,433,863.16","213,947,879.54","179,741,441.05","177,879,433.71","175,362,116.81","154,484,325.59","149,930,527.31","143,955,756.42","141,681,273.34","141,764,370.70","137,171,925.32","128,843,146.08","126,877,445.73","637,033,459.59","626,866,830.97","626,639,954.03","625,902,554.07"
递延所得税负债,,,,"8,209.97","8,209.97","8,209.97","8,209.97","8,209.97","67,317,410.99","67,317,410.99","67,317,410.99","82,972,306.82","82,972,306.82","82,654,851.88","82,761,402.50","108,932,972.58","108,429,511.75","108,429,511.75","108,421,301.78","338,449,029.98","338,449,029.98","351,564,004.66","426,551,872.89","447,888,769.68","447,888,769.68","447,888,769.68","447,888,769.68","466,494,239.22","466,174,178.12","466,170,516.92","465,848,252.29","537,703,229.69","537,408,610.19","536,918,983.91","534,899,364.10","695,690,863.34","677,325,448.25","654,253,160.65","652,372,434.46","674,802,812.85","674,322,056.83","670,822,319.43","668,842,530.84"
