科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,479,452.00","20,479,452.00",,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,"100,000.00",,,,"100,000.00",,,,,,,,,,,"700,000,000.00","700,000,000.00","715,672,222.22","721,359,722.22","727,110,416.67","732,924,305.56","738,738,194.45","744,425,694.45","750,176,388.90","755,990,277.79",,,,,,,,"750,000,000.00","750,000,000.00","750,000,000.00","840,000,000.00"
长期股权投资,"50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","2,386,825.94","11,292,797.88","10,540,045.41","341,596,602.24","344,975,590.42","380,865,573.04","414,005,746.61","479,819,701.21","484,383,252.41","513,099,766.68","583,811,002.16","748,276,376.46","462,429,934.80","510,629,541.10","545,008,132.06","557,620,593.58","571,027,429.33","796,845,496.24","941,663,937.29","949,015,535.47","1,102,254,864.75","559,579,090.58","562,302,727.62","523,928,580.86","511,746,504.53","470,205,739.26","524,873,832.52","510,983,073.27"
专项应付款,"100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00",,"100,000.00","100,000.00","100,000.00",,"100,000.00","100,000.00","100,000.00",,,,,,,,,,,,"150,000.00","862,828.33",,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,"132,441,188.52","166,256,130.48","167,535,696.77","165,388,513.12","167,690,518.94","250,792,429.88","248,095,312.86","250,525,489.53","248,035,819.45","285,897,075.53","276,297,311.53","291,700,500.88","286,897,521.72","308,247,316.14","287,716,520.21","307,874,252.85","287,443,647.00","336,491,191.59","333,434,634.39","331,322,652.59","327,930,325.66","350,469,484.23",,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"88,970,675.47","85,799,151.96","82,678,575.46","81,881,991.45","78,799,275.65","78,565,608.23","76,508,858.61","74,614,386.49","72,763,034.56","70,687,130.09","68,513,647.13","66,259,156.78","64,004,872.90","61,910,784.10","59,658,350.44","58,500,660.05","56,683,968.17","55,056,572.07","521,895,826.56","514,006,363.69","507,964,622.64","497,610,020.14","496,477,361.43","551,820,332.55","539,255,336.76","549,194,815.80","567,619,876.47","571,120,653.15","566,539,046.24","558,787,344.48","554,841,583.12","542,575,870.70","541,675,711.28","534,488,016.26","540,253,881.21","524,174,895.21","514,913,799.92","503,615,909.90","490,829,727.71","499,306,940.73","48,648,587.58","41,303,428.85","41,229,640.33","39,941,068.38","33,089,525.78","101,763,277.02"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,"11,248,794.66","14,426,694.66","12,006,144.66","14,863,822.25","13,664,572.25",,,,,,,,,"15,358,172.00","15,561,958.00","14,730,964.00","13,906,979.80","13,078,990.00","12,251,000.20","11,406,988.00","684,290.00","634,220.00",
