科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
投资性房地产,"1,207,562,964.00","1,258,046,153.13","1,264,924,767.13","1,265,382,373.45","1,265,382,373.45","1,270,811,471.45","1,233,804,918.45","1,207,036,976.45","1,201,010,423.72","1,486,377,238.45","1,486,377,238.45","811,463,192.00","811,463,192.00","811,463,192.00","811,463,192.00","757,129,292.00","757,129,292.00","757,129,292.00","757,129,292.00","729,215,549.50","729,215,549.50","729,215,549.50","228,118,927.50","179,445,487.50","179,445,487.50","179,445,487.50","179,445,487.50",,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,"152,668,061.63","152,668,061.63","152,368,061.63","152,368,061.63","294,664,361.63","294,664,361.63","294,664,361.63","294,664,361.63",,,,,,,,,,,,,,,
固定资产,"62,305,491.26","104,245,907.92","104,209,867.15","82,538,601.76","80,501,120.47","79,226,573.08","73,990,060.81","70,959,835.95","68,794,573.70","22,612,839.65","13,133,810.28","57,499,095.40","56,276,363.71","55,435,566.43","55,146,841.13","58,641,620.39","58,062,783.95","57,006,999.66","55,955,799.18","55,100,499.12","54,291,728.68","53,292,724.86","13,147,951.69","13,372,996.09","12,695,773.89","12,117,076.84","11,779,386.80","11,532,262.62","11,207,745.98","10,713,603.57","9,756,497.46","9,524,589.92","9,001,247.42","8,696,834.96","8,193,710.62","8,341,400.91","8,060,480.16","10,618,919.92","10,246,952.18","9,756,117.40","9,766,984.08","9,368,434.72","9,426,735.40","9,123,875.64","8,847,002.84","8,666,399.61"
递延所得税负债,,"33,178,548.18","33,178,548.18","34,645,750.61","26,246,780.77","29,537,769.08","28,921,167.10","23,824,132.10","23,824,132.10","30,044,531.25","30,044,531.25","33,645,434.84","33,645,434.84","32,091,392.94","45,085,081.23","43,755,060.37","43,755,060.37","42,156,501.42","42,156,501.42","55,862,474.45","55,862,474.45","55,343,752.64","15,909,349.12","17,019,055.01","17,019,055.01","15,299,126.10","15,299,126.10","16,793,920.52","17,180,327.56","17,180,327.57","16,407,513.49","14,077,455.10","14,077,455.10","14,045,942.95","14,045,942.95","7,281,961.91","7,281,961.91","7,281,961.91","7,281,961.91","7,281,961.91","7,281,961.91","7,281,961.91","7,281,961.91","7,281,961.91","7,281,961.91","7,281,961.91"
在建工程,,"5,308,227.80","5,932,848.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"835,796,114.67","1,144,578,048.18","1,495,231,448.18","1,488,307,850.61","2,127,040,180.77","2,032,201,969.08","1,905,432,949.10","2,304,363,332.10","2,364,668,332.10","2,465,760,731.25","2,374,808,731.25","1,833,943,534.84","2,094,765,234.84","1,975,002,892.94","1,944,178,281.23","1,635,129,960.37","2,106,721,660.37","2,089,684,801.42","2,213,126,501.42","2,307,959,174.45","2,322,205,874.45","1,902,303,852.64","1,827,421,949.12","1,689,687,116.64","1,914,187,116.64","1,711,447,187.73","1,655,167,187.73","921,238,282.15","892,124,689.19","648,124,689.20","681,071,875.12","364,077,455.10","426,077,455.10","700,682,683.27","1,042,674,385.92","1,099,408,454.24","1,021,403,054.92","1,163,397,463.29","912,391,672.52","847,341,757.52","832,906,244.93","1,105,734,007.66","1,399,366,372.32","1,306,359,474.26","1,117,352,330.52","997,344,932.37"
固定资产清理,,,,,,"43,934.70","43,934.70",,,,"1,801.65",,,,"17,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"3,068,092,880.43","3,830,956,923.68","4,096,665,238.93","3,908,697,023.85","4,085,246,968.29","4,552,538,490.25","4,068,847,410.64","4,365,021,927.58","4,473,434,285.32","5,079,555,655.06","5,201,608,378.84","5,697,530,985.54","6,322,607,371.76","6,334,045,772.96","6,168,822,810.48","5,225,671,646.94","5,293,283,052.14","5,880,155,907.54","5,878,577,650.26","6,546,527,802.11","6,817,380,937.81","6,463,285,449.77","6,893,852,110.87","7,822,127,046.63","7,422,271,389.72","7,686,954,333.02","7,141,458,356.99","5,894,620,956.15","5,172,695,456.60","5,333,751,267.43","5,445,520,587.12","5,019,706,079.16","4,285,262,691.29","4,688,669,667.81","4,640,997,592.46","4,725,905,877.82","4,952,574,040.96","4,880,521,191.33","4,927,332,824.26","5,126,381,878.73","4,839,777,596.27","5,234,436,446.48","4,656,069,656.82","4,731,890,102.96","4,783,394,191.69","5,141,085,144.04"
