科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,"9,462,505,988.00","9,464,072,848.00","9,465,639,707.00","9,467,206,566.00","9,468,800,541.00","9,470,448,748.00","15,467,428,365.00","15,469,220,393.00","15,471,040,946.00","15,472,918,546.00","15,474,800,927.00","15,476,685,699.00","15,478,600,475.00","15,480,575,261.00","15,482,555,066.00","15,484,537,381.00","8,492,206,224.00","8,492,740,964.00","8,493,280,974.00","8,493,823,619.00","8,494,372,872.00","8,494,935,344.00","5,995,858,648.00","5,996,356,616.00","3,498,322,661.00","3,498,914,304.00","3,498,461,258.00","3,498,532,879.00","3,498,604,499.00"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"48,849,350.00","66,908,861.00","64,465,184.00","50,053,417.00","51,349,511.00","42,093,368.00","38,544,008.00","33,230,850.00","31,463,149.00","30,311,239.00","28,780,469.00","72,375,147.00","68,087,229.00","68,684,385.00","66,959,659.00","176,332,493.00","174,235,265.00","175,294,951.00","171,357,997.00","463,972,156.00","462,148,223.00","466,041,533.00","467,939,879.00","354,935,836.00","354,070,344.00","353,374,235.00","353,149,445.00","304,060,187.00","303,079,089.00","303,046,053.00","8,096,493.00",,,,,,,,,,,,,,,
长期股权投资,"163,947,965.00","164,543,086.00","161,801,210.00","162,934,246.00","163,299,543.00","161,443,914.00","162,706,302.00","322,939,011.00","402,671,325.00","403,078,434.00","478,351,538.00","481,359,640.00","981,563,343.00","984,379,491.00","999,192,301.00","1,027,891,653.00","1,042,010,130.00","283,582,029.00","292,513,977.00","398,673,089.00","386,831,194.00","2,259,489,318.00","2,217,833,536.00","2,117,286,471.00","2,121,786,896.00","2,170,926,198.00","2,358,679,638.00","2,371,898,853.00","2,525,234,069.00","2,486,778,055.00","2,487,194,118.00","2,644,144,218.00","2,786,367,508.00","2,576,349,032.00","2,793,005,365.00","2,975,436,986.00","2,958,696,938.00","2,951,098,579.00","3,225,609,329.00","3,315,428,492.00","2,619,416,662.00","2,629,471,846.00","2,673,506,429.00","2,790,763,160.00","2,867,422,055.00","2,959,776,021.00"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,"33,738,352.00","33,467,685.00","33,197,019.00","33,016,575.00","32,655,686.00","32,385,019.00","32,114,352.00","31,843,686.00","31,573,019.00","31,302,353.00","40,155,656.00","42,517,639.00","37,479,531.00","21,634,238.00","27,966,832.00","26,476,912.00","37,565,045.00","37,112,898.00","36,466,164.00","36,207,641.00","51,871,809.00"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"16,154,254,466.00","16,304,935,024.00","17,024,486,519.00","18,860,176,437.00","19,684,184,788.00","20,262,048,578.00","21,492,477,566.00","22,435,101,126.00","23,183,917,346.00","23,403,005,841.00","23,932,234,264.00","25,609,417,223.00","26,599,306,888.00","28,408,083,331.00","29,612,785,436.00","32,751,827,530.00","34,150,267,437.00","36,690,928,462.00","38,862,589,214.00","43,034,947,927.00","43,826,421,142.00","47,754,962,780.00","48,157,723,981.00","49,296,262,230.00","48,740,794,933.00","49,677,337,151.00","50,283,772,104.00","51,527,441,426.00","51,880,850,450.00","53,657,430,934.00","54,582,167,763.00","57,250,499,675.00","58,875,473,998.00","61,371,695,026.00","61,858,912,145.00","61,695,521,297.00","61,963,498,101.00","62,144,270,581.00","61,972,055,807.00","62,278,022,164.00","61,579,668,527.00","61,197,840,226.00","60,605,012,748.00","59,667,633,436.00","59,278,333,046.00","59,310,605,629.00"
递延所得税负债,,,,"20,330,640.00","20,330,640.00","20,118,862.00","20,118,862.00","19,907,085.00","19,801,196.00","19,695,308.00","19,589,419.00","301,722,467.00","267,255,763.00","169,802,844.00","402,627,684.00","523,121,955.00","770,654,571.00","708,327,525.00","373,041,083.00","435,838,058.00","448,464,749.00","341,395,970.00","243,024,444.00","346,841,725.00","258,959,579.00","200,221,019.00","198,230,543.00","219,686,310.00","276,267,974.00","308,103,639.00","306,180,325.00","522,172,682.00","942,550,288.00","624,516,474.00","353,217,424.00","558,346,586.00","521,769,401.00","510,449,242.00","426,914,757.00","474,375,096.00","505,800,283.00","379,865,508.00","425,993,504.00","365,946,979.00","351,040,046.00","346,343,749.00"
