科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
固定资产清理,"3,115,173.07","3,166,767.37","51,594.30","3,360,715.89","3,360,715.89","3,360,715.89","3,392,926.83","934,567.74","934,567.74","934,567.74","934,567.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"1,057,094,961.45","1,056,179,296.82","1,055,596,164.64","1,155,549,673.72","1,145,568,102.78","1,122,252,846.11","1,160,727,938.92","1,317,405,948.30","1,328,866,150.20","1,315,373,304.78","1,298,937,524.01","957,186,537.47","969,647,305.66","954,628,943.64","129,378,886.40","122,830,468.00","103,108,471.45","98,134,678.56","106,224,479.16","122,314,098.51","107,578,498.32","103,676,581.36","116,711,598.46","104,232,138.05","101,356,728.70","98,032,056.52","199,521,002.48","272,124,427.10","307,586,533.05","297,571,084.01","294,967,053.86","296,031,430.39","257,278,219.66","257,967,398.98","253,236,972.91","261,008,439.78","14,285,453,588.64","13,805,873,440.92","13,408,563,684.26","14,386,496,360.57","13,521,228,496.82","15,441,067,725.79","17,872,541,438.84"
生产性生物资产,"2,315,684.57","2,240,400.87","899,933.67","704,963.03","690,998.53","1,207,223.30","1,254,206.63","804,267.40","958,892.27","745,008.10","662,636.20","631,146.80","542,414.00","597,161.00","657,469.60","223,127.60","87,890.40","182,979.23","384,071.85","621,695.37","741,484.39","790,083.25","644,310.75","474,125.86","470,164.84","539,791.21","573,207.19","469,244.59","446,106.44",,,,,,,,,,,,,,
实收资本(或股本),"311,139,400.00","311,139,400.00","311,139,400.00","311,139,400.00","311,139,400.00","311,139,400.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","357,973,531.00","654,070,434.00","654,070,434.00","654,070,434.00","654,070,434.00","654,070,434.00","654,070,434.00","654,070,434.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"329,000,172.37","327,649,425.39","327,649,425.39","330,379,620.55","330,379,620.55","330,379,620.55","283,581,489.55","283,545,489.55","283,545,489.55","283,545,489.55","283,545,489.55","262,748,052.05","262,748,052.05","262,748,052.05","632,620,139.77","640,002,411.17","640,002,411.17","640,002,411.17","642,548,668.49","642,648,259.25","642,648,259.25","642,648,259.25","642,648,259.25","642,648,259.25","642,648,259.25","642,648,259.25","642,648,259.25","642,648,259.25","642,648,259.25","640,617,841.97","640,726,805.61","640,726,805.61","640,726,805.61","640,726,805.61","640,726,805.61","640,726,805.61","2,524,429,891.89","2,380,627,616.35","2,380,627,616.35","2,380,627,616.35","2,380,627,616.35","2,380,627,616.35","2,380,627,616.35"
无形资产,"4,408,909.92","4,314,608.34","4,281,469.99","4,250,218.42","4,229,384.04","4,198,132.47","4,166,880.90","4,125,212.14","4,093,960.57","4,062,709.00","4,031,457.43","4,000,205.86","3,968,954.29","3,948,119.91","3,906,451.15","3,875,199.58","3,843,948.01","3,812,696.44","3,781,444.87","8,294,759.30","8,263,507.73","8,758,831.16","8,714,192.09","8,730,734.48","8,730,734.48","8,572,429.29","9,881,262.26","4,926,223.29","4,879,717.23","4,833,211.17","4,786,705.11","4,740,199.05","4,691,137.01","4,640,796.98","4,602,774.46","4,540,116.92","56,489,776.89","50,700,000.00","53,625,246.67","52,615,806.37","51,572,561.05","51,166,013.94","2,317,987,438.95"
盈余公积,"65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50","65,738,593.50"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"867,290.68","2,766,325.27"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
