科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,"1,474,792,187.50","1,475,589,062.50","1,476,385,937.50","1,477,182,812.50","2,459,583,854.17","2,461,318,229.17","2,463,052,604.17","2,464,786,979.17","2,466,521,354.17","2,468,255,729.17","2,469,990,104.17","2,916,391,145.83","2,918,375,520.82","2,920,359,895.81","2,922,344,270.80","2,924,328,645.79","2,584,230,020.78","2,140,047,729.17","2,141,782,104.17","2,143,516,479.17","422,309,687.50","423,106,562.50","423,903,437.50","424,700,312.50","425,497,187.50","426,294,062.50"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,050,692.74","48,050,692.74","48,050,692.74","48,050,692.74","37,372,761.02"
长期应付款,,,,,,,,,,"240,422,176.72","317,596,121.15","295,477,629.33","272,911,812.57","1,024,280,680.16","1,187,678,745.54","1,091,713,035.37","1,045,042,756.90","746,593,172.75","749,536,633.44","768,755,052.75","1,066,177,120.12","891,027,421.70","813,727,074.49","676,515,467.51","622,800,065.45","227,096,698.31","183,383,376.60","299,285,332.49","258,993,142.89","688,353,865.16","955,341,525.33","720,525,768.42","796,601,342.75","634,542,345.94","577,726,231.67","557,564,518.10","449,033,087.67","355,034,730.64","582,648,656.63","922,190,507.19","1,403,109,625.00","1,474,150,271.24","1,882,174,010.20","1,904,005,208.39"
长期股权投资,"104,852,453.42","106,057,526.00","106,059,167.22","466,143,685.00","464,801,219.22","451,259,779.46","426,752,359.62","375,632,269.96","32,050,000.00","524,134,510.69","543,303,821.92","519,243,660.06","498,232,714.23","484,601,796.39","462,908,804.13","416,248,196.00","344,873,422.86","219,988,387.54","222,373,854.16","226,097,227.00","237,856,124.13","239,737,527.67","238,053,992.99","243,687,468.31","242,834,442.38","250,206,156.24","247,645,017.42","746,763,512.87","740,500,881.56","885,333,194.41","778,403,708.49","903,055,340.17","906,828,805.62","905,154,301.72","903,574,618.00","430,115,666.03","432,914,822.03","390,367,283.18","386,174,532.97","392,843,805.22","391,718,371.34","380,589,891.52","347,868,679.81","340,024,985.56"
专项应付款,"6,276,475.00","200,000.00","200,000.00",,"1,240,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,"8,944,369.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"2,216,073,517.62","2,180,735,120.00","2,148,806,971.51","2,262,131,736.00","2,864,428,123.19","2,763,259,281.15","3,767,913,915.19","3,792,745,781.92","5,964,832,788.55","4,942,744,476.31","4,880,820,335.76","5,367,833,857.31","5,537,701,794.11","6,326,933,919.99","6,506,278,191.21","6,861,496,517.83","8,822,673,833.38","9,451,140,097.21","9,374,561,302.55","9,543,920,799.75","10,649,100,342.27","10,630,670,838.95","10,549,133,063.09","10,498,762,302.90","10,385,591,128.68","10,378,444,599.05","10,254,807,819.27","9,880,535,448.06","9,841,258,823.47","9,680,184,328.65","9,588,227,905.00","9,585,868,410.09","9,463,686,127.14","9,357,115,565.50","10,605,066,166.72","11,815,507,764.72","11,677,236,434.85","11,542,546,865.31","11,557,397,480.70","11,941,631,958.27","11,795,269,974.53","11,700,556,235.48","11,713,722,250.15","15,950,493,595.67"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"28,714,018.76","156,851,158.00","328,614,729.52","460,371,535.00","717,615,014.12","1,138,677,047.55","1,038,388,159.66","1,424,251,519.20","1,687,829,735.55","651,046,746.40","1,004,161,972.25","679,928,094.24","731,074,560.00","243,397,127.38","392,804,340.21","480,922,908.67","586,048,759.52","782,997,051.44","1,007,730,545.71","1,079,230,134.81","1,440,354,906.48","1,587,312,581.18","2,087,618,861.65","2,957,904,465.95","3,252,060,466.80","3,862,198,700.75","4,255,413,937.08","4,060,699,493.24","4,230,208,578.84","4,430,729,268.06","4,714,063,909.85","5,157,028,771.31","5,424,813,230.86","5,712,878,990.48","4,535,467,955.26","3,314,332,616.33","3,589,623,541.30","3,912,142,051.43","3,858,749,960.73","3,682,116,871.05","3,814,022,087.72","3,895,146,842.00","4,492,375,656.60","325,856,269.74"
