科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,999,924.67","100,004,058.41","124,728,052.94","124,133,331.25","120,287,709.99","118,569,287.08","118,433,828.54","117,359,852.25","115,680,512.45","116,350,523.93"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,"12,997,827.98","12,788,747.40","12,579,666.69","12,372,289.98","23,217,730.53","22,873,578.03","22,529,485.53","22,185,441.79","21,841,422.37","21,498,328.03","21,155,233.69","20,812,139.60","20,480,720.61","20,145,379.78","19,810,601.02","19,476,827.47","19,160,652.30","18,827,196.87","18,495,797.65","18,166,748.38","17,560,817.41","17,239,048.33","16,736,979.25","16,349,584.99","34,207,391.02","33,749,043.49","33,290,883.35","32,835,878.63","45,728,102.49","45,214,989.33","44,701,876.17","44,188,763.01","41,319,687.05","40,834,327.37"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"654,086,297.01","621,793,740.61","630,574,293.96","635,245,357.98","620,963,125.78","611,229,020.54","609,182,211.08","731,791,462.24","764,015,415.92","826,937,831.23","821,628,863.10","814,059,051.48","792,695,824.03","785,117,043.59","777,314,399.89","761,963,734.53","743,031,790.71","735,600,866.39","744,588,698.78","742,408,682.82","728,046,695.12","706,063,067.65","699,801,164.28","675,371,678.14","750,863,465.96","811,968,034.91","794,889,770.47","786,095,597.24","786,063,911.11","774,609,270.77","761,843,393.55","899,510,252.29","887,651,924.91","879,365,585.68","869,154,409.22","944,158,832.35","940,941,936.59","997,854,103.12","1,019,166,427.25","1,027,625,217.70","1,038,009,083.69","1,029,258,474.64","1,080,456,747.44","1,123,494,893.66","1,099,109,274.79"
递延所得税负债,"8,186,843.15","8,186,843.15","8,186,843.15",,,"6,274,288.46","6,274,288.46","6,080,604.80","6,080,604.80","6,080,604.80","5,996,882.37","6,095,974.10","6,095,974.10","6,095,974.10","6,095,974.10","5,582,524.68","5,545,452.79","5,537,673.78","5,532,591.54","5,077,643.68","5,071,398.95","5,065,154.19","5,058,909.45","4,668,930.77","4,661,911.02","4,654,891.26","4,647,871.51","4,217,573.04","4,216,800.89","4,212,521.20","4,208,241.51","13,146,754.37","13,094,256.72","13,742,482.55","13,801,281.40","11,861,910.74","11,716,644.37","11,571,378.04","11,426,111.73","10,562,527.29","10,140,165.49","9,999,215.45","9,551,864.90","9,336,805.49","8,836,733.49"
在建工程,"63,851,665.96","84,793,759.07","88,963,200.05","79,838,042.68","113,392,044.63","166,570,354.56","234,821,062.58","130,563,589.93","98,215,571.98","60,127,926.54","41,867,358.40","41,060,571.41","42,411,765.80","44,641,219.73","46,708,145.75","41,365,091.69","41,824,733.57","46,644,300.75","66,106,537.49","55,929,775.44","76,326,875.56","104,085,965.39","122,607,111.47","168,509,013.05","101,444,271.99","52,138,897.61","110,364,524.75","39,339,480.26","50,891,620.78","93,725,439.67","142,379,403.92","110,409,311.74","156,744,206.69","168,162,733.20","167,825,164.95","115,064,124.80","117,622,485.96","75,709,304.27","65,811,197.01","114,093,591.94","145,413,698.92","179,678,170.58","178,169,588.07","204,147,785.59","296,993,206.20"
其他非流动负债,,,,"3,750,000.00","1,895,283.00","870,262.25","470,262.25","470,262.25","470,262.25","195,974.86","195,974.86","195,974.86","195,974.86","195,974.86","195,974.86","195,974.86","195,974.86",,,,,,,"21,809,200.00","21,512,000.00","21,897,466.66","21,584,516.65","29,365,852.53","31,883,909.31","31,775,049.41","31,353,689.50","47,215,662.92","4,120,000.00","4,120,000.00","64,372,000.00",,,,,,,,,,
工程物资,"4,521,251.00","4,521,251.00","4,521,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00","4,331,251.00",,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"8,186,843.15","8,186,843.15","8,186,843.15","3,750,000.00","1,895,283.00","7,144,550.71","36,744,550.71","66,550,867.05","116,150,867.05","115,876,579.66","115,792,857.23","95,891,948.96","95,891,948.96","95,891,948.96","95,891,948.96","65,378,499.54","65,341,427.65","65,137,673.78","65,132,591.54","61,077,643.68","61,071,398.95","80,065,154.19","155,058,909.45","142,478,130.77","139,173,911.02","129,552,357.92","134,232,388.16","124,583,425.57","36,100,710.20","35,987,570.61","65,561,931.01","117,360,809.62","103,962,435.39","70,732,225.65","110,337,897.93","43,321,400.72","94,802,233.02","93,559,565.17","93,583,147.33","93,714,919.70","42,468,931.36","44,979,621.78","45,295,311.36","52,088,879.20","53,592,110.38"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"745,336.08","702,494.58",,,,,,,,,,
负债合计,"539,915,379.92","576,566,808.20","543,173,158.68","487,098,400.08","532,820,889.02","676,069,346.62","706,654,779.91","675,529,185.21","727,008,610.55","772,867,818.51","743,831,970.03","761,510,366.69","798,087,108.24","831,145,275.25","788,313,579.47","731,275,513.64","789,463,334.58","822,362,019.29","799,903,344.16","760,679,882.10","737,087,545.27","722,030,636.19","793,456,281.90","879,530,588.64","889,080,319.20","919,069,429.83","930,318,705.82","894,550,605.86","456,153,429.43","349,300,939.07","394,259,955.25","567,223,453.27","609,620,064.79","587,179,169.74","538,048,319.47","656,240,427.82","765,540,478.76","820,783,853.91","761,116,363.29","420,972,649.10","464,973,223.68","566,249,199.08","519,661,296.30","579,793,130.65","601,897,329.14"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","195,500,000.00","205,500,000.00","205,500,000.00","205,500,000.00","205,500,000.00","251,477,011.00","377,215,517.00","377,215,517.00","377,215,517.00","377,215,517.00","377,215,517.00","390,765,517.00","390,765,517.00","390,765,517.00","390,765,517.00","390,765,517.00","425,347,649.00","425,347,649.00","436,347,649.00","436,347,649.00","436,347,649.00","436,347,649.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"310,804,830.55","310,804,830.55","310,804,830.55","308,552,457.57","308,552,457.57","308,552,457.57","308,552,457.57","308,552,457.57","308,552,457.57","308,552,457.57","308,552,457.57","309,365,045.07","309,365,045.07","308,552,457.57","308,552,457.57","306,230,107.03","306,230,107.03","306,230,107.03","306,230,107.03","306,230,107.03","306,230,107.03","302,296,211.52","301,296,211.52","301,321,883.94","322,997,814.03","326,380,914.03","329,692,014.03","333,075,314.03","862,277,138.69","738,401,832.70","740,265,032.71","742,128,232.72","743,643,332.72","744,378,632.72","838,676,723.29","846,388,132.72","855,256,132.72","863,604,232.72","868,011,652.72","1,414,364,904.14","1,416,032,704.13","1,504,772,604.10","1,514,507,304.09","1,532,056,304.14","1,543,413,704.14"
