科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
投资性房地产,,,,,,"3,072,743.11","3,003,063.43","2,933,383.75","2,863,704.07","2,794,024.38","2,724,344.70","2,654,665.02","2,584,985.34","2,515,305.66","2,445,625.99","2,375,946.33","2,306,266.66","2,236,586.99","2,166,907.32","2,097,227.66","2,027,547.99","1,957,868.32","1,888,188.65","1,818,508.99","1,748,829.32","1,679,149.66","1,609,470.01","1,539,790.39","1,470,110.74","1,400,431.12","1,330,751.47","1,261,071.85","1,191,392.20","1,121,712.58","1,052,032.93","982,353.31","912,673.66","842,994.06","797,318.94"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"130,039,140.22","120,373,704.26","157,495,432.57","163,040,193.45","159,193,711.46","152,836,079.99","151,064,462.56","152,428,433.19","150,231,231.45","155,609,182.12","151,613,241.87","146,862,969.72","144,295,992.17","140,937,024.79","138,194,437.23","169,908,498.48","190,654,898.26","475,387,576.21","534,123,100.02","564,660,262.62","556,977,914.60","722,539,705.95","712,831,079.57","703,671,667.13","704,006,287.55","693,202,249.22","680,071,476.86","669,353,285.25","662,897,526.64","671,362,830.69","657,663,389.52","646,827,734.36","895,969,247.29","1,288,215,887.14","1,265,925,917.74","1,251,952,078.99","1,267,341,104.03","1,275,891,278.23","1,254,408,856.13"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,"365,272.80","15,595.46",,,"85,308.30",,,,,,,,,,,
在建工程,"9,298,381.84","40,088,061.31","5,386,912.32","1,032,499.52","1,843,381.08","4,986,159.16","7,102,416.79","11,768,122.76","34,031,908.65","116,870,074.81","129,025,045.89","210,858,969.90","221,065,862.69","360,188,126.29","393,622,230.31","419,267,554.52","434,825,987.46","190,653,722.28","136,875,874.88","113,565,177.68","142,647,096.67","19,319,763.62","21,168,384.04","25,286,494.59","15,137,483.13","28,637,038.10","68,108,346.97","110,198,307.16","174,077,352.34","381,736,221.03","426,452,088.20","555,844,046.19","375,449,085.28","67,988,946.98","85,873,917.56","114,134,675.47","136,176,195.45","255,430,531.25","298,842,710.16"
其他非流动负债,,,,"807,000.00","807,000.00","807,000.00","807,000.00","807,000.00","807,000.00","807,000.00","807,000.00","807,000.00","807,000.00","16,517,000.00","16,517,000.00","16,517,000.00","16,517,000.00","15,382,708.33","15,382,708.33","14,597,208.33","14,597,208.33",,,,,,,,,,,,,,,,,,
工程物资,,"3,835,842.67","5,031,998.77","4,517,633.13","4,732,817.28","2,410,646.61","2,598,471.41","3,407,927.55","10,955,831.58","21,803,694.16","20,933,049.63","25,810,670.54","33,637,180.14","21,128,638.07","21,829,520.97","14,687,923.37","12,648,404.06","4,507,219.07","4,830,369.05","4,683,674.05","5,913,400.40","4,585,008.09","4,513,893.30","5,403,081.95","5,488,283.22","5,120,653.62","4,781,996.11","7,402,416.28","22,782,453.93","39,192,991.14","37,420,315.82","11,147,571.30","14,836,103.29","18,549,759.07","25,461,638.84","39,879,581.79",,,
非流动负债合计,,,,"23,807,000.00","23,807,000.00","807,000.00","807,000.00","807,000.00","807,000.00","807,000.00","807,000.00","807,000.00","807,000.00","16,517,000.00","16,517,000.00","16,517,000.00","16,517,000.00","15,382,708.33","15,382,708.33","14,597,208.33","14,597,208.33","13,811,708.33","13,418,958.33","13,391,481.13","12,649,053.79","17,616,708.33","17,223,958.33","16,916,516.63","120,471,958.33","172,079,208.33","238,029,664.33","255,812,914.33","255,420,164.33","279,900,443.93","416,749,663.88","400,834,892.39","385,267,621.86","439,274,912.42","439,560,538.91"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"172,392,605.86","164,564,273.46","225,788,511.21","139,111,657.51","134,243,102.36","109,826,177.64","82,221,424.84","100,864,348.97","107,080,640.26","160,755,791.80","147,390,923.37","170,988,127.79","118,222,501.13","191,184,534.88","214,697,104.38","326,211,350.81","318,804,435.52","233,646,508.14","254,062,322.84","354,179,406.16","283,497,897.98","380,029,859.56","436,921,942.78","569,398,427.47","462,283,817.69","446,742,916.24","341,982,880.09","412,718,271.04","417,454,263.07","495,188,544.39","581,151,257.86","559,844,940.06","756,239,627.44","849,847,336.36","875,406,378.40","905,872,543.33","848,445,530.24","1,128,116,708.75","1,163,157,589.42"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"40,638,517.04","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","106,670,000.00","106,670,000.00","170,672,000.00","170,672,000.00","170,672,000.00","170,672,000.00","170,672,000.00","170,672,000.00","170,672,000.00","170,672,000.00","170,672,000.00","170,672,000.00","170,672,000.00","220,820,550.00","441,641,100.00","441,641,100.00","441,641,100.00","441,641,100.00","883,282,200.00","883,282,200.00","883,282,200.00","883,282,200.00","883,282,200.00","883,282,200.00","883,282,200.00","905,779,387.00","905,779,387.00","905,779,387.00","905,779,387.00","905,779,387.00","905,779,387.00","905,779,387.00","905,779,387.00","905,779,387.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
