科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
商誉,,,,,,,,,,,,,,,,,,
未分配利润,"142,954,638.21","193,963,854.65","256,480,260.27","294,182,635.73","318,797,413.05","331,806,368.63","347,515,997.86","328,054,114.33","348,330,342.37","349,295,603.85","365,042,871.16","381,929,397.83","401,385,670.73","403,220,331.65","383,006,544.49","402,288,357.48","419,743,303.82","421,714,579.17"
长期待摊费用,"4,358,713.69","2,303,205.83","768,005.40",,,,,"489,165.77","464,250.42","751,439.77","658,157.13","596,419.71","1,156,383.62","1,037,506.48","1,700,367.06","1,019,506.27","1,575,549.70","3,383,213.04"
少数股东权益,"73,142.18",,,,,,,,,,,,,,"1,283,336.85","1,066,140.37","1,094,570.82","958,705.32"
递延所得税资产,"4,051,534.96","5,477,704.43","6,504,065.82","7,586,204.58","6,673,689.94","6,673,689.94","7,526,521.61","6,772,382.83","6,547,652.74","6,547,652.74","7,284,956.16","7,851,687.30","7,733,042.46","8,006,689.09","8,735,973.71","8,692,594.11","10,446,058.62","10,569,434.50"
外币报表折算价差,,,,,,,,,,,,,,,,,,
其他非流动资产,"7,373,268.62","10,956,186.30","2,920,633.65","1,268,218.48","3,159,237.27","4,766,833.26","8,338,109.15","8,642,406.42","4,527,609.52","9,930,937.74","7,395,215.91","6,498,722.09","27,817,204.32","30,467,107.96","34,266,275.69","29,931,613.00","2,372,136.70","2,389,761.56"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,
非流动资产合计,"119,950,015.36","258,881,456.26","334,055,403.71","363,664,360.91","368,542,141.48","370,045,833.00","375,970,892.05","373,275,464.29","401,515,819.63","416,672,642.84","422,163,766.31","428,467,346.31","462,922,832.98","425,412,073.21","428,742,522.04","429,786,838.23","493,981,754.96","540,554,531.39"
所有者权益(或股东权益)合计,"259,940,021.45","317,883,360.66","384,141,022.82","421,841,576.36","450,059,524.81","463,017,904.89","814,752,879.82","795,583,624.52","818,047,276.78","818,986,874.10","834,882,571.01","851,846,277.21","875,035,873.26","876,789,575.54","857,795,027.18","888,777,982.54","903,416,202.53","905,251,589.35"
资产总计,"461,764,684.28","673,540,442.97","874,694,880.02","846,961,741.05","854,264,518.53","793,500,705.28","1,062,444,353.81","990,604,715.54","1,004,332,646.51","976,626,956.89","982,577,461.76","1,037,597,922.03","1,110,475,836.16","1,045,393,663.80","1,033,164,761.26","1,059,071,069.08","1,228,504,369.17","1,336,840,442.71"
负债和所有者(或股东权益)合计,"461,764,684.28","673,540,442.97","874,694,880.02","846,961,741.05","854,264,518.53","793,500,705.28","1,062,444,353.81","990,604,715.54","1,004,332,646.51","976,626,956.89","982,577,461.76","1,037,597,922.03","1,110,475,836.16","1,045,393,663.80","1,033,164,761.26","1,059,071,069.08","1,228,504,369.17","1,336,840,442.71"
