科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,"39,460,947.62","40,093,673.85","13,552,170.91","14,084,897.14","72,423,815.59","79,546,921.13","71,620,026.67",,,,"58,298,873.40","39,840,429.96","11,995,496.82","4,765,840.23",,,,,,,"29,006,566.35","24,006,566.35","24,006,566.35","24,006,566.35",,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,"561,385.00","649,445.00","621,945.00","598,845.00","583,745.00","557,345.00","734,045.00","484,038.00","502,038.00","472,838.00","453,538.00","433,138.00","336,138.00","317,538.00","301,138.00","287,638.00","278,038.00","273,338.00","604,833,080.18","583,359,208.35","551,186,516.25","525,239,238.00","530,992,915.35","500,233,238.00","505,693,751.30","475,203,350.61"
长期股权投资,"133,520,025.92","133,566,903.85","135,141,268.22","130,589,515.89","144,574,911.49","148,233,129.38","147,023,040.65","157,069,839.35","175,559,065.55","151,023,983.54","142,851,867.88","142,428,457.27","142,159,845.04","144,211,211.23","143,461,622.84","142,400,568.75","142,849,397.56","145,144,027.11","143,715,116.47","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00",,,,,,,,,,,,,,,,,,,,,,
专项应付款,"1,310,749.96","1,060,749.96","1,060,749.96",,,,,,,,,,,,,,,"5,568,975.45","5,277,440.50",,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,"1,224,625.59","1,203,461.59","1,182,297.58","1,161,133.57","2,881,196.56","2,839,355.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,"163,813,331.01","169,089,320.60","175,980,143.84","175,642,511.67","174,176,863.62","189,178,335.10","190,994,104.40","200,687,189.52","220,501,466.68","223,946,327.09","227,108,261.15","227,774,999.70","238,694,638.89","246,135,909.05","254,296,520.53","274,397,762.77","305,187,002.07","320,523,798.78","349,089,864.48","362,879,055.67","377,363,089.07","388,464,865.35","409,162,034.55","423,165,920.32","431,395,269.82","436,382,187.84"
固定资产,"339,405,263.53","335,944,361.69","331,249,078.50","385,680,057.62","377,989,970.30","372,984,470.63","368,050,036.13","362,592,013.48","355,200,805.18","368,153,188.60","364,136,405.25","374,353,948.94","373,224,252.18","370,245,528.91","369,930,669.87","391,965,208.86","383,961,461.77","383,025,135.22","377,242,067.06","1,844,302,073.91","1,909,469,386.84","2,730,122,777.95","2,674,253,437.64","2,666,565,006.14","2,420,678,195.44","2,570,912,558.26","2,494,794,260.26","2,486,714,979.79","2,344,133,353.23","2,521,699,016.99","2,461,902,639.89","2,459,806,112.35","2,520,481,753.91","2,485,202,131.38","3,096,433,533.90","2,949,900,399.18","2,946,859,819.30","3,042,420,614.92","3,034,310,496.85","2,976,508,098.68","2,909,473,958.14","2,955,190,103.91","2,905,629,516.49","3,007,318,745.82","2,934,035,129.48"
递延所得税负债,,,,"297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","297,614.80","137,769.19",,,,,,,,,,,,,,,,,,,,,,,,"6,240,258.88","6,240,258.88"
在建工程,"56,866,503.53","58,816,292.78","64,493,764.96","1,116,086.01","1,651,230.01","1,934,092.76","3,100,387.66","1,122,086.01","1,202,086.01","15,501,618.08","15,394,630.01","5,213,696.50","3,030,415.27","18,384,649.88","16,551,546.52","2,292,495.27","6,304,802.05","2,799,282.73","6,851,205.62","585,189,292.22","719,378,102.60","30,173,511.10","71,920,459.57","71,703,634.64","262,385,905.24","128,755,196.44","147,814,036.69","125,606,222.90","265,154,707.16","174,950,022.94","226,672,191.32","222,106,088.01","445,446,547.65","726,302,350.05","125,249,423.20","145,502,296.84","180,558,053.84","123,067,489.81","84,460,326.48","204,373,720.08","292,131,297.12","252,589,335.23","236,140,988.55","230,096,735.12","258,958,313.46"
其他非流动负债,,,,,,,,,,,,"1,920,000.00","11,352,763.75","11,845,521.72","11,920,016.64","15,199,362.03","14,702,707.65","17,310,820.95","13,533,811.96","47,010,000.00","47,010,000.00","44,950,000.00","44,370,000.00","78,112,000.00","77,232,000.00","100,927,000.00","99,425,000.00","123,274,100.00","132,477,550.00","131,331,000.00","127,233,825.00","3,585,783.69","3,585,783.69","3,585,783.69",,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,"104,708.10",,,"45,023.13",,,,"162,393.16",,"28,632.48",,,,,,"84,735.04",,,,,,
非流动负债合计,"16,180,749.96","15,930,749.96","15,930,749.96","13,112,614.80","13,112,614.80","13,112,614.80","43,112,614.80","5,677,614.80","5,677,614.80","5,677,614.80","5,677,614.80","2,217,614.80","11,650,378.55","12,143,136.52","12,217,631.44","15,496,976.83","15,000,322.45","23,177,411.20","19,108,867.26","341,522,485.20","346,748,765.60","351,552,088.84","675,611,356.67","633,377,808.62","647,472,880.10","673,160,349.40","640,596,227.52","684,277,604.68","796,896,715.09","358,892,799.15","355,441,962.70","567,413,710.58","582,425,330.74","387,065,926.91","409,058,052.71","436,235,158.90","448,664,722.54","1,359,858,431.17","1,358,878,384.24","1,138,552,862.54","1,119,263,085.90","1,141,262,027.00","1,126,802,270.39","1,146,213,750.64","1,116,077,688.94"
固定资产清理,,,,,,,,,,,,,,,,,,,,"31,618,782.05","31,618,782.05","31,618,782.05","31,618,782.05",,,,,,,,,,,,,,,,,,,,,,
负债合计,"374,851,564.20","371,615,290.80","353,480,910.70","358,745,414.64","366,618,536.51","408,861,604.15","371,055,581.47","357,864,888.14","408,257,337.57","441,969,029.41","378,182,650.26","363,339,229.46","344,174,151.04","417,700,505.01","357,518,537.04","473,746,022.16","477,720,705.12","545,989,117.01","503,836,254.42","3,122,990,528.92","3,383,232,356.59","4,033,823,414.96","3,392,465,269.08","3,649,084,449.93","3,584,256,881.47","3,304,167,697.73","3,435,856,972.72","3,557,189,895.35","3,286,660,283.23","3,495,832,776.34","3,658,229,772.06","3,993,821,693.15","4,047,196,533.46","4,306,137,109.68","4,216,768,856.98","3,974,498,133.91","3,968,598,584.23","3,723,738,587.54","3,413,111,111.41","4,059,572,466.12","3,534,387,531.36","3,332,600,219.51","2,854,517,769.52","3,001,338,793.92","2,767,039,449.68"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","230,034,000.00","485,871,301.00","485,871,301.00","485,871,301.00","485,871,301.00","485,871,301.00","485,871,301.00","485,871,301.00","485,871,301.00","485,871,301.00","485,871,301.00","485,871,301.00","485,871,301.00","485,871,301.00","588,179,634.00","588,179,634.00","588,179,634.00","588,179,634.00","588,179,634.00","1,176,359,268.00","1,176,359,268.00","1,176,359,268.00","1,176,359,268.00","1,176,359,268.00","1,176,359,268.00","1,176,359,268.00","1,176,359,268.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"189,911,980.94","189,911,980.94","189,911,980.94","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","188,822,955.42","24,072,507.39","24,072,507.39",,,,,,,,,"10,215,559.00","14,783,186.85","14,753,340.48","1,113,687,213.48","1,134,347,218.48","1,135,679,376.06","1,135,679,376.06","1,135,679,376.06","587,861,701.46","587,861,701.46","587,861,701.46","587,861,701.46","1,283,094,701.46","1,283,094,701.46","1,283,094,701.46","1,283,094,701.46"
