科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,859,486.72","4,350,405.86","4,194,986.95","4,030,993.10","3,213,461.20","3,706,986.95","33,590,677.55","33,382,677.55","17,313,949.52","13,112,615.65","12,894,677.55","12,792,677.55","6,840,737.51"
长期股权投资,"2,225,773.79","2,210,069.16","2,194,437.66","2,179,838.40","2,173,284.43","2,154,410.52","2,135,381.76","2,124,612.84","2,122,977.82","2,122,666.29","2,122,666.29","2,262,286.39","5,344,456.24","5,594,618.19","12,896,402.43","5,545,946.07","5,545,946.07","5,545,842.08","5,545,842.08","5,544,834.88","5,425,184.98","5,418,863.32","5,418,863.32","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00","3,330,000.00",,"506,650.28","506,650.28","506,650.28","506,650.28","516,820.89","516,820.89","516,820.89","516,820.89",,,,,
专项应付款,"13,540,000.00","14,140,000.00","14,140,000.00","14,140,000.00","14,540,000.00","14,140,000.00","14,140,000.00","18,982,623.05","20,733,901.23","26,935,555.47","33,494,895.14","41,887,621.42","45,535,242.78","44,115,737.11","45,423,042.54","42,553,450.26","40,985,369.57","45,636,080.21","44,356,611.78","49,709,135.30","55,143,707.03","56,054,592.96","54,856,889.53","47,235,288.18","45,144,845.19","39,233,913.69","32,325,516.66","23,247,552.16","17,203,249.50","10,349,956.31","10,143,875.23","15,980,878.34","22,219,297.53","15,801,561.99","18,842,748.40","10,242,908.42","11,605,140.29","10,803,920.28","10,533,920.28","8,493,920.28","10,155,735.72","9,071,631.87","8,842,315.15","7,911,899.95"
投资性房地产,"2,516,296.05","2,496,795.18","2,477,294.31","2,457,793.44","2,438,292.57","2,418,791.70","2,399,290.83","2,379,789.96","2,360,289.09","2,340,788.22","2,321,287.35",,,,,,,,,,,,,,,,,"7,135,211.63","7,071,373.13","7,007,534.63","6,943,696.13","6,879,857.63","6,819,859.82","6,767,535.29","6,715,210.76","6,662,886.23","6,628,003.21","6,558,237.17","6,505,912.64","6,453,588.11","6,401,263.58","6,348,939.05","6,296,614.52","6,244,289.99"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"93,504,698.01","94,764,761.82","92,205,112.63","90,593,838.70","109,064,898.55","108,821,954.18","107,356,565.19","512,597,699.74","500,054,968.06","487,009,697.87","474,149,579.70","648,312,684.72","760,681,473.87","715,043,275.19","702,831,189.78","701,413,779.72","681,521,531.81","664,641,273.34","644,457,042.52","636,840,292.23","604,021,068.24","594,151,381.87","583,408,572.62","795,144,833.59","779,929,092.27","768,974,257.30","758,428,789.83","846,215,130.65","835,003,637.15","825,494,443.85","821,123,897.43","997,454,895.46","983,682,745.65","973,502,279.11","963,746,900.62","1,017,837,882.07","1,005,789,023.13","992,773,870.38","981,192,118.34","978,188,016.79","962,526,682.62","952,358,263.23","946,941,911.60","942,971,586.17"
递延所得税负债,,,"288,060.38","380,929.11","403,045.88","585,044.12","594,988.24","10,451,103.71","10,451,103.71","10,451,103.71","10,451,103.71","10,671,106.26","10,671,106.26","10,671,106.26","10,671,106.26","9,358,652.28","9,358,652.28","9,358,652.28","9,358,652.28","9,149,570.55","9,149,570.55","8,904,333.58","8,904,333.58","8,862,556.65","8,617,319.68","8,862,556.65","8,862,556.65","8,476,642.09","8,476,642.09","8,476,642.09","8,476,642.09","7,837,962.33","7,837,962.33","7,837,962.33","7,837,962.33","5,102,652.97","5,102,652.97","5,102,652.97","5,102,652.97","4,683,959.63","4,683,959.63","4,683,959.63","4,683,959.63","4,276,324.30"
在建工程,"17,227,849.28","17,321,645.96","21,553,762.61","40,813,919.55","97,067,695.60","129,470,594.52","136,949,312.29","223,847,236.38","234,689,815.16","244,400,502.35","250,491,091.16","87,532,813.85","58,657,911.21","101,277,434.39","107,349,416.57","108,615,036.36","145,764,621.15","162,790,769.18","182,940,265.57","224,565,657.04","203,766,011.44","220,881,454.20","312,016,802.55","89,046,724.86","95,122,580.36","100,842,572.59","105,410,293.26","11,953,671.09","55,885,502.74","84,095,294.19","12,062,746.18","2,940,202.32","6,416,648.08","8,285,243.36","9,077,438.10","24,921,838.67","24,869,826.10","38,275,164.36","45,070,185.58","49,795,713.31","49,373,988.66","60,279,429.31","59,949,562.95","62,378,387.34"
其他非流动负债,,,,,,,,,,,,,,,,"6,931,944.44","6,783,402.77","6,634,861.10","6,486,319.43","7,087,777.76","6,939,236.09","7,035,931.39","6,887,389.72","15,359,002.75","15,604,239.72","15,359,002.75","15,359,002.75","15,282,527.75","15,282,527.75","22,032,527.75","27,032,527.75",,,,,,,,,,"21,236,453.62",,,
工程物资,,,,,,,,"2,467.00","2,467.00","2,402,467.00","2,402,467.00",,,,,,"27,107.33","20,674.00",,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"13,540,000.00","14,140,000.00","14,428,060.38","14,520,929.11","14,943,045.88","14,725,044.12","14,734,988.24","79,433,726.76","111,185,004.94","67,386,659.18","73,945,998.85","82,558,727.68","96,206,349.04","84,786,843.37","86,094,148.80","88,844,046.98","72,127,424.62","76,629,593.59","75,201,583.49","65,946,483.61","71,232,513.67","71,994,857.93","70,648,612.83","107,456,847.58","105,366,404.59","99,455,473.09","92,547,076.06","71,006,722.00","64,962,419.34","64,859,126.15","69,653,045.07","88,797,116.98","94,470,955.31","87,697,800.86","106,654,993.42","46,890,477.53","48,746,235.15","86,128,705.74","124,150,705.74","112,128,283.05","109,588,764.62","118,286,722.67","117,535,405.95","71,020,414.06"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,"5,831.53","70,903.58",,,306.00,"7,093.27","769,631.22","983,634.58","1,090,356.97","1,100,368.18","1,078,733.26","1,133,644.88","1,350,830.92","1,400,919.63","1,407,473.60","1,591,314.64","1,593,764.25","1,595,794.81",,,"73,834.50","24,905.08",
负债合计,"261,612,463.30","183,790,348.47","213,560,441.51","181,799,914.05","200,096,509.47","202,647,155.49","220,487,450.56","982,334,994.63","1,042,455,751.57","1,097,450,319.55","693,435,167.95","955,930,949.67","1,355,227,929.13","1,254,321,348.98","1,379,057,524.11","1,237,405,714.19","1,214,549,980.40","1,182,036,267.39","1,285,858,228.53","1,224,362,331.21","949,522,223.33","948,205,082.64","944,531,648.35","1,131,040,682.59","1,042,600,527.18","1,031,913,796.54","1,069,670,682.48","1,255,533,686.76","1,040,171,693.25","1,054,995,210.53","1,035,663,603.94","1,676,792,070.99","1,433,476,523.36","1,459,910,451.75","1,454,307,173.52","1,836,935,866.31","1,686,481,322.09","1,766,566,906.22","1,776,047,829.77","2,105,007,022.16","2,017,605,080.91","2,005,594,861.06","1,918,959,278.60","2,255,002,533.04"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"144,000,000.00","144,000,000.00","144,000,000.00","144,000,000.00","144,000,000.00","144,000,000.00","144,000,000.00","222,717,518.00","445,435,036.00","445,435,036.00","496,440,000.00","496,440,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","744,660,000.00","1,489,320,000.00","1,489,320,000.00","1,489,320,000.00","1,489,320,000.00","1,489,320,000.00","1,489,320,000.00","1,489,320,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
