科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
投资性房地产,"9,793,996.28","49,904,520.42","49,121,278.50","53,506,020.89","48,338,036.53","47,917,225.43","38,487,727.71","29,344,876.83","29,102,155.25","28,859,433.70","19,947,577.07","19,779,006.02","20,883,807.45","20,704,290.51","20,524,773.57","20,345,242.63","41,112,045.23","40,773,442.45","40,434,839.65","40,096,236.85","51,603,530.66","77,610,328.59","75,798,712.80","75,161,956.46","74,525,200.26","73,888,443.92","73,251,687.58","72,614,931.25","91,981,982.57","91,142,484.95","110,283,252.57","113,217,162.54","112,746,045.25","111,655,222.93","110,564,400.63","109,473,578.30","112,701,186.11","110,126,095.03","446,203,669.94"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"130,551,598.31","83,413,860.70","79,462,753.07","73,135,873.48","83,328,719.89","112,509,785.16","130,963,618.05","145,332,433.72","204,264,704.41","202,012,576.17","212,355,043.69","213,732,585.24","208,663,347.88","205,907,409.76","203,916,263.38","244,928,132.32","223,806,105.23","221,697,037.43","221,877,777.02","221,198,884.85","241,073,670.87","211,425,586.09","212,598,397.47","213,969,422.16","212,230,456.55","209,616,896.07","205,607,953.62","203,979,341.13","181,987,547.82","182,600,825.89","165,422,669.64","162,090,630.56","165,602,488.18","166,463,591.41","168,888,078.24","170,393,641.83","177,981,478.56","180,282,934.15","179,296,775.29"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,731,652.77"
在建工程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,"32,800,000.00","32,800,000.00","54,301,600.00",,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"31,593,562.22","29,126,459.58",,,,,,,,,,,,,,,,,,,,,,,"44,840,000.00","77,640,000.00","77,640,000.00","99,141,600.00","44,840,000.00","44,840,000.00","82,633,958.40","82,633,958.40","576,000.00","360,000.00","12,144,000.00","6,000,000.00",,,"187,010,958.75"
固定资产清理,,,,,,,,,,,,,,"122,274.95","131,258.95","131,258.95",,,"497,983.30","2,394.00",,,,,,"77,989.15","2,842.80","6,152.80",,,,"2,827.19",,,,,,,
负债合计,"134,131,486.64","125,084,501.22","95,855,118.50","151,710,459.51","217,183,333.19","226,375,791.46","237,402,553.22","228,811,441.12","380,017,911.93","282,056,132.90","304,245,712.61","273,439,367.64","365,905,367.86","292,107,435.65","296,744,437.43","627,628,533.06","827,288,524.36","471,306,545.10","433,020,488.35","462,098,959.29","724,544,029.04","590,509,416.83","777,435,873.35","1,403,043,559.39","2,028,417,394.42","2,385,409,499.18","2,712,596,416.02","2,770,282,497.14","3,753,881,061.77","3,328,603,655.19","3,215,272,739.59","3,491,668,046.19","3,516,247,448.76","3,406,693,451.33","5,566,759,959.96","6,732,675,065.18","8,444,829,916.99","8,906,506,124.05","9,530,275,162.28"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"96,000,000.00","96,000,000.00","96,000,000.00","128,000,000.00","128,000,000.00","128,000,000.00","217,600,000.00","217,600,000.00","217,600,000.00","217,600,000.00","326,400,000.00","326,400,000.00","326,400,000.00","326,400,000.00","326,400,000.00","326,400,000.00","326,400,000.00","326,400,000.00","424,320,000.00","424,320,000.00","424,320,000.00","424,320,000.00","763,776,000.00","763,776,000.00","763,776,000.00","763,776,000.00","1,445,696,230.00","1,445,696,230.00","1,445,696,230.00","2,023,974,722.00","2,044,969,122.00","2,044,969,122.00","2,044,969,122.00","2,044,969,122.00","2,044,969,122.00","2,044,969,122.00","2,043,978,097.00","2,043,978,097.00","2,043,978,097.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"1,342,401.71","12,208,054.13","16,492,891.17","584,903,424.56","584,903,424.56","584,903,424.56","584,903,424.56","584,903,424.56","584,903,424.56","588,108,914.56","521,671,284.56","531,287,754.56","574,625,624.56","574,625,624.56","556,451,064.44","556,451,064.44","556,433,365.39","556,433,365.39","556,433,365.39","558,183,365.39","558,183,365.39","558,183,365.39","388,455,365.39","353,822,865.39","353,822,865.39","353,822,865.39","973,236,531.43","915,390,729.14","915,390,729.14","507,063,094.32","572,037,551.78","570,951,450.10","579,532,033.28","581,314,909.28","580,149,109.49","581,268,801.00","597,016,394.86","578,053,440.61","632,822,896.17"
无形资产,"689,710.33","1,122,216.66","733,518.32","1,346,288.10","1,430,796.92","1,758,879.58","3,514,393.76","4,311,736.46","4,383,068.50","3,553,732.99","2,735,925.07","1,965,399.63","1,284,909.09","724,763.35","261,276.41","51,402.98","186,520.85","992,183.32","847,845.79","703,508.26","739,337.52","1,230,943.76","968,900.04","945,571.21","46,955,862.40","51,332,322.51","49,805,930.71","51,856,524.48","51,613,637.71","49,742,088.75","6,015,608.92","5,166,189.97","4,720,590.05","3,991,961.09","3,362,222.68","3,067,839.28","4,391,231.20","4,085,433.50","3,960,837.61"
盈余公积,"5,003,489.68","13,520,932.12","13,520,932.12","13,520,932.12","33,862,254.70","33,862,254.70","33,862,254.70","33,862,254.70","57,013,739.52","57,013,739.52","57,013,739.52","57,013,739.52","123,140,372.90","123,140,372.90","123,140,372.90","123,140,372.90","147,868,458.06","147,868,458.06","147,868,458.06","147,868,458.06","187,474,441.50","187,474,441.50","187,474,441.50","187,474,441.50","251,156,606.78","251,156,606.78","251,156,606.78","251,156,606.78","303,020,499.18","303,020,499.18","303,020,499.18","303,020,499.18","399,792,177.78","399,792,177.78","399,792,177.78","399,792,177.78","535,271,661.52","535,271,661.52","535,271,661.52"
开发支出,,,,,,,,,,,"2,965,277.51","5,322,534.27",,,,,,,,,,,,,,,,,,,,,,,,,,,
