科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
持有至到期投资,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,"443,821,916.67","444,124,866.67","443,964,233.34","443,968,746.60","456,136,163.27","444,724,063.27","457,183,013.27","445,279,287.20","445,628,237.20","445,977,187.20","446,326,137.20","446,589,827.80","446,938,777.80","447,287,727.80","447,636,677.80","447,985,627.80","448,334,577.80","448,683,527.80","449,032,477.80","449,381,427.80",,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,"1,090,000.00","1,090,000.00","1,090,000.00","1,090,000.00","1,119,695.14","1,119,695.14","1,119,695.14","1,119,695.14","1,145,855.14","1,145,855.14","1,145,855.14","1,145,855.14","1,175,550.28","1,175,550.28","1,186,450.28","1,186,450.28",,,,"1,186,450.28",,,,,,,,,,,,,,,,,,,,,"6,343,020.00","6,246,955.00"
长期股权投资,"96,752,025.78","101,616,846.51","99,666,846.51","57,945,791.70","50,631,241.69","109,008,767.43","109,008,767.43","104,823,872.48","118,013,286.41","99,785,606.39","100,057,041.88","104,933,728.58","113,663,741.90","107,185,026.78","108,462,143.41","169,721,173.83","170,473,416.22","190,582,944.66","206,013,471.22","209,730,423.21","197,230,423.21","193,099,362.02","162,805,293.03","164,306,066.88","164,081,879.05","206,666,446.82","271,566,397.17","294,714,722.00","283,438,496.02","282,961,398.57","229,662,662.12","237,051,979.14","232,628,647.86","232,170,825.76","235,021,197.38","252,315,156.97","251,870,960.59","244,422,695.28","262,951,281.61","281,591,608.45","279,089,194.63","272,916,662.12","269,055,448.15","2,904,963,936.78","2,874,405,218.64"
专项应付款,"4,690,789.62","4,326,270.89","7,897,652.95","11,506,014.50","10,979,420.38","15,196,605.00","13,777,073.21","25,005,869.51","25,789,288.78","31,093,720.25","30,977,938.79","25,130,555.64","19,006,921.28","20,328,686.83","20,062,390.43","21,783,296.75","22,703,482.35","25,372,625.44","36,471,381.82","23,799,937.71","20,712,084.99","6,896,933.08","20,904,203.58",,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,749,980.75","2,699,655.79"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"567,741.69","567,741.69"
固定资产,"137,938,072.38","135,991,361.50","130,235,893.16","135,167,657.60","133,402,527.30","137,487,860.09","144,745,552.68","211,638,671.07","210,784,327.37","208,749,804.59","209,897,982.18","252,027,101.51","252,610,540.53","252,194,679.56","257,459,667.52","322,423,138.92","322,193,784.13","321,909,679.02","323,973,522.68","444,058,608.38","445,014,482.07","448,828,372.77","457,702,851.84","564,661,541.25","562,197,685.29","544,511,145.41","557,568,182.15","617,745,645.31","595,423,344.44","606,581,626.72","598,990,208.38","640,840,163.58","630,432,863.16","621,692,600.00","635,956,894.80","781,482,832.52","791,674,854.20","793,228,971.25","804,838,730.41","876,299,524.03","876,693,303.09","875,630,125.28","873,430,664.61","1,199,340,687.62","1,181,965,676.17"
递延所得税负债,,,,,,,,,,"113,703.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"72,031,229.03","72,005,583.03","74,330,243.92","37,486,779.90","40,903,072.00","45,173,433.68","63,326,801.63","17,205,061.61","25,750,599.74","33,744,535.40","51,417,765.74","50,772,564.87","55,238,878.98","65,392,931.61","77,494,986.63","27,821,216.80","31,599,335.19","38,389,044.01","46,832,168.44","69,567,767.19","103,949,698.35","129,320,855.31","176,956,721.71","135,293,550.23","155,864,034.47","195,442,553.05","147,118,344.07","106,484,531.27","99,518,102.89","122,200,946.41","164,603,342.33","134,403,388.11","167,291,945.73","218,523,359.84","275,958,453.46","135,189,993.53","152,930,607.13","165,208,766.30","186,527,655.91","113,701,773.89","150,756,047.21","150,985,836.98","177,785,983.88","193,605,531.29","228,592,170.55"
其他非流动负债,,,,,,"919,000.00",,,,"2,859,679.20","4,501,211.18","17,192,246.57","17,267,151.57","22,669,556.61","17,216,030.35","17,499,433.24","12,449,176.41","17,571,581.58","17,473,126.75","20,452,122.06","20,649,067.80","23,042,887.40","51,064,604.68","29,827,814.55","30,278,180.69","38,990,580.16","23,174,635.30","25,145,589.84","20,766,554.16","23,213,156.50","22,956,003.35",,,,,,,,,,,,,,
