科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,"17,000,000.00","15,708,245.18","8,895,074.09",,,,,,,,,,,,,,,,,,,,,
长期股权投资,"88,902,726.16","85,896,401.04","83,458,536.26","85,433,569.25","85,433,569.25","85,355,149.73","85,355,149.71","85,311,230.33","86,016,417.00","86,035,877.85","86,035,877.85","70,878,115.78","70,878,115.78","71,180,165.55","71,180,165.55","67,654,069.70","67,675,768.83","66,669,445.17","66,669,445.17","68,019,709.16","68,019,709.16","122,929,326.45","123,970,465.63","52,171,435.32","52,171,435.32","22,711,149.63","22,711,149.63","35,379,455.15","35,379,455.15","34,716,120.70","59,793,813.89","37,671,044.84","37,483,592.42","37,874,501.55","37,440,026.61","38,675,002.19","37,359,575.26","37,359,575.25","36,166,086.77","70,651,749.39","70,532,109.78","72,752,621.37","69,514,468.56","68,703,707.02","68,666,758.54"
专项应付款,"8,471,674.31",,"7,240,912.74","3,000,000.00","2,814,726.87","2,814,726.87","3,000,000.00","10,010,000.00","10,010,000.00","10,010,000.00","10,010,000.00","12,000,000.00","12,000,000.00","12,000,000.00","15,033,700.00","18,403,700.00","18,690,855.50","26,401,255.50","28,751,255.50","36,920,000.00","36,920,000.00","41,200,000.00","71,200,000.00","50,730,000.00","50,530,000.00","50,130,000.00","50,130,000.00","52,130,000.00","52,130,000.00","52,130,000.00","52,130,000.00","52,130,000.00","52,130,000.00","52,130,000.00","44,130,000.00","25,480,000.00","25,480,000.00","25,480,000.00","25,480,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,164,640.00","15,160,576.42","15,160,576.42"
投资性房地产,,"7,097,010.20","7,170,314.75","9,137,735.87","9,123,357.83","9,108,979.79","9,094,601.75","2,174,817.12","2,160,439.08","2,146,061.04","2,136,475.68","2,112,767.20","2,098,542.10","2,084,317.00","2,109,360.30","2,050,717.28","2,019,138.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,"53,770,000.00","53,770,000.00","53,770,000.00","63,523,561.08","33,523,561.08","12,994,435.48","12,844,435.48","13,276,483.00","13,266,483.00","13,266,483.00","12,709,892.60","12,679,994.00","12,679,994.00","12,679,994.00","12,679,994.00","15,866,186.64","15,866,186.64","15,866,186.64","15,866,186.64","15,866,186.64","15,866,186.64","10,481,069.00","10,481,069.00","9,481,069.00","9,481,069.00","7,481,069.00","7,481,069.00","7,481,069.00","7,481,069.00","7,250,089.00","6,481,069.00","12,274,628.00","12,274,628.00","9,274,628.00","6,274,628.00","6,274,628.00","6,274,628.00","6,274,628.00","6,274,628.00","5,837,828.00","5,837,828.00","5,837,828.00","5,837,828.00","5,837,828.00","5,837,828.00"
固定资产,"220,428,135.06","545,764,685.38","539,377,481.04","526,372,737.24","514,188,360.24","506,005,118.94","740,500,819.43","762,549,106.79","752,570,934.93","873,792,838.18","885,402,251.78","925,723,911.98","913,927,236.14","1,267,935,646.99","1,251,000,698.19","2,050,891,584.16","2,023,208,826.40","2,006,366,699.77","1,975,267,364.47","1,973,629,668.07","1,949,550,490.79","1,732,351,681.42","2,069,066,304.46","3,061,820,091.62","3,017,339,403.96","3,003,983,095.80","3,042,468,227.68","3,457,664,318.05","3,422,046,920.41","3,387,166,139.11","7,565,029,994.37","7,450,089,398.47","7,337,124,836.20","7,227,073,827.94","7,108,349,135.63","7,920,023,723.35","7,801,608,683.58","7,698,929,494.06","7,700,302,302.07","7,589,791,469.56","7,483,482,285.00","7,346,135,008.09","7,241,301,276.50","7,089,853,977.39","7,009,279,173.75"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"42,270,355.83","46,303,876.03","121,108,073.33","164,194,255.85","171,607,631.73","298,536,102.26","84,853,818.36","95,600,614.87","116,787,789.48","20,354,129.02","37,750,639.56","277,340,544.40","372,314,873.95","59,502,289.15","341,095,470.79","6,400,136.22","20,223,312.02","154,805,152.93","486,062,604.48","817,995,673.45","1,158,604,497.60","1,365,700,326.38","1,201,514,149.75","361,641,615.50","442,978,818.42","463,846,806.85","421,804,177.52","20,512,340.15","21,228,422.38","18,409,807.12","45,676,801.07","377,637,929.32","493,591,910.62","586,534,744.81","679,277,542.33","21,110,871.59","22,215,931.76","81,603,383.86","31,551,441.13","21,685,586.06","20,933,654.46","44,433,194.50","126,075,652.16","292,935,020.26","269,873,282.83"
其他非流动负债,,"4,470,272.06",,"1,092,864.93",,"4,665,414.18","3,855,943.79","3,468,824.80","3,625,607.21","2,959,226.80","1,866,361.87","2,626,361.87","2,626,361.87","2,626,361.87","2,476,361.87","2,476,361.87","2,476,361.87","2,476,361.87","6,476,361.87","16,588,399.38","13,545,370.84","3,566,666.67","3,566,666.67","53,513,166.67","56,108,166.67","54,901,166.67","53,997,666.69","58,212,500.04","57,634,000.06","56,105,500.08","55,357,000.10",,,,"55,093,000.18",,,,,,,,,,
工程物资,,,,"16,880.00",,,,,,,,"33,783,002.99","122,400,353.21","464,002,791.66","443,722,234.57","245,230,448.58","352,371,146.99","610,654,966.97","505,845,190.50","252,333,916.42","92,010,456.50","16,153,779.70",,,,,,,,,"174,853,164.19","888,772.94","59,051,316.17","239,062,589.31","226,331,843.41",,,"37,713,082.29",,,,,,,
非流动负债合计,"64,741,674.31","306,240,272.06","364,010,912.74","369,916,426.01","378,638,287.95","362,774,576.53","363,000,379.27","589,055,307.80","589,202,090.21","921,535,709.80","1,127,886,254.47","972,606,355.87","1,018,606,355.87","1,104,606,355.87","1,379,490,055.87","1,396,046,248.51","1,855,333,404.01","2,696,943,804.01","2,775,793,804.01","2,909,424,586.02","3,218,181,557.48","3,145,797,735.67","3,472,355,980.85","3,600,919,309.76","3,817,019,235.67","3,860,312,235.67","3,853,408,735.69","3,590,623,569.04","3,585,045,069.06","3,511,685,589.08","6,785,668,069.10","6,700,303,128.12","6,467,924,628.14","6,641,146,128.16","6,527,881,096.22","6,288,138,379.87","6,187,752,569.46","6,179,678,451.61","6,160,959,144.60","5,873,388,000.62","5,820,267,677.18","5,550,078,584.20","5,449,598,641.27","5,169,188,744.38","5,119,968,178.32"
固定资产清理,548.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"611,369,276.03","996,368,008.29","971,384,820.59","985,031,998.53","986,673,464.23","1,171,357,768.54","1,161,557,366.66","1,248,170,875.82","1,431,753,934.94","1,501,966,560.60","1,755,992,408.75","1,861,910,139.16","1,946,497,926.30","2,450,390,822.43","2,949,513,354.53","3,177,366,965.75","3,651,216,363.34","4,141,169,531.90","4,394,449,987.07","4,538,865,288.74","4,829,922,238.25","4,451,424,601.75","4,516,109,106.71","4,602,053,756.20","4,547,129,726.55","4,515,005,278.64","4,534,294,048.61","4,413,782,055.09","4,380,941,616.43","4,316,669,820.54","7,706,334,174.05","7,664,520,916.02","7,706,935,848.57","7,508,574,651.78","7,385,632,487.37","7,636,291,266.88","7,533,319,721.66","7,557,080,968.86","7,464,095,762.43","7,080,171,445.39","6,913,537,257.79","6,655,466,362.18","6,661,047,259.56","6,449,401,450.95","6,390,400,700.06"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
