科目,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
应收款项,,,,,,,,,,,,,,,,,,,,"3,909,543.81","5,864,326.65","11,665,405.33","22,022,606.32","114,609,465.77","32,189,606.64",,"332,771,805.89","970,637,720.98","558,427,675.52",,,,,,,,,,,,
未决赔款准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预付款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寿险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产,"288,572,500.00","1,124,413,610.15","1,288,579,333.34","1,164,993,051.72","1,591,031,984.13","1,118,920,664.76","1,000,216,729.32","1,317,655,843.03","1,315,085,183.94","1,250,034,029.41","1,075,654,339.43","840,920,382.69","893,375,232.97","483,553,157.57","454,165,667.48","267,397,131.31","544,486,541.07","1,170,138,848.14","1,722,886,607.43","2,552,652,855.50","4,822,051,275.83","5,725,631,350.91","5,297,121,491.22","7,249,260,880.18","7,238,775,921.62","4,973,258,795.35","12,461,355,437.34","10,169,611,118.09","13,652,620,666.34","11,248,211,146.41","11,769,544,256.64","11,632,792,839.82","10,467,092,622.61","9,023,577,277.91","9,302,738,470.63","8,859,087,222.71","8,185,444,273.88","8,238,737,618.68","7,964,287,348.35","6,364,865,695.37",
长期健康险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,"120,000,000.00",,,,"50,010,000.00","50,010,000.00",,,"36,830,300.00",,"170,008,000.00",,,,"250,186,848.00","293,602,122.20","318,630,511.60","295,229,490.27","323,912,822.27","99,441,565.00","100,241,498.00","99,903,969.00",,,,,,,
长期借款,"838,031.00","819,911.00","297,592.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"229,692,532.60","215,161,683.18","250,559,025.76","236,691,191.41","247,449,872.54","220,813,757.59","239,197,676.04","384,003,778.09","321,248,393.78","350,275,258.45","364,211,551.72","382,634,584.30","1,273,811,786.76","1,808,423,917.69","1,858,729,978.07","1,781,707,435.22","1,814,724,605.03","1,794,933,268.77","2,295,163,632.16","2,364,970,554.04","2,320,768,748.43","2,226,270,320.77","2,078,911,404.48","1,655,589,522.35","1,670,170,175.12","1,801,794,698.15","1,966,654,140.87","1,655,217,844.00","1,716,360,143.00","1,551,419,660.63","1,655,684,727.97","1,621,964,192.55","1,668,205,502.03","1,646,113,912.79","1,667,113,912.79","1,648,571,467.49","1,688,171,467.49","1,686,373,720.90","1,717,286,136.04","1,846,765,396.05","1,892,895,258.78"
应付债券,,,,,,,,,,,,,,,,,,,"2,000,000,000.00",,,,"31,860,000.00","3,000,000,000.00","4,696,770,000.00","11,019,193,739.62","9,941,052,762.47","12,714,977,017.90","12,535,535,088.86","15,537,352,133.39","18,549,140,983.93","13,447,553,351.21","13,465,187,774.94","13,715,898,503.63","14,622,459,262.78","16,953,849,842.62","16,954,218,999.34","13,116,354,661.01","13,346,099,220.85","13,237,045,789.14","13,612,530,605.66"
存出资本保证金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
独立帐户负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,"10,753,633.78","10,626,964.15","10,500,294.52","69,817,241.48","68,973,665.87","68,130,090.26","67,286,514.65","99,840,045.86","98,831,121.77","94,990,258.99","93,750,480.94","92,510,702.89","91,270,924.84","90,031,146.79","82,824,350.24","81,857,142.12","80,700,249.45","79,543,356.78","78,386,464.11","44,844,890.20","44,172,272.83","43,499,655.46","50,199,670.09","49,332,925.35","48,660,307.98","47,599,435.88","46,946,811.62","46,180,052.06","45,308,214.95","44,436,377.85","43,564,540.74","42,692,703.64","41,820,866.53","40,949,029.43","40,077,192.32","39,205,355.22","38,333,518.11","37,461,681.01","36,589,843.90","35,718,006.80","34,846,169.69"
递延所得税负债,"59,377,022.00","63,615,883.08","103,417,596.65","123,077,516.09","165,359,979.86","31,662,806.61","58,018,401.78","29,301,686.80","30,251,716.12","23,806,561.55","8,901,959.32","3,353,280.49","6,441,330.53","18,607,102.22","14,846,591.87","6,914,707.95","19,320,894.41","17,091,360.65","49,361,840.95","9,788,962.56","26,746,779.18","106,771,789.13","157,375,449.85","291,918,502.70","322,776,590.99","149,979,841.50","94,440,312.60","153,414,050.84","138,093,798.14","116,755,938.26","133,774,227.98","8,239,428.84","16,421,741.93","64,408,557.00","116,261,649.04","118,844,992.53","34,634,843.78",,,"13,490,413.70","101,469,292.46"
存货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他负债,"120,573,605.10","116,418,095.30","131,826,020.00","79,912,990.15","110,504,404.21","70,239,832.08","74,542,455.44","72,141,778.07","57,519,631.49","62,192,725.61","76,209,960.80","199,104,165.36","180,726,399.01","142,815,529.67","151,032,502.33","63,795,855.92","89,127,486.25","265,541,239.90","132,352,674.14","4,014,479,358.44","3,588,500,328.63","755,348,134.05","174,984,725.33","1,926,780,509.27","2,506,633,058.74","964,405,235.36","9,597,980,470.71","6,606,480,337.43","13,245,070,558.02","7,429,598,940.12","5,841,020,469.42","155,743,389.49","273,257,548.65","704,204,333.91","201,839,283.39","553,940,916.13","152,831,207.64","462,076,749.98","237,363,990.44","154,795,529.59","1,766,117,391.80"
固定资产,"370,082,877.72","345,976,705.15","499,180,838.19","285,361,972.96","280,622,588.10","274,435,071.87","327,852,548.98","246,651,881.68","242,589,860.90","311,672,872.44","312,231,105.22","310,172,614.47","302,455,673.76","299,146,604.80","294,082,305.50","293,790,991.82","289,545,447.52","283,015,077.60","291,980,175.50","283,081,115.89","285,452,503.64","286,941,477.79","289,885,342.68","294,711,500.78","294,035,077.50","307,691,264.10","307,663,548.01","315,975,350.79","317,256,696.55","317,622,506.57","308,807,934.62","335,328,716.71","328,523,277.82","341,536,767.49","331,043,537.05","353,408,660.67","340,327,949.80","329,037,361.29","320,695,307.18","313,507,532.74","311,684,647.70"
负债合计,"8,303,828,960.09","5,919,870,108.67","9,363,599,649.53","10,292,645,763.87","10,139,614,538.27","8,789,990,145.77","7,811,249,922.63","11,654,769,030.90","10,003,963,323.43","8,981,384,435.53","8,149,380,130.97","7,868,238,068.09","7,547,400,962.27","6,253,490,462.32","5,956,036,809.23","6,851,942,342.10","10,271,802,243.93","10,671,176,509.99","14,987,346,344.13","19,074,221,119.44","15,785,161,984.75","17,003,172,649.55","23,987,309,126.10","40,982,558,807.94","47,599,916,906.04","76,366,852,210.54","59,753,274,874.74","52,159,299,089.46","53,921,111,361.75","59,832,101,848.44","56,654,279,253.51","51,331,908,074.01","46,188,254,710.16","48,070,461,911.85","41,716,184,343.87","43,645,632,040.02","47,279,792,598.50","45,842,686,629.51","44,903,238,906.75","44,718,250,904.12","51,070,002,925.46"
