科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
固定资产,"334,519,858.24","331,357,428.05","336,186,703.36","370,775,115.08","368,351,196.07","336,653,374.78","476,220,123.09","521,114,690.99","516,487,555.53","509,708,078.85","572,807,963.70","560,714,981.30","554,419,411.05","551,739,318.42","802,138,847.08","835,954,164.02","824,068,047.94","818,204,121.83","768,939,081.93","779,682,834.75","773,491,881.49","760,970,761.50","760,295,107.11","868,452,068.52","967,564,280.73","957,358,397.94","955,602,782.86","968,532,179.83","958,248,877.98","946,009,155.38","930,000,752.18","954,548,371.21","936,270,183.56","920,704,378.59","906,113,056.88","895,150,532.40","878,171,350.53","846,151,287.11","822,385,706.83","831,998,716.84","817,831,335.23","808,643,502.69","796,811,805.14","844,701,319.17","833,572,014.08","823,886,323.25"
递延所得税负债,"2,280.30","18,271.70","36,075.60","1,650,048.26","1,033,636.05","701,785.87","562,208.71","565,850.64","663,411.64","766,793.56","669,963.56","933,088.56","1,126,748.56","710,106.91","11,860,675.67","10,849,704.11","10,684,010.12","10,503,567.06","10,333,378.53","9,498,886.17","9,334,612.60","9,169,059.27","8,996,666.85","8,223,326.12","8,058,922.64","7,892,065.07","7,728,081.59","7,063,523.34","6,894,131.62","6,729,842.65","6,568,951.34","6,414,689.36","6,252,647.41","6,074,955.37","5,913,215.28","5,797,115.29","5,680,205.60","5,570,623.63","82,014,227.11","81,473,086.62","84,516,205.98","78,158,321.17","67,873,309.04","63,924,510.70","61,309,444.24","53,708,756.01"
在建工程,"102,912,078.54","125,362,516.24","146,709,417.79","160,085,756.22","201,850,084.99","218,380,173.40","104,678,977.97","91,676,163.93","98,973,081.89","113,569,152.59","54,569,137.81","38,510,060.37","47,181,785.78","54,472,112.40","80,651,098.82","44,859,354.83","62,795,545.56","70,836,769.43","92,244,785.06","109,784,797.38","116,935,038.77","141,212,719.53","167,972,542.72","191,714,537.90","95,325,493.84","109,203,308.37","90,327,289.42","65,899,781.67","68,990,600.66","75,272,598.15","81,460,821.83","47,461,758.54","51,433,287.81","52,119,676.89","60,673,661.58","58,369,754.98","63,855,339.98","64,571,604.96","69,117,936.28","59,461,287.27","63,580,199.72","71,102,412.97","81,000,052.85","56,845,419.90","68,370,184.21","87,397,625.91"
其他非流动负债,,,,"56,515,429.72","63,295,974.58","44,015,394.63","52,401,679.87","48,620,857.21","53,387,215.92","43,360,483.07","49,008,952.37","40,786,023.78","39,091,145.51","34,380,950.45","87,293,938.35","77,321,852.18","89,153,462.59","123,783,540.16","158,380,310.12","159,391,798.60","146,614,558.59","148,657,543.55","149,599,984.53","145,397,889.55","144,231,167.68","139,991,897.43","145,884,394.43","122,801,581.67","127,810,894.83","126,282,947.14","127,540,463.51",,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"77,497,794.00","68,181,281.45","93,696,661.05","78,165,477.98","64,329,610.63","44,717,180.50","52,963,888.58","49,186,707.85","59,050,627.56","58,127,276.63","59,678,915.93","51,719,112.34","50,217,894.07","45,091,057.36","317,154,614.02","136,171,556.29","147,837,472.71","194,287,107.22","250,713,688.65","168,890,684.77","155,949,171.19","206,373,908.22","207,234,651.17","202,571,297.85","201,383,460.16","196,990,729.62","202,862,010.27","185,257,406.39","190,239,382.63","188,559,556.91","202,798,948.10","154,215,570.63","147,322,388.72","146,920,395.41","163,492,908.12","150,404,172.65","146,450,535.99","137,728,044.60","219,952,207.49","210,199,491.08","205,951,120.73","201,215,488.59","190,742,702.35","188,068,536.42","181,146,757.98","170,199,476.75"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,865.65","43,865.65",,,,,
负债合计,"936,717,273.13","931,794,840.71","965,185,523.64","999,301,373.79","960,370,309.22","969,333,102.70","978,778,798.76","963,318,604.90","953,284,292.45","935,666,190.20","949,843,421.95","1,054,083,395.05","991,300,078.66","1,067,597,318.65","1,600,354,962.30","1,387,978,472.37","1,492,483,188.98","1,587,457,458.40","1,485,827,164.93","1,515,052,477.02","1,388,319,436.06","1,532,933,224.17","1,439,901,169.58","1,579,262,150.70","1,550,219,769.57","1,621,940,497.04","1,685,737,355.49","1,704,578,577.19","1,593,092,745.77","1,563,791,781.56","1,535,322,722.04","1,519,716,820.98","1,457,805,057.98","1,513,330,213.52","1,566,611,284.74","1,599,681,611.65","1,598,770,840.89","1,616,436,002.64","1,738,211,942.32","1,952,396,609.24","1,918,395,759.19","1,970,906,961.24","2,004,519,327.23","2,094,784,080.04","2,046,940,394.51","2,033,482,096.22"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","241,726,394.00","266,720,270.00","266,720,270.00","266,720,270.00","266,720,270.00","266,720,270.00","266,720,270.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00","400,080,405.00"
