科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,"392,001,636.52","392,440,909.55","392,956,327.65","393,595,600.68","394,234,873.71","394,874,146.74","395,635,251.89","396,304,982.96","396,974,714.03","397,644,445.10","398,314,176.17","398,983,907.24","296,740,000.00","296,740,000.00","296,740,000.00","296,740,000.00","296,740,000.00","296,740,000.00",,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"66,190,078.60","66,098,731.43","66,002,625.49","66,005,275.99","66,164,597.36","66,077,048.99","66,009,623.89","65,924,973.82","65,852,099.43","65,894,080.07","71,128,224.24","66,693,038.44","66,739,455.86","69,713,193.99","76,002,951.45","659,784,590.85","665,193,798.71","651,702,664.92","653,479,494.91","643,073,918.01","643,095,319.95","652,535,060.86","657,368,792.78","754,585,397.04","756,345,388.82","755,833,586.46","770,379,417.34","99,226,157.64","99,286,987.90","99,060,924.14","99,060,924.14","98,853,934.24","2,532,065.59","2,532,065.59","2,532,065.59",,,,,,,,,,,
专项应付款,"12,285,796.03","12,457,570.83","12,690,498.83","12,270,820.31","17,294,296.41","19,978,642.54","20,155,436.04","14,966,814.89","16,417,816.01","17,409,156.27","17,791,843.17","9,528,986.85","7,445,233.13","12,479,608.00","12,479,675.00",,,,,,,,,,,,,,"4,000,000.00","12,228,542.79",,,,,,,,,,,,,,,,
投资性房地产,,,,"104,203,745.13","103,327,561.92","102,235,580.61","101,251,498.35","100,699,252.31","99,823,129.10","98,947,005.89","98,070,882.68","97,194,759.47","96,318,636.26","95,442,513.05","94,566,389.84","93,690,266.63","92,814,143.42","26,379,906.29","26,112,933.14","25,845,959.99","29,771,484.84","29,397,009.69","29,022,534.54","28,648,059.39","28,273,584.24","27,899,109.09","27,524,633.94","27,150,158.79","26,905,273.64","26,530,798.49","26,156,323.34","25,769,969.11","25,409,892.96","25,035,417.81","24,660,942.66","24,272,308.59","23,897,833.44","23,523,358.29","23,148,883.14","22,774,407.99","22,399,932.84","22,025,457.69","21,650,982.54","21,276,507.39","20,902,032.24","20,527,557.09"
预计负债,,,,,,,,,,,,,,,,,,,,,,,"2,208,832.45","2,920,489.22","2,993,834.05","2,949,295.24","3,074,651.67","4,972,479.98","5,909,222.60","5,861,507.65","6,306,285.44","7,416,235.14","6,971,103.97","5,978,326.66","6,599,769.13","5,531,705.31","5,365,259.94","5,675,974.08","7,256,277.28",,,,,,,
固定资产,"461,458,195.64","453,228,115.63","447,935,229.07","287,117,066.66","280,686,977.85","277,256,632.85","272,811,873.56","268,570,971.69","265,462,660.27","259,410,182.50","256,866,897.86","278,071,532.48","287,101,176.30","277,528,931.60","258,928,294.20","85,181,171.29","82,988,897.02","81,954,696.00","78,884,576.30","78,785,707.96","75,525,230.63","73,766,587.87","70,920,250.65","68,363,732.53","65,525,843.52","58,517,590.02","60,495,042.07","161,713,801.49","157,205,323.28","150,767,494.63","150,693,795.25","191,364,194.60","184,555,344.30","182,437,723.89","138,872,497.38","156,842,269.69","157,131,024.31","155,662,676.29","210,941,457.33","232,240,702.77","230,013,617.90","226,948,537.82","228,286,398.25","229,306,964.64","232,708,511.51","231,737,960.64"
递延所得税负债,"196,307.94","112,176.04","28,044.14",,,,,,,,,,,,,,,,,,,,,,,,,"17,186,028.27","17,094,112.41","16,852,123.02","16,742,077.24","16,624,578.40","16,484,215.93","16,343,853.46","16,203,490.99","367,669.13","367,669.13","367,669.13",,,,,"7,798,438.48",,"3,267,072.52","2,908,767.50"
在建工程,"35,332,178.47","35,124,894.42","34,324,803.22","3,129,280.79","3,425,898.53","4,677,594.90","4,518,039.05","3,732,313.76","3,644,059.13","4,159,473.33","4,054,646.70","4,401,728.53","3,590,245.05","75,360,939.85","5,292,041.12","4,630,922.28","3,560,509.89","4,038,966.29","3,646,452.17","1,722,991.40","1,158,888.86","1,168,597.60","111,657,066.64","50,385,316.64","32,419,317.16","29,948,024.13","59,207,606.45","111,875,860.20","98,551,506.64","101,098,419.90","114,761,858.78","83,240,770.22","93,036,789.05","128,430,711.49","165,226,205.24","167,529,678.34","222,634,290.61","239,633,738.43","208,753,356.03","747,976.89","2,868,828.77","3,999,230.89","2,538,550.73","3,771,646.03","3,703,385.31","3,446,669.64"
其他非流动负债,,,,,,,,,,,,"7,073,404.72","7,073,404.72","3,573,471.72",,"13,679,675.00","13,679,675.00","11,879,675.00","11,079,675.00","5,195,355.00","5,945,355.00","5,745,355.00","7,245,355.00","9,935,355.00","9,935,355.00","9,335,355.00","9,335,355.00","14,129,367.30","7,840,000.00","12,934,012.30","25,162,555.09",,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"83,543,931.07","83,631,573.97","83,780,370.07","70,600,820.31","55,624,296.41","58,308,642.54","58,485,436.04","21,966,814.89","23,417,816.01","24,409,156.27","24,791,843.17","16,602,391.57","14,518,637.85","16,053,079.72","12,479,675.00","13,679,675.00","13,679,675.00","11,879,675.00","11,079,675.00","5,195,355.00","5,945,355.00","397,746,991.52","401,895,097.00","405,812,171.87","406,524,789.73","406,519,523.95","407,284,153.41","488,923,127.44","488,148,317.97","530,850,899.79","531,855,362.87","531,367,544.80","532,601,782.23","338,874,735.21","339,055,815.21","321,355,594.23","318,615,191.34","329,580,905.48","332,027,497.07","29,072,935.30","149,614,349.20","134,172,763.10","140,986,215.48","12,965,990.90","16,006,540.86","15,421,713.28"
固定资产清理,,,,,,,,,,,,,,,,,437.40,,"4,121.59",,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"2,380,768,883.83","2,440,519,340.81","2,435,150,456.17","2,016,906,146.65","1,978,578,714.18","2,106,797,559.47","2,071,572,179.50","2,127,677,011.30","1,924,072,208.86","1,907,441,169.16","1,941,216,344.27","1,703,359,214.76","1,655,953,192.38","1,858,749,122.62","1,434,738,712.68","1,438,703,705.65","1,192,127,116.88","1,131,429,298.10","1,137,687,467.71","1,188,891,015.12","972,265,517.92","1,180,454,359.99","1,361,802,572.66","1,320,291,402.13","1,262,501,868.32","1,113,248,876.51","1,191,979,904.67","1,906,218,935.70","1,911,887,474.85","1,818,199,195.60","1,774,807,370.26","1,889,392,901.49","1,739,937,788.48","1,783,288,720.17","1,921,005,837.40","2,047,574,564.90","1,910,688,353.62","2,159,154,161.45","2,190,869,831.19","1,197,683,668.84","1,544,855,462.53","1,341,820,101.41","2,095,654,573.24","2,186,733,018.07","3,312,241,111.04","2,280,447,584.34"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"575,680,000.00","575,680,000.00","575,680,000.00","575,680,000.00","575,680,000.00","575,680,000.00","575,680,000.00","575,680,000.00","575,680,000.00","575,680,000.00","575,680,000.00","575,680,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00","690,816,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"63,348,626.63","63,348,626.63","63,348,626.63","72,585,376.67","72,585,376.67","72,335,376.67","72,335,376.67","72,255,376.67","72,255,376.67","72,255,376.67","72,255,376.67","72,255,376.67","72,255,376.67","72,255,376.67","72,255,376.67","72,255,376.67","59,663,798.28","59,385,807.28","59,385,807.28","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","58,281,023.24","56,570,717.27","40,814,421.67","40,814,421.67","40,814,421.67","40,814,421.67","40,814,421.67","40,814,421.67","40,814,421.67"
