科目,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
分配股利、利润或偿付利息支付的现金,"910,669.28","1,014,091,464.00","1,014,091,464.00","1,061,938,230.03",,"1,253,522,866.00","1,253,522,866.00","1,253,522,866.00",,,"1,479,822,866.00","1,483,647,184.04",,"204,937,662.21","1,185,160,445.60","1,292,535,273.39","139,684,931.50","880,792,312.09","2,256,978,188.67","2,464,777,992.38","232,322,896.22","2,541,444,694.31","3,446,677,382.89","4,157,728,415.12","1,065,952,522.26","4,544,119,473.65","11,075,572,728.60","11,223,223,443.98","192,204,367.57","3,413,845,393.93","6,386,017,820.73","7,056,029,528.21","381,565,585.25"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,"3,271,079.72","3,207,924.29",,"1,083,056.59",,,"323,214,631.01","7,868,410.73","35,530,423.68","55,316,458.19","58,614,656.40",,,,"137,685,135.29","84,441,154.90","344,514,784.89",,,,,,"11,873,863,135.08","14,235,717,113.71","23,915,317,020.47","24,585,617,020.47","25,218,384,020.47","609,458,000.00","7,221,159,668.68","7,905,056,000.00","16,046,338,827.57","3,431,530,000.00"
支付原保险合同赔付款项的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"910,669.28","1,017,362,543.72","1,017,299,388.29","1,061,938,230.03","1,083,056.59","1,253,522,866.00","1,253,522,866.00","1,576,737,497.01","7,868,410.73","35,530,423.68","1,535,139,324.19","1,542,261,840.44","69,361,170.18","204,937,662.21","1,185,160,445.60","1,430,220,408.68","224,126,086.40","1,254,707,096.98","2,286,378,188.67","2,494,177,992.38","232,322,896.22","2,541,444,694.31","3,854,328,382.89","57,631,591,550.20","30,801,669,635.97","73,959,436,494.12","84,161,189,749.07","86,941,607,464.45","5,801,662,367.57","47,211,628,568.71","54,751,201,534.72","71,528,486,243.98","10,244,851,827.56"
支付保单红利的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动产生的现金流量净额,"11,745,036.31","-1,004,706,838.13","-1,004,643,682.70","-1,048,709,621.72","-1,083,056.59","-1,118,900,973.20","10,941,298,469.42","10,624,337,724.04","368,714,651.09","437,943,102.92","-1,015,139,758.71","6,014,099,354.58","5,968,394,219.80","13,971,394,519.34","12,507,579,295.18","12,372,155,237.23","1,555,536,026.31","2,452,411,910.39","8,496,172,225.34","36,106,621,701.08","20,089,791,571.25","100,207,154,643.04","75,813,614,016.85","66,679,846,092.97","-26,499,462,086.60","-32,246,751,822.44","-21,984,864,784.75","-18,731,183,873.91","-2,986,889,887.04","-18,639,176,065.83","4,624,041,618.53","6,308,006,487.53","-2,312,444,512.45"
支付给职工以及为职工支付的现金,"1,341,312,081.16","1,725,664,326.53","2,079,424,998.85","2,480,706,408.60","1,441,621,224.96","1,945,925,071.03","2,425,056,905.22","2,992,567,558.19","874,750,408.29","1,349,709,761.67","1,785,316,505.07","2,210,560,457.66","1,038,362,123.12","1,474,151,854.13","1,930,021,784.89","2,469,919,712.98","1,217,606,688.06","1,727,015,480.06","2,301,923,649.90","2,939,795,414.20","980,244,160.33","3,434,642,910.84","4,949,526,674.18","6,243,998,945.96","1,682,968,118.02","5,130,156,123.17","6,131,350,254.17","7,281,376,930.67","1,456,181,272.74","4,355,756,428.87","5,706,395,702.06","6,834,872,530.28","2,557,797,655.41"
四、汇率变动对现金的影响,"-959,717.89","-6,945,209.03","-15,893,015.01","-26,374,618.21","-7,536,480.03","-11,581,410.25","-24,618,107.62","-34,563,807.33","-293,156.14","645,793.48","7,432,552.37","9,230,639.62","-6,441,266.09","-15,412,235.78","-23,688,270.46","-28,166,410.85","3,234,695.96","4,559,225.89","-3,033,652.72","-6,425,869.38","565,906.39","287,331,328.52","309,627,420.63","440,551,328.96","-104,170,210.39","93,935,787.78","123,984,812.97","357,641,296.56","-34,028,265.70","-165,146,323.53","-308,392,900.07","-316,152,500.44","-212,853,654.60"
支付的各项税费,"496,227,273.08","1,081,219,068.72","1,400,751,939.85","1,674,040,935.16","1,035,128,278.03","1,469,454,990.38","1,688,896,050.07","1,824,420,780.06","133,883,055.37","387,875,061.64","642,893,810.46","832,212,918.13","215,733,315.52","505,362,455.67","796,269,670.80","1,151,757,592.06","330,062,012.14","743,186,522.55","1,074,748,822.25","1,713,926,167.07","1,071,860,846.44","2,567,502,062.31","4,845,510,907.40","6,264,623,048.25","980,225,036.26","2,442,966,129.10","3,285,778,690.04","4,090,449,888.69","779,097,326.83","2,228,711,520.72","3,050,446,294.84","3,662,987,185.74","788,147,811.12"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"1,072,858,170.26","13,503,541,534.15","24,005,318,677.80","9,127,791,263.77","18,714,413,302.73","26,428,187,570.14","34,643,520,752.60","38,250,679,458.40","2,119,351,575.28","5,703,403,819.50","7,869,447,621.04","13,222,711,471.17","8,305,507,851.30","13,631,928,168.16","16,305,475,803.84","21,616,223,243.91","6,828,960,476.18","6,944,972,154.29","18,229,026,090.25","52,228,166,638.52","48,955,551,641.15","112,940,278,901.22","57,566,242,791.70","62,668,975,462.32","21,974,610,329.30","23,435,077,313.70","37,064,797,877.11","80,818,211,791.53","11,847,103,181.94","33,563,497,180.73","38,673,223,332.94","39,470,278,087.71","10,407,626,993.13"
五、现金及现金等价物净增加额,"3,114,564,451.01","-14,949,915,660.62","-23,546,082,883.79","-14,243,782,790.98","-17,437,111,991.00","-25,235,317,091.33","-22,394,534,658.39","-27,060,739,128.94","4,089,208,579.31","-983,836,681.76","332,608,590.50","-1,510,374,327.18","472,677,406.81","2,070,700,400.45","-3,616,918,930.49","-4,366,573,217.07","3,526,404,999.57","6,319,812,443.54","18,598,774,837.21","52,793,770,165.11","27,791,974,335.34","142,083,821,183.97","80,373,351,987.58","47,648,365,613.68","-16,400,668,036.42","-27,892,941,527.10","-35,075,955,837.69","-35,432,403,298.70","-14,931,559,312.45","-13,229,740,030.99","-22,573,328,900.77","-27,640,954,133.26","5,494,625,380.49"
经营活动现金流出小计,"3,246,481,181.07","16,943,912,614.07","28,468,478,269.69","14,754,606,665.92","21,527,581,233.50","30,485,431,951.75","39,694,655,094.55","44,246,933,165.10","3,437,252,935.59","8,044,943,615.27","11,122,788,691.33","17,297,776,178.03","9,805,517,049.18","16,098,674,311.29","19,806,540,600.82","26,390,614,675.52","8,843,075,072.41","10,253,991,618.95","22,957,689,093.11","59,045,162,104.47","52,338,741,941.07","122,442,546,677.46","72,492,134,397.28","79,247,127,368.28","25,532,151,749.59","45,015,620,797.51","68,595,503,565.37","95,321,447,987.15","25,809,953,118.34","41,730,445,603.59","50,015,223,159.29","60,510,594,530.69","14,526,016,728.45"
期初现金及现金等价物余额,"84,211,847,480.07","84,211,847,480.07","84,211,847,480.07","84,211,847,480.07","69,968,064,689.09","69,968,064,689.09","69,968,064,689.09","69,968,064,689.09","42,907,325,560.15","42,907,325,560.15","42,907,325,560.15","42,907,325,560.15","41,396,951,232.97","41,396,951,232.97","41,396,951,232.97","41,396,951,232.97","37,030,378,015.90","37,030,378,015.90","37,030,378,015.90","37,030,378,015.90","89,824,148,181.01","89,824,148,181.01","89,824,148,181.01","89,824,148,181.01","137,472,513,794.69","137,472,513,794.69","137,472,513,794.69","137,472,513,794.69","102,040,110,495.99","102,040,110,495.99","102,040,110,495.99","102,040,110,495.99","74,399,156,362.73"
经营活动产生的现金流量净额,"3,752,750,738.29","-12,836,530,311.83","-21,329,649,199.37","-5,559,141,491.95","-15,681,038,459.21","-23,093,131,737.09","-30,811,560,769.73","-32,696,353,437.09","3,693,669,768.18","-1,877,939,158.21","1,506,108,630.46","-6,965,342,539.10","-4,559,734,023.52","-9,398,053,497.12","-10,263,229,000.19","-8,688,020,921.11","-149,698,404.89","663,528,787.14","11,924,371,257.08","25,416,953,468.46","6,920,430,869.77","56,042,423,000.65","36,412,808,516.61","38,148,319,618.82","579,459,868.99","-2,514,229,891.96","-11,651,042,329.57","-21,152,205,865.81","-13,157,844,878.73","-1,808,907,034.49","-29,825,482,348.44","-38,642,662,704.28","18,092,493,550.79"
期末现金及现金等价物余额,"87,326,411,931.08","69,261,931,819.45","60,665,764,596.28","69,968,064,689.09","52,530,952,698.09","44,732,747,597.76","47,573,530,030.70","42,907,325,560.15","46,996,534,139.46","41,923,488,878.39","43,239,934,150.65","41,396,951,232.97","41,869,628,639.78","43,467,651,633.42","37,780,032,302.48","37,030,378,015.90","40,556,783,015.47","43,350,190,459.44","55,629,152,853.11","89,824,148,181.01","117,616,122,516.35","231,907,969,364.98","170,197,500,168.59","137,472,513,794.69","121,071,845,758.27","109,579,572,267.59","102,396,557,957.00","102,040,110,495.99","87,108,551,183.54","88,810,370,465.00","79,466,781,595.22","74,399,156,362.73","79,893,781,743.22"
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
