科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
无形资产,"149,312,258.03","184,031,432.11","199,807,717.85","199,190,347.41","195,882,860.47","220,978,041.12","207,120,317.90","220,415,083.97","200,854,757.71","198,497,606.60","197,829,211.28","193,779,696.10","191,844,499.18","189,349,126.74","239,290,055.83","238,041,502.59","234,853,559.47","230,238,886.32","226,807,715.15","251,000,352.55","248,774,701.65","247,416,953.23","246,115,075.37","243,693,412.43","240,849,633.91","237,236,416.26","236,981,492.87","233,301,280.57","229,862,270.41","226,420,801.85","222,243,607.59","218,631,869.75"
盈余公积,,"18,915,575.64","30,080,227.52","30,080,227.52","30,080,227.52","30,080,227.52","83,033,148.61","83,033,148.61","83,033,148.61","83,033,148.61","93,646,768.14","93,646,768.14","93,646,768.14","93,646,768.14","104,867,010.48","104,867,010.48","104,867,010.48","104,867,010.48","200,490,000.00","200,490,000.00","200,490,000.00","200,490,000.00","200,490,000.00","200,490,000.00","200,490,000.00","200,490,000.00","200,490,000.00","200,490,000.00","200,490,000.00","200,490,000.00","200,490,000.00","200,490,000.00"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,830,650.92","67,955,810.38","111,484,575.78"
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"183,987,584.28","377,758,280.95","823,997,537.11","938,266,514.73","989,458,210.31","1,099,139,349.20","1,192,122,884.50","1,325,513,240.66","1,247,135,657.13","1,291,953,633.18","1,295,351,991.88","1,394,568,672.90","1,365,136,768.82","1,391,327,325.15","1,454,172,434.72","1,566,740,272.96","1,473,452,823.97","1,524,330,272.61","1,548,287,196.00","1,661,099,256.55","1,459,071,494.49","1,503,386,512.49","1,552,756,893.36","1,666,668,314.53","1,487,180,397.39","1,504,018,042.51","1,538,636,800.53","1,657,973,248.88","1,506,066,285.02","1,510,330,343.65","1,475,093,294.23","1,554,232,453.50"
长期待摊费用,"1,425,216.96","6,037,540.74","41,516,517.37","42,472,475.47","51,450,896.06","67,142,448.79","65,833,271.37","115,931,498.68","120,397,592.62","112,584,906.63","114,403,234.88","134,283,457.53","124,091,503.50","97,525,807.30","100,731,545.69","93,610,310.77","92,515,521.27","104,276,082.77","158,290,273.07","156,857,590.69","152,107,471.88","155,204,925.83","187,731,984.19","177,505,578.81","174,526,066.11","158,468,819.45","190,936,410.32","169,805,025.64","162,231,133.59","163,501,462.30","178,235,138.08","159,626,228.61"
少数股东权益,,,,,,,,,,,,,,,,"1,029,000.00","523,989.78","936,081.98","727,700.63","555,774.43","617,271.10","283,372.94","732,174.84","784,614.51","580,969.66","58,422.36","-466,137.56","10,422,275.48","11,341,485.22","10,863,619.86","10,138,268.71","9,870,720.85"
递延所得税资产,"16,128,737.23","34,635,445.05","36,883,547.20","31,200,335.36","28,563,127.66","26,895,989.56","54,277,430.92","46,434,442.38","55,158,230.26","64,778,764.93","93,309,817.23","96,894,097.76","102,005,233.57","114,211,430.82","100,521,217.36","104,516,398.57","97,554,985.58","94,120,686.14","76,025,501.71","87,913,833.17","79,240,141.98","88,563,874.93","87,066,876.66","83,828,249.56","77,606,599.04","91,608,744.51","93,732,352.46","89,946,362.14","91,644,266.67","97,334,656.74","100,326,484.15","99,727,683.48"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,"6,755,500.00","6,755,500.00",,,"51,085,296.00","51,085,296.00","51,085,296.00","51,085,296.00",,,,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"354,577,524.80","415,775,962.57","484,816,716.07","478,259,810.43","547,955,897.93","572,840,650.14","612,129,143.45","675,329,217.39","699,336,079.76","736,586,130.74","855,937,862.80","913,386,629.88","913,044,591.00","893,135,524.99","878,150,997.86","1,084,671,792.54","1,085,361,033.02","1,601,130,410.75","1,582,129,246.52","1,616,580,247.24","1,635,106,052.50","1,647,768,230.13","1,654,206,337.47","1,628,106,811.26","1,599,086,134.89","1,578,816,984.35","1,616,573,827.70","1,569,036,169.43","1,562,222,431.98","1,559,746,389.96","1,508,163,427.46","1,488,879,247.92"
所有者权益(或股东权益)合计,"290,647,584.28","720,698,067.59","1,178,101,975.63","1,292,370,953.25","3,350,262,146.62","3,459,943,285.51","3,605,879,741.90","3,739,270,098.06","3,660,892,514.53","3,705,710,490.58","3,719,722,468.81","3,818,939,149.83","3,789,507,245.75","3,815,697,802.08","3,889,763,153.99","4,003,359,992.23","3,909,567,533.02","3,966,124,600.08","4,087,885,589.84","4,200,270,761.63","4,001,428,243.30","4,046,059,357.76","4,095,531,163.33","4,208,623,040.75","4,029,568,847.18","4,045,828,913.85","4,079,729,925.96","4,210,322,490.58","4,058,333,802.15","4,049,658,702.46","3,973,877,470.48","4,003,456,961.26"
资产总计,"1,422,813,702.00","1,818,821,028.60","2,363,688,752.86","2,230,021,114.82","4,536,616,351.50","4,409,971,518.05","5,095,303,684.25","4,814,677,786.18","4,516,325,676.98","4,578,814,305.19","4,778,691,541.37","4,726,722,793.12","4,720,895,961.47","4,566,358,782.43","4,738,972,757.82","4,831,878,696.35","4,932,914,000.63","5,182,351,006.22","5,645,419,070.83","5,550,736,459.29","5,312,802,265.27","5,317,444,626.21","5,544,976,738.08","5,301,768,221.52","5,160,523,464.17","5,101,595,928.14","5,333,843,198.97","5,306,476,129.09","4,906,712,961.65","4,717,928,871.72","4,877,869,034.72","4,750,041,796.01"
负债和所有者(或股东权益)合计,"1,422,813,702.00","1,818,821,028.60","2,363,688,752.86","2,230,021,114.82","4,536,616,351.50","4,409,971,518.05","5,095,303,684.25","4,814,677,786.18","4,516,325,676.98","4,578,814,305.19","4,778,691,541.37","4,726,722,793.12","4,720,895,961.47","4,566,358,782.43","4,738,972,757.82","4,831,878,696.35","4,932,914,000.63","5,182,351,006.22","5,645,419,070.83","5,550,736,459.29","5,312,802,265.27","5,317,444,626.21","5,544,976,738.08","5,301,768,221.52","5,160,523,464.17","5,101,595,928.14","5,333,843,198.97","5,306,476,129.09","4,906,712,961.65","4,717,928,871.72","4,877,869,034.72","4,750,041,796.01"
