科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,686,386.00","76,126,511.45","91,024,413.29","74,008,488.47","28,692,532.79","22,949,498.22","17,115,642.91","12,189,526.92",,,,,
长期股权投资,"380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","6,380,000.00","2,380,000.00","1,765,190.45","1,765,190.45","1,765,190.45","1,765,190.45","3,436,924.72","3,436,924.72","3,436,924.72","4,636,924.72","4,310,153.13","8,484,876.13","10,334,876.13","10,334,876.13","9,089,811.84","9,089,811.84","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36",,,,,,,,,,,,,,
专项应付款,"8,188,567.40","8,247,312.41","9,341,219.70","5,070,000.00","5,067,199.00","5,067,199.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,870,000.00","5,070,000.00","5,470,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","5,070,000.00","2,590,000.00","2,590,000.00","2,590,000.00","2,590,000.00","2,590,000.00","2,590,000.00","1,488,181.80","1,488,181.80","1,498,802.80","1,498,802.80","1,488,181.80","1,488,181.80","1,488,181.80","1,488,181.80","1,017,272.70","1,017,272.70","1,017,272.70"
投资性房地产,"9,685,734.77","9,609,865.42","9,548,268.43","8,384,626.67","8,322,719.99","8,276,100.23","8,221,837.01","6,339,169.12","7,413,560.50","7,363,991.77","7,314,423.04","7,264,854.31","7,215,285.58","7,165,716.85","7,116,148.12","7,066,579.39","7,017,010.66","6,967,441.93","6,917,873.20","6,868,304.47","6,818,735.74","6,769,167.01","6,719,598.28","6,670,029.55","7,032,108.88","7,137,972.15","7,084,965.52","6,851,106.55","6,809,333.55","6,762,538.95","6,713,233.50","6,663,928.05","6,614,622.60","6,565,317.15","6,516,011.70","6,466,706.25","6,406,424.25","6,346,142.25","6,285,860.25","6,225,578.25","6,165,296.25","6,105,014.25","6,044,732.25","5,676,588.02"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"226,263,631.28","233,680,723.69","235,304,628.84","253,217,285.79","251,027,332.79","250,358,357.74","253,646,030.99","260,402,001.72","257,633,234.56","259,217,352.65","259,854,853.54","280,266,674.02","289,973,222.30","294,885,309.59","296,051,944.25","321,157,749.12","325,273,367.63","323,379,887.45","331,218,588.75","326,338,298.42","324,471,347.39","326,134,164.15","348,109,251.94","447,992,627.29","440,376,769.24","435,932,618.35","429,759,382.40","411,524,672.52","408,548,010.60","402,025,165.31","396,596,742.35","380,114,352.94","375,700,279.99","392,758,377.60","390,661,348.01","653,705,236.60","652,549,379.30","653,916,723.20","751,521,604.68","741,855,179.28","731,657,253.21","757,893,594.46","734,953,564.97","729,740,460.19"
递延所得税负债,,,,"231,825.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"35,060,799.71","28,292,700.52","32,080,732.19","42,384,897.27","44,387,547.81","47,724,777.69","54,107,612.87","45,890,845.31","45,625,136.05","43,510,003.63","48,048,664.32","42,018,327.94","42,878,402.68","40,528,885.84","45,701,970.47","43,097,607.04","53,853,329.25","58,942,566.10","92,156,700.83","110,276,403.15","117,521,972.61","140,126,831.88","141,488,694.56","172,761,175.89","183,158,617.94","238,390,452.82","271,620,978.40","257,650,510.85","273,520,120.80","278,409,381.41","296,171,172.35","305,195,050.50","319,515,810.91","361,827,676.73","366,570,846.18","100,312,665.79","104,995,163.48","104,102,500.81","19,452,329.99","20,615,637.66","21,783,701.74","21,497,450.19","18,578,365.34","18,816,626.43"
其他非流动负债,,,,"10,134,759.50","9,746,667.83","9,990,947.02","9,877,234.02","10,212,704.57","7,251,176.21","7,169,349.60","9,264,045.10","17,141,517.65","20,847,487.79","35,609,372.54","43,298,181.97","47,841,067.03","48,423,643.67","46,247,220.31","63,189,027.95","93,473,932.26","93,759,344.61","80,182,755.06","87,947,755.06","102,823,950.42","103,336,500.05","102,639,950.42","104,639,950.42","109,395,655.39","104,555,655.39","113,015,655.39","112,360,655.39",,,,,,,,,,,,,
工程物资,,,,,,,,,,,,"92,822.48","92,822.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"96,467,561.56","113,380,591.80","114,328,478.07","127,777,459.49","127,118,257.28","164,090,359.54","186,956,317.78","177,286,745.95","219,302,465.89","222,197,439.30","224,268,419.97","110,119,031.21","113,797,739.17","137,531,954.89","155,992,682.37","205,357,066.40","271,310,716.67","327,704,935.25","364,618,856.73","393,543,932.26","401,329,344.61","383,752,755.06","440,517,755.06","452,293,950.42","505,806,500.05","466,209,950.42","446,209,950.42","368,185,655.39","363,345,655.39","365,305,655.39","384,650,655.39","395,845,850.27","414,665,975.72","387,015,059.36","356,374,134.54","205,357,853.11","200,277,418.54","171,523,942.23","175,052,826.24","132,908,362.98","128,908,362.98","116,226,453.88","97,326,453.88","89,191,145.67"
固定资产清理,,,"75,064.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"557,678,094.79","648,351,423.50","704,455,288.53","731,966,633.17","674,241,919.35","721,649,116.27","790,216,076.61","767,945,814.70","752,776,897.62","848,895,003.16","849,510,561.94","845,167,529.40","825,756,306.27","769,445,525.12","778,499,583.34","773,084,870.51","866,249,113.57","969,636,008.03","1,086,024,024.63","1,212,362,998.16","1,292,304,321.84","1,216,094,539.61","1,280,266,186.28","1,268,448,086.86","1,339,574,866.99","1,420,431,346.62","1,408,764,828.48","1,455,361,501.08","1,372,221,079.24","1,455,047,276.00","1,455,607,853.31","1,512,886,828.36","1,555,366,578.82","1,724,336,507.72","1,781,852,088.15","1,427,824,640.26","1,066,785,951.27","1,031,023,283.16","1,028,451,743.29","1,144,679,087.83","1,118,125,272.87","1,056,463,078.01","1,094,338,895.44","1,073,330,106.37"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"186,850,000.00","186,850,000.00","186,850,000.00","186,850,000.00","186,850,000.00","186,850,000.00","186,850,000.00","186,850,000.00","186,850,000.00","186,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","236,850,000.00","438,850,000.00","438,850,000.00","438,850,000.00","438,850,000.00","438,850,000.00","438,850,000.00","438,850,000.00","438,850,000.00","438,850,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"203,420,138.50","203,130,138.50","203,080,138.50","196,422,012.80","196,422,012.80","196,422,012.80","196,422,012.80","196,422,012.80","196,422,012.80","196,422,012.80","381,222,012.80","380,922,012.80","380,922,012.80","380,922,012.80","380,922,012.80","380,922,012.80","381,151,361.88","381,151,361.88","381,151,361.88","380,922,012.80","380,922,012.80","380,922,012.80","380,922,012.80","380,922,012.80","380,922,012.80","380,922,012.80","380,922,012.80","380,816,386.83","380,816,386.83","380,816,386.83","380,816,386.83","380,816,386.83","380,816,386.83","380,816,386.83","380,816,386.83","1,244,485,586.83","1,243,945,879.59","1,243,945,879.59","1,243,945,879.59","1,244,485,586.83","1,244,485,586.83","1,242,143,150.80","1,242,143,150.80","1,242,780,985.39"
