科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付原保险合同赔付款项的现金,"12,128,000,000.00","10,711,000,000.00","12,981,000,000.00","9,880,000,000.00","21,012,000,000.00","6,804,000,000.00","12,348,000,000.00","18,513,000,000.00","25,643,000,000.00","9,952,000,000.00","18,032,000,000.00","28,076,000,000.00","37,880,000,000.00","14,445,000,000.00","26,896,000,000.00","40,260,000,000.00","65,848,000,000.00","38,194,000,000.00","52,463,000,000.00","65,907,000,000.00","78,849,000,000.00","33,006,000,000.00","46,866,000,000.00","62,514,000,000.00","82,160,000,000.00","31,801,000,000.00","45,479,000,000.00","60,200,000,000.00","72,059,000,000.00","30,881,000,000.00","47,389,000,000.00","66,137,000,000.00","82,032,000,000.00","24,012,000,000.00"
筹资活动现金流出小计,"375,157,000,000.00","417,741,000,000.00","484,085,000,000.00","320,973,000,000.00","1,331,048,000,000.00","878,003,000,000.00","2,205,497,000,000.00","3,545,268,000,000.00","4,672,098,000,000.00","971,560,000,000.00","2,259,542,000,000.00","3,846,424,000,000.00","4,821,265,000,000.00","920,272,000,000.00","2,160,929,000,000.00","3,357,757,000,000.00","4,527,954,000,000.00","1,319,400,000,000.00","2,345,710,000,000.00","2,827,848,000,000.00","3,115,845,000,000.00","711,366,000,000.00","1,781,759,000,000.00","3,152,915,000,000.00","4,748,565,000,000.00","2,091,692,000,000.00","3,938,412,000,000.00","5,745,343,000,000.00","7,055,619,000,000.00","1,321,026,000,000.00","2,644,813,000,000.00","4,087,300,000,000.00","10,558,000,000.00","114,000,000.00"
支付保单红利的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000.00","4,000,000.00",,"35,000,000.00","106,000,000.00","126,000,000.00","1,000,000.00"
筹资活动产生的现金流量净额,"12,954,000,000.00","-8,619,000,000.00","24,921,000,000.00","9,412,000,000.00","23,677,000,000.00","23,507,000,000.00","35,843,000,000.00","33,438,000,000.00","31,100,000,000.00","-7,779,000,000.00","-3,747,000,000.00","-5,364,000,000.00","-5,525,000,000.00","-4,919,000,000.00","-211,000,000.00","-15,440,000,000.00","9,414,000,000.00","-20,478,000,000.00","-31,162,000,000.00","-52,306,000,000.00","-48,099,000,000.00","5,391,000,000.00","16,039,000,000.00","8,336,000,000.00","18,935,000,000.00","2,343,000,000.00","-10,032,000,000.00","-19,801,000,000.00","-32,362,000,000.00","4,180,000,000.00","28,416,000,000.00","10,523,000,000.00","-10,443,000,000.00","3,773,000,000.00"
支付给职工以及为职工支付的现金,"2,091,000,000.00","3,297,000,000.00","4,581,000,000.00","2,839,000,000.00","5,504,000,000.00","1,833,000,000.00","3,291,000,000.00","4,742,000,000.00","6,272,000,000.00","1,880,000,000.00","3,274,000,000.00","4,662,000,000.00","6,163,000,000.00","2,148,000,000.00","3,764,000,000.00","5,405,000,000.00","7,213,000,000.00","2,544,000,000.00","4,327,000,000.00","6,245,000,000.00","8,295,000,000.00","2,810,000,000.00","4,871,000,000.00","7,026,000,000.00","9,329,000,000.00","3,333,000,000.00","5,814,000,000.00","7,781,000,000.00","9,825,000,000.00","2,999,000,000.00","4,651,000,000.00","6,619,000,000.00","8,714,000,000.00","2,945,000,000.00"
四、汇率变动对现金的影响,"-53,000,000.00","-1,000,000.00","-33,000,000.00","-32,000,000.00","-101,000,000.00",,"6,000,000.00","15,000,000.00","1,000,000.00","-2,000,000.00","-60,000,000.00","-186,000,000.00","-58,000,000.00","39,000,000.00","46,000,000.00","37,000,000.00","11,000,000.00","18,000,000.00","-18,000,000.00","141,000,000.00","242,000,000.00","-35,000,000.00","112,000,000.00","153,000,000.00","375,000,000.00","-11,000,000.00","-118,000,000.00","-148,000,000.00","-206,000,000.00","-78,000,000.00","54,000,000.00","125,000,000.00","114,000,000.00","-87,000,000.00"
支付的各项税费,"302,000,000.00","239,000,000.00","222,000,000.00","169,000,000.00","522,000,000.00","387,000,000.00","967,000,000.00","1,170,000,000.00","1,389,000,000.00","269,000,000.00","715,000,000.00","607,000,000.00","1,530,000,000.00","994,000,000.00","1,497,000,000.00","1,927,000,000.00","2,858,000,000.00","385,000,000.00","2,193,000,000.00","2,804,000,000.00","3,301,000,000.00","99,000,000.00","1,062,000,000.00","1,301,000,000.00","1,430,000,000.00","164,000,000.00","2,030,000,000.00","2,337,000,000.00","2,506,000,000.00","302,000,000.00","2,489,000,000.00","3,057,000,000.00","3,385,000,000.00","214,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"3,125,000,000.00","3,728,000,000.00","3,821,000,000.00","2,496,000,000.00","5,245,000,000.00","816,000,000.00","1,794,000,000.00","2,478,000,000.00","4,081,000,000.00","1,472,000,000.00","1,666,000,000.00","2,538,000,000.00","3,740,000,000.00","695,000,000.00","1,579,000,000.00","3,274,000,000.00","5,192,000,000.00","690,000,000.00","3,747,000,000.00","5,095,000,000.00","6,948,000,000.00","676,000,000.00","1,404,000,000.00","1,907,000,000.00","2,720,000,000.00","930,000,000.00","1,682,000,000.00","2,565,000,000.00","3,734,000,000.00","915,000,000.00","1,806,000,000.00","2,811,000,000.00","3,812,000,000.00","974,000,000.00"
五、现金及现金等价物净增加额,"1,326,000,000.00","6,087,000,000.00","14,760,000,000.00","-7,825,000,000.00","-6,273,000,000.00","3,503,000,000.00","9,780,000,000.00","6,119,000,000.00","3,971,000,000.00","-1,262,000,000.00","-3,657,000,000.00","-10,282,000,000.00","-6,496,000,000.00","16,345,000,000.00","12,930,000,000.00","-1,039,000,000.00","-4,067,000,000.00","1,673,000,000.00","5,417,000,000.00","-6,753,000,000.00","-599,000,000.00","706,000,000.00","-695,000,000.00","-2,228,000,000.00","326,000,000.00","4,698,000,000.00","1,349,000,000.00","-2,556,000,000.00","-5,418,000,000.00","3,963,000,000.00","28,334,000,000.00","10,484,000,000.00","193,000,000.00","2,716,000,000.00"
经营活动现金流出小计,"21,421,000,000.00","24,502,000,000.00","30,035,000,000.00","18,896,000,000.00","39,497,000,000.00","11,774,000,000.00","22,179,000,000.00","32,110,000,000.00","44,439,000,000.00","15,079,000,000.00","26,736,000,000.00","40,251,000,000.00","55,490,000,000.00","20,467,000,000.00","37,732,000,000.00","56,393,000,000.00","88,581,000,000.00","44,500,000,000.00","67,405,000,000.00","87,194,000,000.00","107,572,000,000.00","40,209,000,000.00","61,170,000,000.00","82,779,000,000.00","109,011,000,000.00","40,110,000,000.00","63,461,000,000.00","84,760,000,000.00","103,949,000,000.00","38,664,000,000.00","63,892,000,000.00","90,891,000,000.00","114,810,000,000.00","32,361,000,000.00"
期初现金及现金等价物余额,"5,195,000,000.00","6,521,000,000.00","12,608,000,000.00","27,368,000,000.00","27,368,000,000.00","21,095,000,000.00","21,095,000,000.00","21,095,000,000.00","21,095,000,000.00","25,065,000,000.00","25,066,000,000.00","25,066,000,000.00","25,066,000,000.00","18,570,000,000.00","18,570,000,000.00","18,570,000,000.00","18,570,000,000.00","14,503,000,000.00","14,503,000,000.00","14,503,000,000.00","14,503,000,000.00","13,904,000,000.00","13,904,000,000.00","13,904,000,000.00","13,904,000,000.00","14,230,000,000.00","14,230,000,000.00","14,230,000,000.00","14,230,000,000.00","8,812,000,000.00","8,812,000,000.00","8,812,000,000.00","8,812,000,000.00","9,005,000,000.00"
经营活动产生的现金流量净额,"30,228,000,000.00","40,800,000,000.00","61,594,000,000.00","30,837,000,000.00","56,045,000,000.00","22,405,000,000.00","33,046,000,000.00","44,978,000,000.00","54,252,000,000.00","14,931,000,000.00","31,056,000,000.00","38,327,000,000.00","56,205,000,000.00","26,844,000,000.00","29,226,000,000.00","30,038,000,000.00","25,052,000,000.00","5,773,000,000.00","3,433,000,000.00","5,755,000,000.00","7,449,000,000.00","4,825,000,000.00","8,843,000,000.00","9,819,000,000.00","7,330,000,000.00","-4,900,000,000.00","-4,207,000,000.00","4,334,000,000.00","7,865,000,000.00","-489,000,000.00","4,135,000,000.00","10,712,000,000.00","13,768,000,000.00","9,789,000,000.00"
期末现金及现金等价物余额,"6,521,000,000.00","12,608,000,000.00","27,368,000,000.00","19,543,000,000.00","21,095,000,000.00","24,598,000,000.00","30,875,000,000.00","27,214,000,000.00","25,066,000,000.00","23,803,000,000.00","21,409,000,000.00","14,784,000,000.00","18,570,000,000.00","34,915,000,000.00","31,500,000,000.00","17,531,000,000.00","14,503,000,000.00","16,176,000,000.00","19,920,000,000.00","7,750,000,000.00","13,904,000,000.00","14,610,000,000.00","13,209,000,000.00","11,676,000,000.00","14,230,000,000.00","18,928,000,000.00","15,579,000,000.00","11,674,000,000.00","8,812,000,000.00","12,775,000,000.00","37,146,000,000.00","19,296,000,000.00","9,005,000,000.00","11,721,000,000.00"
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
