科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
长期应付款,"3,542,232.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"92,017,961.17","45,983,058.68","22,879,422.17","22,534,519.79","22,208,445.60","23,748,254.71","23,285,880.68","77,880,992.52","76,895,882.21","21,435,548.67","28,997,077.16","25,403,539.49","14,931,003.30","69,545,775.79","65,390,570.66","57,203,923.83","56,968,663.80","56,354,114.04","56,338,854.79","18,509,599.66","18,389,496.22","17,851,214.45","737,754,706.00","732,295,428.52","732,163,488.58","876,114,494.28","876,170,920.01","944,821,042.92","979,621,215.81","1,058,930,923.25","1,390,479,030.44","1,366,949,299.57","1,352,587,437.26","1,364,385,629.47","1,408,160,683.36","1,388,067,350.01","1,375,521,084.83","1,642,262,659.98","1,670,712,641.46","1,668,202,384.67","1,660,214,769.71","1,693,002,760.65","1,737,849,803.63"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,800,000.00","5,800,000.00",,
投资性房地产,"11,195,769.21","262,891,881.07","261,577,421.67","255,271,274.68","253,603,333.58","252,068,687.41","250,853,434.01","248,866,100.14","247,597,656.72","245,663,512.87","245,588,206.53","242,460,925.60","240,910,069.04","239,258,338.33","228,342,186.30","228,366,759.57","225,827,799.46","225,706,245.32","224,375,988.19","223,256,532.49","221,863,585.25","220,701,418.95","219,899,057.95","218,146,305.41","216,868,748.63","215,591,191.87","214,313,635.10","213,036,078.33","211,758,521.56","210,480,964.79","209,203,408.02","207,925,851.25","206,648,294.48","205,370,737.71","204,093,180.94","202,815,624.17","201,538,067.40","200,260,510.63","198,982,953.86","197,705,397.09","196,427,840.32","195,150,283.55","193,872,726.78"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"904,420,081.54","1,052,328,514.89","1,077,980,272.38","1,292,745,187.15","1,423,068,908.61","1,440,575,334.38","1,439,177,303.03","1,349,381,048.30","1,330,969,862.61","1,406,310,687.73","1,390,096,493.46","1,387,419,113.15","1,386,040,655.25","1,410,802,329.33","1,436,569,684.42","1,528,633,573.48","1,525,806,115.32","1,518,851,021.03","1,483,891,903.08","1,487,726,271.90","1,608,220,834.86","1,595,165,916.10","1,799,510,812.51","1,913,270,517.33","2,013,933,161.96","2,371,317,427.64","2,345,300,726.34","2,376,347,582.41","2,366,164,054.74","2,342,349,960.75","2,164,150,913.99","2,114,050,915.36","2,143,303,763.09","2,339,297,695.86","2,330,027,223.64","2,588,381,581.34","2,576,517,904.17","2,568,765,933.21","2,580,765,149.57","2,564,181,595.00","2,544,141,232.89","3,623,050,821.79","3,627,191,311.67"
递延所得税负债,"52,692,545.82","56,458,319.52","53,919,830.23","55,153,089.70","51,488,614.74","51,187,632.13","50,886,649.51","38,376,834.23","38,148,817.10","37,920,799.97","37,692,782.84","37,491,945.35","37,270,723.13","37,049,500.91","36,828,278.69","36,607,056.47","36,385,834.25","36,164,612.03","35,943,389.81","35,722,167.59","35,500,945.37","35,279,723.15","35,040,026.50","34,818,804.28","34,597,582.06","34,376,359.84","34,155,137.62","33,933,915.40","33,712,693.18","33,509,945.39",,,,,,,,,,,,,
在建工程,"576,855,782.84","359,047,900.87","417,159,923.33","290,058,428.59","229,225,145.17","232,450,529.89","248,183,865.82","133,151,851.23","155,576,657.78","110,046,363.49","159,933,066.90","149,346,952.07","181,030,539.18","204,519,748.69","215,038,908.80","219,486,941.31","275,186,510.85","383,774,617.82","812,538,141.95","820,080,592.09","890,466,684.73","1,180,412,027.51","350,454,012.30","312,168,940.50","315,269,328.45","65,211,335.09","95,301,366.29","104,468,163.33","115,003,116.78","167,393,379.25","208,359,756.00","270,424,236.84","346,370,103.36","451,603,568.98","557,482,525.15","426,443,483.76","512,535,001.77","673,201,090.08","919,008,429.44","1,059,961,115.94","1,230,933,066.14","444,880,505.35","528,143,204.61"
其他非流动负债,,,,,,,,,,,,,,,,,,,,"40,788,700.00","40,788,700.00","59,088,700.00",,"41,535,700.00","41,535,700.00","41,535,700.00","41,535,700.00","2,500,000.00",,,,,,,,"39,900,000.00","39,900,000.00","39,900,000.00","39,900,000.00","140,357,000.00","140,357,000.00","59,900,000.00","59,525,624.99"
工程物资,,,,,,,,,,,,,,,,"7,756,487.15","8,010,087.15","17,159,377.61","28,551,322.02","31,417,373.27","34,790,788.14","32,215,649.18","35,856,475.11","31,401,176.30","31,916,383.60","27,650,243.32","26,977,083.10","30,506,971.44","31,663,528.52","31,651,319.88","36,344,034.24","41,027,625.06","41,784,248.37","43,221,375.44","40,180,519.88","35,482,100.69","40,795,141.22","46,732,971.23","44,609,789.97","41,483,583.45","41,381,903.24","45,810,994.64","43,165,700.57"
非流动负债合计,"702,824,777.82","434,160,137.70","511,621,648.41","381,854,907.88","378,190,432.92","515,551,268.49","528,770,285.87","369,451,022.09","394,222,748.46","457,986,254.51","787,757,967.38","507,557,399.89","537,336,177.67","401,296,773.63","301,075,551.41","512,334,329.19","513,914,679.72","71,073,702.93","40,852,480.71","111,419,958.49","151,198,736.27","366,451,328.33","89,130,935.58","110,445,413.36","139,391,984.19","120,184,787.10","119,963,564.88","350,706,642.66","437,167,238.62","192,290,490.83","148,170,239.49","147,021,234.98","145,849,016.70","164,962,562.02","165,099,833.70","43,849,269.91","44,004,854.88","184,568,080.94","389,509,513.11","513,545,470.30","616,609,302.51","530,283,189.59","494,901,190.72"
固定资产清理,"70,592.59","128,452.49","129,520.49","128,580.49","128,580.49","126,660.49","126,660.49","123,610.49","29,903.66","69,337.28","69,337.28","39,433.62","39,433.62",,,,"10,057.27","10,057.27","8,507.27",,"-138,167.82","-138,167.82","-136,185.42",,"14,558.09",,"4,408.60",,,,,,,,,,,,,,,,
负债合计,"2,126,876,418.16","2,031,912,763.86","2,352,719,904.28","2,163,863,392.62","2,034,216,987.53","2,217,056,648.09","2,398,190,627.50","2,064,780,780.16","2,062,339,965.98","2,200,692,938.05","2,895,249,750.47","2,572,982,033.87","2,572,600,754.45","2,925,821,127.61","3,519,339,603.88","4,368,212,153.00","4,162,455,024.27","4,782,584,011.89","4,537,682,592.26","4,335,572,620.75","3,934,544,527.86","4,500,313,783.54","3,287,115,135.44","3,414,695,517.89","3,374,558,581.61","3,669,980,878.63","3,619,690,348.12","4,211,358,854.36","4,158,639,693.29","3,282,292,216.53","3,043,382,513.10","3,246,423,460.21","2,903,396,976.90","3,209,987,980.39","3,172,770,306.61","3,554,581,559.09","3,345,785,340.95","4,053,490,531.25","4,008,061,345.45","4,240,172,570.69","4,201,532,601.08","4,089,254,002.20","4,468,156,997.25"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"319,500,000.00","319,500,000.00","319,500,000.00","319,500,000.00","319,500,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","415,350,000.00","482,560,000.00","723,840,000.00","723,840,000.00","723,840,000.00","723,840,000.00","723,840,000.00","723,840,000.00","723,840,000.00","723,840,000.00","723,840,000.00","723,840,000.00","723,840,000.00","723,840,000.00","723,840,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"1,079,491,326.58","1,090,039,572.35","1,094,120,983.78","1,046,255,260.42","1,013,493,344.64","903,786,869.13","882,064,544.98","911,136,264.99","949,310,275.45","926,073,518.05","898,548,097.55","898,067,435.10","896,717,248.77","898,154,642.84","899,448,020.04","898,067,435.10","924,666,323.11","908,075,627.50","898,931,862.84","939,226,469.69","945,944,144.28","937,773,388.86","1,038,083,397.72","1,041,472,345.02","1,041,472,345.02","1,041,472,345.02","1,041,472,345.02","847,507,574.65","847,507,574.65","2,046,211,932.01","1,881,156,788.10","1,712,993,176.11","1,712,993,176.11","1,712,993,176.11","1,712,993,176.11","1,725,692,482.41","1,725,692,482.41","1,749,608,182.69","1,749,608,182.69","1,753,024,413.64","1,753,024,413.64","1,753,024,413.64","1,753,024,413.64"
无形资产,"611,651,451.05","513,479,949.48","508,940,368.62","522,318,935.41","531,825,019.54","529,137,097.78","524,583,645.74","520,558,192.49","515,587,777.58","511,892,031.96","506,923,694.37","492,780,821.34","486,204,215.12","484,357,766.16","503,219,441.82","502,143,937.19","498,184,788.89","493,885,927.87","494,102,897.52","795,128,455.82","791,334,214.27","793,700,829.21","508,719,894.63","501,437,151.75","593,039,134.41","647,842,415.92","648,821,810.38","663,727,182.61","658,468,735.30","653,404,062.95","635,956,715.10","629,925,854.50","619,569,232.50","619,484,654.91","614,276,288.54","609,166,668.77","603,867,730.84","732,567,316.52","734,365,605.68","724,615,572.58","718,392,653.85","724,428,859.01","775,335,849.65"
盈余公积,"99,670,920.85","99,670,920.85","99,670,920.85","88,326,601.86","88,326,601.86","88,326,601.86","88,326,601.86","92,216,042.92","92,216,042.92","92,216,042.92","92,216,042.92","93,627,487.39","93,627,487.39","93,627,487.39","93,627,487.39","105,421,455.08","105,421,455.08","105,421,455.08","105,421,455.08","101,376,390.32","101,376,390.32","101,376,390.32","101,376,390.32","105,800,636.57","105,800,636.57","105,800,636.57","105,800,636.57","127,178,824.73","127,178,824.73","127,178,824.73","119,376,993.99","147,723,985.68","147,723,985.68","147,723,985.68","147,723,985.68","151,013,142.76","151,013,142.76","151,013,142.76","151,013,142.76","152,590,747.60","152,590,747.60","152,590,747.60","152,590,747.60"
开发支出,,,,"184,601.26","179,001.25","173,401.24","175,915.54","90,747.54","90,747.54","90,747.54",,"79,211.82",,"74,520.32","74,520.32","81,400.82","81,400.82","123,400.82",,,,,,,,,,,,,,,,,,,,,,"4,511,827.84","5,090,258.61","6,528,794.00","7,483,792.57"
