科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
商誉,,,,,,,,,,,,,,,"27,283,004.88","27,283,004.88","27,283,004.88","27,283,004.88","27,283,004.88","27,283,004.88","27,283,004.88","27,283,004.88","27,283,004.88","27,283,004.88","27,283,004.88","27,283,004.88","27,283,004.88","27,283,004.88","326,550,212.52","326,550,212.52","468,062,445.92","468,062,445.92","468,062,445.92","468,062,445.92","465,280,246.17","465,280,246.17"
未分配利润,"28,592,754.67","34,125,047.78","38,342,051.65","26,116,495.83","32,778,339.68","36,644,006.78","71,627,349.49","72,672,612.23","68,813,370.14","72,198,208.95","105,909,229.66","108,103,613.77","120,480,369.02","108,420,963.12","154,117,839.58","157,269,075.91","158,244,319.38","164,776,057.34","221,827,556.50","226,745,340.95","221,067,446.72","228,412,234.89","305,655,963.73","311,963,049.74","322,109,929.82","328,965,151.65","395,911,324.02","404,295,655.99","426,634,059.51","436,553,489.56","501,844,043.18","512,950,377.39","552,806,693.18","565,970,090.59","646,735,486.13","663,659,884.38"
长期待摊费用,,,,,"632,870.40","632,870.40",,,,,,,,,,,,,,,,,"232,500.00","2,362,433.32","3,718,702.22","3,528,852.22","1,966,842.71","1,690,509.37","1,431,731.59","1,181,731.59","986,676.69","714,843.38","464,843.38","214,843.38","36,368.20","36,368.20"
少数股东权益,"20,009.60","20,233.19",,,,,,,,,,,,,"23,107,283.63","23,251,325.11","24,634,204.84","26,159,646.15","22,587,653.74","21,734,180.37","23,663,837.96","24,760,829.95","10,178,440.27","9,873,438.65","11,622,529.36","10,822,267.03","11,227,063.55","10,722,424.91","31,841,122.49","33,209,001.33","48,949,142.02","50,150,923.21","55,261,322.12","56,389,973.03","14,743,910.47","14,589,462.59"
递延所得税资产,"46,541.87","46,528.21","83,739.00","83,739.00","176,093.73","196,424.59","375,935.45","320,857.68","371,130.48","448,874.83","819,325.41","875,896.09","1,110,356.25","1,352,815.90","4,778,279.00","5,427,527.81","5,674,737.46","5,894,182.35","5,469,596.79","5,546,565.50","6,483,333.57","6,742,236.87","9,735,211.27","9,792,856.34","10,187,203.42","10,498,075.40","17,597,209.40","17,713,754.12","19,633,509.51","19,685,013.99","26,011,957.69","26,072,106.17","26,237,961.30","26,587,616.52","35,158,418.85","34,742,553.90"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"3,000,916.54","3,921,067.63","7,614,570.50","8,781,860.24","51,564,077.23","54,303,461.77","54,846,335.06","62,863,813.20","74,216,998.42","84,028,138.69","92,886,543.37","105,461,251.01","112,163,145.13","110,343,573.95","217,683,492.34","225,070,592.52","230,617,306.64","233,177,210.68","266,502,474.14","268,571,986.02","268,640,885.40","266,380,202.29","312,762,128.42","311,205,816.62","309,842,381.16","304,941,836.49","621,611,484.85","682,595,874.66","657,402,016.72","656,642,664.99","895,880,978.33","895,405,576.80","888,176,778.57","916,587,041.49","903,661,546.36","896,650,686.26"
所有者权益(或股东权益)合计,"38,148,035.12","69,480,551.82","113,711,704.77","101,485,782.73","810,700,992.80","814,566,659.90","859,114,327.65","860,159,590.39","856,160,695.42","859,545,534.23","898,448,810.66","900,976,194.77","913,685,950.02","901,959,544.12","980,131,062.37","984,290,340.18","987,512,463.38","996,433,642.65","1,060,303,442.18","1,064,894,753.26","1,072,512,195.61","1,081,461,085.77","1,151,132,669.79","1,157,536,985.03","1,183,211,012.32","1,185,504,347.31","1,266,620,176.63","1,275,260,603.96","1,411,958,889.06","1,425,207,197.95","1,445,937,911.65","1,458,380,727.05","1,503,207,041.75","2,044,028,149.60","2,055,572,074.32","2,072,342,024.69"
资产总计,"48,132,730.95","92,383,027.04","131,403,060.21","109,618,638.96","819,997,507.95","823,076,522.92","875,716,668.83","874,460,765.69","868,494,062.18","871,717,877.39","918,069,152.91","914,207,025.41","924,919,136.48","912,150,343.15","1,128,684,426.71","1,079,514,352.26","1,099,800,868.89","1,132,569,747.09","1,259,512,565.52","1,260,536,079.05","1,275,617,995.38","1,287,551,040.06","1,411,907,794.79","1,421,736,237.50","1,459,038,286.01","1,494,948,307.32","1,860,828,293.33","1,656,013,396.51","1,886,804,413.70","1,857,019,745.51","2,352,231,921.95","2,311,297,676.69","2,322,386,723.55","2,763,548,993.35","3,062,153,257.73","3,009,706,124.35"
负债和所有者(或股东权益)合计,"48,132,730.95","92,383,027.04","131,403,060.21","109,618,638.96","819,997,507.95","823,076,522.92","875,716,668.83","874,460,765.69","868,494,062.18","871,717,877.39","918,069,152.91","914,207,025.41","924,919,136.48","912,150,343.15","1,128,684,426.71","1,079,514,352.26","1,099,800,868.89","1,132,569,747.09","1,259,512,565.52","1,260,536,079.05","1,275,617,995.38","1,287,551,040.06","1,411,907,794.79","1,421,736,237.50","1,459,038,286.01","1,494,948,307.32","1,860,828,293.33","1,656,013,396.51","1,886,804,413.70","1,857,019,745.51","2,352,231,921.95","2,311,297,676.69","2,322,386,723.55","2,763,548,993.35","3,062,153,257.73","3,009,706,124.35"
