科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,709,224,354.29","1,724,722,086.60","1,711,668,031.81",,"2,752,687,920.68","2,754,870,258.84","2,757,005,154.87","2,759,163,771.97","2,761,393,111.15","2,763,695,563.02","2,765,947,961.60","2,768,225,386.82","2,770,577,426.60","2,773,006,603.12","2,775,382,971.46","2,777,785,743.89","1,753,019,397.88","2,352,377,431.25","2,354,197,959.11"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,"89,847,948.77","99,610,438.92","125,079,437.78","131,958,781.59","139,367,690.58","150,506,331.07","151,010,735.53","165,110,735.53","165,110,735.53","165,555,731.33","166,210,778.76","179,607,972.18","181,633,685.79","182,005,362.47","213,114,742.08","187,495,362.47","188,897,430.59","188,897,430.59","188,897,430.59","188,897,430.59","188,897,430.59","188,897,430.59","188,897,430.59","188,911,571.42","189,818,101.39","189,818,101.39"
长期应付款,"4,241,933.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"29,141,276.27","28,769,492.96","206,809,445.86","205,790,679.94","205,152,586.93","179,672,000.00","179,672,000.00","179,672,000.00","179,672,000.00","179,672,000.00","179,672,000.00","179,672,000.00","179,672,000.00","180,168,500.00","180,168,500.00","180,158,500.00","180,158,500.00","697,735,416.43","694,428,980.11","678,878,585.46","672,560,892.30","655,578,795.76","651,759,793.57","490,696,992.34","499,904,210.56","522,748,205.85","533,284,105.85","534,750,029.14","534,750,029.14","1,745,200,587.08","28,771,268.15","34,481,661.72","34,512,339.05","27,202,414.39","27,236,640.41","164,936,547.43","491,894,236.50","545,920,562.04","577,703,119.67","588,785,779.86","602,167,559.46","585,272,551.43","606,585,186.02","618,776,112.16","615,420,937.95","841,091,324.96","881,514,716.84","890,160,128.26","901,137,062.64"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,"20,469,059.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,865.34","102,822.76","268,200.01","317,536.73"
固定资产,"391,053,711.78","389,039,368.24","337,084,181.85","366,783,900.83","387,737,271.28","396,150,572.85","389,784,426.45","394,994,443.31","389,498,062.98","381,351,611.93","371,857,942.93","388,491,271.83","381,858,908.75","385,632,146.97","384,767,697.97","405,755,097.34","398,998,208.22","391,796,782.59","389,869,588.32","387,042,762.80","379,454,656.38","375,140,933.16","369,716,658.25","1,004,239,884.55","987,753,469.71","975,840,419.40","961,428,670.82","1,003,774,047.86","992,574,555.47","975,826,600.32","962,350,554.44","982,201,345.43","963,590,491.86","960,052,232.23","988,621,328.37","979,639,991.58","972,313,373.80","1,304,146,882.11","1,385,270,345.51","1,363,454,686.52","1,341,034,988.40","1,319,407,123.59","1,301,285,397.06","1,309,917,294.23","1,293,065,113.89","1,436,711,509.34","1,424,618,177.58","1,546,721,810.54","1,528,732,160.19"
递延所得税负债,"495,751.87","1,690,920.00","9,846,491.23","1,505,814.65","1,064,485.00","732,497.50","468,077.50","414,550.00","659,665.00","1,072,967.50","975,857.50","1,168,722.43","1,067,410.00","690,553.00","693,712.00","776,505.00","942,154.31","408,845.50","706,017.70","700,938.60","752,392.60","733,836.40","669,724.30","974,084.20","1,008,561.50","842,378.60","972,701.81","883,246.57","810,120.40","858,258.10","889,914.40","1,730,697.08","1,944,911.75","1,816,702.75","1,514,235.32","1,747,851.66","1,611,218.35","1,561,923.45","1,624,971.56","1,635,203.98","1,626,498.15","1,676,443.81","1,742,662.29","1,693,128.23","1,647,325.67","4,181,000.14","4,366,100.50","3,079,559.28","5,796,193.67"
