科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,579.26",,,,,,
长期股权投资,"3,510,000.00","3,530,200.00","3,551,408.00","3,551,408.00","3,551,408.00","3,590,000.00","3,590,000.00","3,590,000.00","3,590,000.00","3,590,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00",,,,,"284,440,480.79",,,,"228,370,000.00","771,833.61","644,874.29","564,415.70","475,159.97","253,327.21","175,703.21","108,863.74"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,"2,964,570.99",,,,,,,,,,,,,,,,,,,,,,,"12,800,272.86","12,575,016.07","14,006,552.42","13,904,824.05","14,211,401.70","14,082,648.07","13,895,761.00","13,737,940.65","14,194,093.82","13,901,999.18","13,872,932.46","13,712,351.78","29,257,078.27","28,913,606.55","27,722,581.92"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"139,318,739.03","134,460,454.32","140,317,242.25","126,008,843.43","145,948,354.12","141,429,922.38","136,414,238.49","182,690,801.23","258,454,581.37","254,365,558.13","249,999,101.63","250,701,006.98","316,360,193.10","340,017,235.21","335,859,963.01","339,304,805.66","616,191,635.08","659,184,589.68","689,390,526.09","676,379,239.01","742,334,327.73","733,991,686.77","730,511,621.94","730,844,973.10","768,933,208.71","757,759,605.28","741,037,613.72","723,419,463.63","874,761,730.00","855,124,884.96","834,107,309.59","813,641,833.33","891,552,441.08","872,706,007.67","854,203,798.58","839,266,001.22","840,659,640.61","823,224,384.57","804,499,232.06"
递延所得税负债,"45,710.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,087.50","33,065.63",,,"27,665.41","386,294.89","21,617.18","18,593.06","127,684.45","12,544.82","5,210.94"
在建工程,"13,768,141.63","46,660,975.26","53,194,433.50","84,370,004.95","136,408,997.06","198,057,548.46","309,381,782.28","360,499,661.22","339,951,238.27","423,889,902.75","513,388,037.49","541,539,632.32","537,301,918.90","528,934,766.79","544,559,050.23","571,703,326.18","305,036,034.49","288,117,567.20","276,982,788.06","381,473,266.74","330,288,684.07","401,834,760.53","413,523,321.08","409,539,571.85","382,825,647.58","403,869,547.27","418,383,950.92","436,473,521.63","278,077,865.22","281,811,633.33","286,015,634.12","309,030,806.03","238,523,858.19","248,553,028.29","252,535,455.69","253,196,695.23","213,433,125.64","211,943,425.84","332,144,994.12"
其他非流动负债,,,,,,,,,"5,000,000.00","5,000,000.00","4,500,000.00","4,500,000.00","18,490,200.00","17,815,322.50","17,640,445.00","17,465,567.50","50,290,690.00","54,791,180.00","54,791,180.00","54,791,180.00","55,841,180.00","54,091,302.50","63,481,670.00","62,605,670.00",,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"45,710.00",,,,,,,,"5,000,000.00","5,000,000.00","4,500,000.00","4,500,000.00","18,490,200.00","17,815,322.50","17,640,445.00","17,465,567.50","50,290,690.00","54,791,180.00","54,791,180.00","54,791,180.00","55,841,180.00","54,091,302.50","63,481,670.00","62,605,670.00","57,522,260.00","57,522,260.00","57,522,260.00","57,522,260.00","51,804,037.50","51,793,015.63","53,134,050.00","53,134,050.00","184,491,432.80","384,795,483.02","384,095,863.01","383,016,233.06","357,363,014.45","357,247,874.82","357,240,540.94"
固定资产清理,,,,,,,,,,,,,,"104,470.76",,,,,,,,,,,,,,,,"33,900.00",,,,,,,,,
负债合计,"282,076,241.58","331,206,969.45","344,352,649.18","401,985,443.84","426,886,606.68","423,063,157.72","441,197,291.84","401,053,543.52","596,800,379.68","679,546,702.52","687,234,222.99","810,218,555.26","822,135,343.50","1,007,170,035.54","977,214,857.85","975,663,386.59","867,234,061.31","1,078,493,438.50","924,912,677.13","1,092,942,694.56","983,870,367.49","1,181,070,653.58","980,727,108.48","849,333,961.88","970,094,707.96","1,070,553,096.43","1,044,049,661.77","1,162,845,750.79","1,206,286,861.41","1,348,138,385.24","1,225,167,622.16","1,389,969,133.23","1,857,923,846.10","1,967,443,304.78","1,900,333,253.89","2,044,317,896.45","2,084,014,703.74","2,161,810,987.42","2,016,210,937.48"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"157,800,000.00","157,800,000.00","157,800,000.00","157,800,000.00","157,800,000.00","210,400,000.00","210,400,000.00","210,400,000.00","210,400,000.00","210,400,000.00","210,400,000.00","210,400,000.00","210,400,000.00","210,400,000.00","257,600,000.00","257,600,000.00","257,600,000.00","515,200,000.00","515,200,000.00","515,200,000.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","513,700,050.00","624,781,419.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"27,651,562.18","27,731,562.18","27,731,562.18","27,731,562.18","27,731,562.18","681,586,862.18","681,586,862.18","681,586,862.18","693,989,912.18","693,989,912.18","693,989,912.18","693,989,912.18","693,989,912.18","693,989,912.18","1,243,608,152.18","1,243,608,152.18","1,243,608,152.18","986,008,152.18","993,008,152.18","993,008,152.18","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","983,723,486.03","1,884,701,340.11"
无形资产,"12,970,317.69","21,763,070.00","22,178,957.21","22,047,103.61","21,915,250.01","21,783,396.41","21,651,542.81","25,130,251.45","25,171,333.87","25,005,489.64","32,115,824.64","31,955,701.38","61,663,126.91","61,310,066.00","74,902,823.89","73,949,025.66","76,622,138.26","76,232,438.60","75,789,468.50","75,346,498.40","75,310,688.90","74,867,427.41","93,440,416.23","93,115,517.43","88,565,803.09","88,343,513.49","86,351,773.85","86,134,677.64","86,567,859.19","86,373,687.40","86,017,523.77","85,462,810.06","92,284,922.36","91,841,866.10","91,594,117.65","91,016,575.00","91,567,137.77","91,814,329.62","92,928,291.81"
盈余公积,"1,444,270.37","6,412,394.84","6,412,394.84","6,412,394.84","13,931,440.17","13,931,440.17","13,931,440.17","13,931,440.17","24,259,724.68","24,259,724.68","24,259,724.68","24,259,724.68","36,017,545.10","36,017,545.10","36,017,545.10","36,017,545.10","42,843,804.09","42,843,804.09","42,843,804.09","42,843,804.09","49,869,425.78","49,869,425.78","49,869,425.78","49,869,425.78","54,776,062.78","54,776,062.78","54,776,062.78","54,776,062.78","57,118,445.20","57,118,445.20","57,118,445.20","57,118,445.20","58,322,894.34","58,322,894.34","58,322,894.34","58,322,894.34","60,666,561.11","60,666,561.11","60,666,561.11"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,577,163.78","249,247.47","15,843,360.91"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"247,788,282.82","247,788,282.82","247,788,282.82","247,788,282.82","420,467,478.03","420,467,478.03","420,467,478.03","420,467,478.03","420,467,478.03","420,467,478.03","420,467,478.03"
