科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"880,716.18",,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"89,664,392.38","98,233,373.40","96,203,532.35","95,286,383.91","99,836,748.86","99,663,293.52","100,408,383.21","108,916,291.39","108,828,011.91","109,391,525.80","115,748,448.18","110,522,054.58","107,996,425.21","103,767,178.55","110,527,040.54","114,184,866.45","115,332,189.35","121,351,537.45","142,318,054.12","145,524,841.37","301,683,823.08","569,149,532.38","587,658,423.20","580,678,283.15","767,363,546.76","750,355,098.49","734,874,320.28","729,116,898.02","765,867,396.85","746,092,038.14","759,469,895.62","797,655,800.14","874,029,265.08","889,388,710.34","1,175,508,555.29","1,170,597,163.54","1,265,676,087.29","1,266,804,054.53"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,"10,831.56","24,698.51","23,516.31","11,438.64","19,905.79","10,831.56","11,087.18","12,652.80","14,985.26","13,547.44","36,936,689.25","35,741,719.12","34,539,847.46","33,344,685.62"
在建工程,"152,421.60","1,141,982.20","1,236,946.63","1,240,228.68",,"180,589.39","94,413.67","658,284.74","3,894,997.90","4,156,687.83","4,894,082.23","10,134,314.79","14,234,662.97","28,365,981.49","20,405,739.70","43,344,841.27","348,779,645.39","371,980,688.83","452,129,651.68","478,134,869.52","325,574,844.69","108,959,332.14","83,559,325.73","107,724,046.93","31,698,993.65","31,833,773.19","46,442,591.00","63,964,452.59","35,995,875.97","41,946,952.16","46,280,849.91","60,207,740.79","94,984,503.64","88,117,152.86","110,107,283.71","117,333,588.49","259,336,529.31","226,858,084.89"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,,,,,"70,000,000.00","93,500,000.00","93,500,000.00","93,500,000.00","91,675,380.82","90,494,609.68","78,277,267.19","71,500,000.00","137,527,818.41","133,334,353.33","105,980,505.10","76,580,395.53","46,077,843.52","45,983,068.02","34,024,383.37","10,687,643.98","10,128,101.57","10,921,678.66","90,687,015.02","81,618,268.73","76,669,353.22","69,019,680.08"
固定资产清理,,,,,,,,,,,,,,,,"3,210,730.00",,,,,,,,,,,,,,,,,,,,,,
负债合计,"229,709,177.69","128,922,805.05","116,388,924.08","81,825,614.36","92,677,200.32","55,525,012.38","30,572,612.38","37,096,740.74","52,935,491.47","35,242,707.61","58,062,538.92","57,472,519.32","58,279,784.02","46,716,334.08","69,228,779.69","114,418,818.97","257,015,918.41","278,083,681.69","335,213,852.59","323,134,784.55","386,977,686.53","469,717,403.87","534,076,162.41","640,558,427.90","1,325,289,063.30","1,431,482,858.03","1,432,690,428.90","1,580,363,199.25","1,775,299,352.00","1,844,019,302.10","2,112,180,819.29","1,750,069,416.82","1,773,553,525.52","1,672,787,517.87","2,995,549,271.80","2,795,826,780.45","3,036,892,242.39","2,879,463,750.48"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"27,111,062.21","100,000,000.00","107,000,000.00","107,000,000.00","142,700,000.00","142,700,000.00","142,700,000.00","142,700,000.00","142,700,000.00","142,700,000.00","142,700,000.00","142,700,000.00","142,700,000.00","142,700,000.00","142,700,000.00","142,700,000.00","142,700,000.00","142,700,000.00","285,400,000.00","285,400,000.00","285,400,000.00","285,400,000.00","285,400,000.00","285,400,000.00","337,969,945.00","337,969,945.00","675,939,890.00","675,939,890.00","675,939,890.00","675,939,890.00","675,939,890.00","814,061,436.00","814,061,436.00","814,061,436.00","803,169,608.00","803,169,608.00","803,169,608.00","803,169,608.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"35,164,137.76","3,868,412.14","15,628,412.14","15,628,412.14","616,983,720.71","615,500,993.78","616,983,720.71","616,983,720.71","619,585,459.31","619,585,459.31","619,585,459.31","619,594,819.85","619,583,910.95","619,595,626.50","619,582,632.89","619,563,248.98","619,572,621.42","619,562,183.93","476,853,876.54","476,871,982.39","476,921,187.70","476,908,620.11","476,906,703.02","476,885,459.31","1,325,465,499.51","1,325,465,499.51","987,495,554.51","987,495,554.51","987,495,554.51","987,495,554.51","987,495,554.51","3,332,265,869.56","3,332,265,869.56","3,332,265,869.56","3,190,127,513.16","3,190,127,513.16","3,190,127,513.16","3,190,127,513.16"
无形资产,"12,391,444.80","12,460,982.62","12,358,867.47","12,650,514.54","12,639,827.60","12,561,383.72","12,482,939.84","12,470,715.96","12,712,696.38","12,750,541.00","12,920,714.50","12,821,982.74","12,723,907.25","12,625,831.76","12,527,756.27","12,429,680.78","34,979,959.07","73,026,390.40","82,347,128.83","82,130,856.34","82,201,038.32","81,979,336.17","81,299,524.79","81,599,759.28","164,244,657.49","162,522,388.14","160,208,442.72","158,482,890.71","169,510,563.42","168,195,575.13","152,355,836.90","150,438,604.03","179,693,351.89","178,385,285.10","279,121,996.58","272,671,518.28","321,523,228.98","313,100,786.11"
盈余公积,"4,601,706.11","3,740,680.48","3,740,680.48","3,740,680.48","9,252,944.61","9,252,944.61","12,009,076.67","12,009,076.67","15,773,880.07","15,773,880.07","17,656,281.77","17,656,281.77","22,033,528.49","22,033,528.49","24,222,151.85","24,222,151.85","27,403,680.90","27,403,680.90","28,994,445.43","28,994,445.43","31,164,433.85","31,164,433.85","32,249,428.06","32,249,428.06","49,084,547.54","49,084,547.54","49,084,547.54","49,084,547.54","84,853,676.78","84,853,676.78","84,853,676.78","84,853,676.78","127,185,512.35","127,185,512.35","127,185,512.35","127,185,512.35","141,513,537.76","141,513,537.76"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,"2,522,334.05","2,522,334.06","2,522,334.05","2,522,334.05","2,522,334.05","2,522,334.05","639,509,847.48","639,509,847.48","639,509,847.48","639,509,847.48","640,081,452.23","640,081,452.23","647,372,242.26","661,939,317.03","564,634,583.23","605,309,236.05","1,024,403,546.92","1,024,403,546.92","595,279,141.29","595,279,141.29"
未分配利润,"58,916,326.19","5,866,470.35","30,503,680.64","49,251,620.17","57,740,449.58","69,168,854.33","36,752,930.23","49,643,488.33","48,517,489.51","59,252,730.26","32,983,759.60","44,659,937.38","47,590,533.75","55,979,329.29","27,451,355.72","33,808,545.42","35,320,566.93","49,590,433.29","40,473,651.65","45,290,828.72","38,451,097.85","40,289,300.47","41,796,043.19","55,608,530.86","137,095,547.82","243,115,678.52","306,325,806.46","423,618,024.27","394,566,286.92","479,734,684.34","447,789,358.02","465,732,286.68","420,986,231.72","437,492,060.17","569,627,048.57","646,818,298.75","-93,310,634.87","-114,281,945.43"
长期待摊费用,"350,082.16","423,113.96","377,988.31","341,887.79","314,812.40","287,737.01","260,661.62","233,586.23","2,908,517.43","4,577,636.55","5,693,021.31","4,944,553.42","6,262,095.74","5,938,827.30","9,600,967.41","10,633,076.68","10,085,639.68","10,026,131.40","11,615,080.87","11,934,079.83","23,652,937.59","23,939,409.66","30,665,857.54","29,515,109.70","37,990,217.26","37,004,460.64","35,858,757.49","34,458,654.69","35,131,355.71","33,175,039.84","32,081,530.57","32,112,423.99","34,231,134.00","34,021,067.07","42,203,966.86","45,305,131.71","44,272,123.67","48,538,598.04"
少数股东权益,,,,,,,,,,,,,,,"61,563,842.51","61,059,379.51","60,047,196.94","57,671,015.93","75,835,776.46","72,218,122.00","68,477,408.59","63,596,606.12","52,563,419.03","41,146,276.77","28,207,654.82","18,952,477.38","5,700,543.76","790,460.10","-10,986,195.87","-19,544,981.05","-20,099,026.38","-5,441,746.87","-22,820,596.44","12,607,742.47","18,948,949.23","24,573,449.11","-20,391,928.94","-22,657,166.49"
递延所得税资产,"1,251,971.53","786,913.61","991,037.20","964,620.31","1,066,650.18","1,066,650.18","1,066,650.18","1,066,650.18","903,361.38","903,361.38","903,361.38","903,361.38","1,105,811.26","1,105,811.26","1,112,855.77","1,112,855.77","1,389,402.34","1,389,402.34","1,418,176.63","1,418,176.63","2,817,561.64","2,887,990.31","4,040,114.30","3,389,546.28","10,281,985.34","10,281,985.34","10,656,468.72","12,195,018.51","18,135,341.70","18,448,725.35","19,179,978.47","17,261,421.64","22,174,395.16","21,520,221.92","26,694,893.89","26,657,836.55","27,634,081.93","27,413,576.25"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,"16,498,810.61","2,215,810.61","22,820,177.64","31,396,502.06","52,786,639.17","18,350,006.50","33,891,715.72","16,793,316.50","6,118,397.00","5,287,621.36","7,064,254.36","5,280,654.36","20,235,668.72","14,945,100.80","30,961,086.96","90,892,954.26","29,030,675.35","46,495,838.93","108,961,937.60","164,678,559.63","99,239,958.33","129,606,732.07"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"103,810,312.47","113,046,365.79","111,168,371.96","110,483,635.23","113,858,039.04","113,789,221.24","114,342,615.94","123,375,095.92","129,277,152.42","131,809,319.98","140,189,195.02","139,365,194.87","142,430,685.49","151,923,128.97","171,780,864.69","202,730,545.97","545,335,052.65","598,408,243.36","734,021,863.73","772,262,418.90","810,843,214.18","830,185,789.94","850,945,584.89","850,513,850.29","1,686,611,183.81","1,716,283,552.30","1,684,900,523.62","1,692,931,481.59","1,737,931,258.44","1,795,195,831.84","1,879,344,452.27","2,021,058,467.77","2,058,584,806.57","2,150,940,185.87","3,103,504,273.68","3,147,991,530.98","2,886,416,256.76","2,883,742,443.21"
所有者权益(或股东权益)合计,"125,793,232.27","113,475,562.97","156,872,773.26","175,620,712.79","826,677,114.90","836,622,792.72","808,445,727.61","821,336,285.71","826,576,828.89","837,312,069.64","812,925,500.68","824,611,039.00","831,907,973.19","840,308,484.28","875,519,982.97","881,353,325.76","885,044,066.19","896,927,314.05","907,557,750.08","908,775,378.54","900,414,127.99","897,358,960.55","888,915,593.30","891,400,189.90","1,877,920,265.71","1,974,763,798.36","2,024,715,293.51","2,137,028,987.55","2,132,018,192.75","2,208,576,384.38","2,176,078,461.19","4,691,579,402.28","4,671,800,117.91","4,723,726,137.64","4,709,602,525.08","4,791,771,034.76","4,021,806,657.74","3,996,030,006.82"
资产总计,"355,502,409.96","242,398,368.02","273,261,697.34","257,446,327.15","919,354,315.22","892,147,805.10","839,018,339.99","858,433,026.45","879,512,320.36","872,554,777.25","870,988,039.60","882,083,558.32","890,187,757.21","887,024,818.36","944,748,762.66","995,772,144.73","1,142,059,984.60","1,175,010,995.74","1,242,771,602.67","1,231,910,163.09","1,287,391,814.52","1,367,076,364.42","1,422,991,755.71","1,531,958,617.80","3,203,209,329.01","3,406,246,656.39","3,457,405,722.41","3,717,392,186.80","3,907,317,544.75","4,052,595,686.48","4,288,259,280.48","6,441,648,819.10","6,445,353,643.43","6,396,513,655.51","7,705,151,796.88","7,587,597,815.21","7,058,698,900.13","6,875,493,757.30"
负债和所有者(或股东权益)合计,"355,502,409.96","242,398,368.02","273,261,697.34","257,446,327.15","919,354,315.22","892,147,805.10","839,018,339.99","858,433,026.45","879,512,320.36","872,554,777.25","870,988,039.60","882,083,558.32","890,187,757.21","887,024,818.36","944,748,762.66","995,772,144.73","1,142,059,984.60","1,175,010,995.74","1,242,771,602.67","1,231,910,163.09","1,287,391,814.52","1,367,076,364.42","1,422,991,755.71","1,531,958,617.80","3,203,209,329.01","3,406,246,656.39","3,457,405,722.41","3,717,392,186.80","3,907,317,544.75","4,052,595,686.48","4,288,259,280.48","6,441,648,819.10","6,445,353,643.43","6,396,513,655.51","7,705,151,796.88","7,587,597,815.21","7,058,698,900.13","6,875,493,757.30"
