科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
持有至到期投资,,,,,,,,,,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,"15,093,390.85","40,160,063.56","40,160,063.56","8,032,012.71","8,032,012.71","8,032,012.71","8,032,012.71","8,032,012.71","8,032,012.71","8,032,012.71","8,032,012.71","8,032,012.71","8,032,012.71","8,032,012.71","8,032,012.71","8,032,012.71","19,357,874.77"
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,652,301.71","19,652,301.71","19,652,301.71","19,652,301.71",,
长期股权投资,,,,,,,,,,,,,,,,,,,"409,558.99","344,398.87","501,009.83","441,294.92","415,388.64","406,875.06","503,293.09","58,835,460.37","59,794,194.16","61,519,333.01","61,759,622.44","60,596,248.65","58,607,106.85","57,730,561.19","64,632,011.45","62,686,920.48","62,013,653.64","60,867,032.31","63,634,289.55","62,377,274.04","61,072,283.29","60,004,471.15","58,110,747.72","57,342,165.27"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"87,475,857.07","85,122,576.18","86,129,871.37","179,883,957.48","176,398,736.67","172,626,970.51","174,251,959.82","175,002,388.88","242,217,202.28","238,869,465.14","255,056,453.64","261,626,763.82","270,494,250.62","265,428,369.37","260,095,967.73","250,584,035.14","248,901,914.06","246,398,934.71","244,185,126.99","267,998,952.69","267,961,118.99","262,734,607.11","259,526,941.29","255,271,152.52","252,238,493.09","249,589,571.43","244,998,636.86","239,973,766.73","242,283,423.69","237,655,954.26","233,924,840.71","229,917,864.39","232,132,801.97","228,763,004.34","225,214,587.19","223,660,304.91","225,365,614.61","223,092,012.36","220,689,913.31","217,317,332.67","214,725,538.53","211,878,853.62"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,443,750.00","1,357,125.00","1,270,500.00","1,183,875.00","1,097,250.00","1,010,625.00","924,000.00","837,375.00","750,750.00","664,125.00","577,500.00","490,875.00","404,250.00","317,625.00"
