科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
客户贷款及垫款净增加额,"299,956,000,000.00","401,268,000,000.00","418,314,000,000.00","171,773,000,000.00","288,957,000,000.00","380,656,000,000.00","551,987,000,000.00","527,014,000,000.00","735,473,000,000.00","893,705,000,000.00","1,030,197,000,000.00","245,292,000,000.00","535,328,000,000.00","691,999,000,000.00","869,732,000,000.00","243,711,000,000.00","479,810,000,000.00","687,366,000,000.00","849,238,000,000.00","332,093,000,000.00","561,731,000,000.00","772,736,000,000.00","1,028,588,000,000.00","350,540,000,000.00","599,502,000,000.00","881,165,000,000.00","1,116,433,000,000.00","309,473,000,000.00","589,637,000,000.00","739,760,000,000.00","883,158,000,000.00","345,143,000,000.00","707,240,000,000.00","907,083,000,000.00","1,059,060,000,000.00","-357,188,000,000.00","648,979,000,000.00","1,065,577,000,000.00","1,258,420,000,000.00","426,878,000,000.00","808,597,000,000.00","1,105,899,000,000.00","1,299,971,000,000.00","307,113,000,000.00","548,492,000,000.00"
筹资活动现金流入小计,,"57,180,000,000.00","57,119,000,000.00","2,056,000,000.00",,"2,789,000,000.00","2,852,000,000.00","39,931,000,000.00","39,931,000,000.00","59,903,000,000.00","79,880,000,000.00","47,000,000.00","256,000,000.00","278,000,000.00","61,599,000,000.00","106,000,000.00","353,000,000.00","686,000,000.00","40,695,000,000.00","88,000,000.00","1,179,000,000.00","4,129,000,000.00","45,283,000,000.00",,"49,000,000.00","49,000,000.00","2,048,000,000.00","111,000,000.00","14,123,000,000.00","28,585,000,000.00","42,368,000,000.00",,"21,324,000,000.00","21,324,000,000.00","74,854,000,000.00",,"7,047,000,000.00","9,655,000,000.00","16,535,000,000.00","93,000,000.00","20,520,000,000.00","20,520,000,000.00","98,535,000,000.00","1,251,000,000.00","18,585,000,000.00"
存放中央银行和同业款项净增加额,"143,046,000,000.00","207,429,000,000.00","331,585,000,000.00","104,536,000,000.00","226,640,000,000.00","246,720,000,000.00","198,447,000,000.00","101,840,000,000.00","187,690,000,000.00","209,406,000,000.00","258,955,000,000.00","155,474,000,000.00","190,282,000,000.00","286,308,000,000.00","485,985,000,000.00","127,018,000,000.00","284,972,000,000.00","333,457,000,000.00","479,504,000,000.00","168,195,000,000.00","170,028,000,000.00","192,723,000,000.00","212,062,000,000.00","290,868,000,000.00","170,195,000,000.00","165,075,000,000.00","33,915,000,000.00","17,942,000,000.00","242,245,000,000.00","196,133,000,000.00","184,773,000,000.00","36,120,000,000.00","285,879,000,000.00","128,639,000,000.00",,"-58,645,000,000.00","276,260,000,000.00","134,383,000,000.00","328,481,000,000.00",,,,,,
偿还债务支付的现金,,,,,,,,,,"23,300,000,000.00","40,000,000,000.00",,,"2,870,000,000.00","2,870,000,000.00",,,,,,,,,,,,,"12,000,000,000.00","12,500,000,000.00","22,500,000,000.00","22,500,000,000.00","289,000,000.00","882,000,000.00","1,192,000,000.00","2,815,000,000.00","5,395,000,000.00","8,894,000,000.00","8,894,000,000.00","11,711,000,000.00",,"3,335,000,000.00","4,135,000,000.00","6,347,000,000.00","163,000,000.00","3,261,000,000.00"
支付的手续费及佣金的现金,"38,564,000,000.00","60,559,000,000.00","86,852,000,000.00","25,603,000,000.00","49,175,000,000.00","78,609,000,000.00","110,305,000,000.00","31,970,000,000.00","60,453,000,000.00","96,111,000,000.00","127,548,000,000.00","28,040,000,000.00","54,381,000,000.00","85,294,000,000.00","118,796,000,000.00","34,137,000,000.00","69,274,000,000.00","112,144,000,000.00","162,029,000,000.00","51,455,000,000.00","101,732,000,000.00","152,375,000,000.00","204,542,000,000.00","53,499,000,000.00","104,654,000,000.00","161,054,000,000.00","221,788,000,000.00","60,685,000,000.00","121,651,000,000.00","189,666,000,000.00","265,542,000,000.00","71,966,000,000.00","146,784,000,000.00","219,641,000,000.00","290,308,000,000.00",,"145,164,000,000.00","202,902,000,000.00","276,489,000,000.00","76,466,000,000.00","167,123,000,000.00","244,762,000,000.00","327,235,000,000.00","95,660,000,000.00","180,652,000,000.00"
分配股利、利润或偿付利息支付的现金,"126,000,000.00","21,906,000,000.00","53,979,000,000.00",,"181,000,000.00","1,340,000,000.00","42,965,000,000.00",,"745,000,000.00","20,870,000,000.00","21,548,000,000.00","1,559,000,000.00","1,576,000,000.00","49,565,000,000.00","50,530,000,000.00","1,505,000,000.00","3,454,000,000.00","55,319,000,000.00","56,278,000,000.00","1,512,000,000.00","1,541,000,000.00","61,222,000,000.00","64,782,000,000.00","1,523,000,000.00","1,554,000,000.00","69,316,000,000.00","74,589,000,000.00","1,507,000,000.00","1,576,000,000.00","77,323,000,000.00","82,718,000,000.00","2,478,000,000.00","5,589,000,000.00","80,360,000,000.00","84,835,000,000.00","70,770,000,000.00","2,620,000,000.00","68,532,000,000.00","69,574,000,000.00","1,625,000,000.00","5,281,000,000.00","73,813,000,000.00","83,396,000,000.00","2,507,000,000.00","2,729,000,000.00"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,"51,000,000.00","51,000,000.00","51,000,000.00","51,000,000.00",,"5,000,000.00","5,000,000.00","1,288,000,000.00",,,,,,,,,"46,000,000.00",,,"1,027,000,000.00",,"1,210,000,000.00","3,147,000,000.00","10,618,000,000.00",,"24,000,000.00","1,243,000,000.00",,,"85,000,000.00"
支付原保险合同赔付款项的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"126,000,000.00","21,906,000,000.00","53,979,000,000.00",,"181,000,000.00","1,340,000,000.00","42,965,000,000.00",,"745,000,000.00","44,170,000,000.00","61,548,000,000.00","1,559,000,000.00","1,576,000,000.00","52,435,000,000.00","53,400,000,000.00","1,556,000,000.00","3,505,000,000.00","55,370,000,000.00","56,329,000,000.00","1,512,000,000.00","1,546,000,000.00","61,227,000,000.00","66,070,000,000.00","1,523,000,000.00","1,554,000,000.00","69,316,000,000.00","74,589,000,000.00","13,507,000,000.00","14,076,000,000.00","99,823,000,000.00","105,218,000,000.00","2,813,000,000.00","6,471,000,000.00","81,552,000,000.00","88,677,000,000.00",,"12,724,000,000.00","80,573,000,000.00","91,903,000,000.00","1,725,000,000.00","8,640,000,000.00","79,191,000,000.00","89,743,000,000.00","2,670,000,000.00","6,075,000,000.00"
