科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"299,868,333.34","297,833,746.21","297,951,246.22","298,068,746.23","298,186,246.24","298,271,857.05","298,389,357.06","298,506,857.07","298,624,357.08"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,"746,239.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"14,145,124.27","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00","3,015,000.00",,,,,,,,,,,,"37,209,405.20","34,256,537.19","32,979,570.82","29,389,487.66","27,119,863.78","24,961,565.13","39,179,487.71","35,286,143.31"
专项应付款,"3,925,590.32","3,925,590.32","4,225,590.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"810,000.00",,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,661,153.89","64,636,687.34","64,036,491.59","63,772,047.99","64,307,577.63","64,178,909.13","64,050,240.63","63,960,572.13",,,,
预计负债,,"1,421,324.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"341,769,478.17","337,006,784.37","327,480,114.59","332,467,169.41","325,436,518.22","319,561,181.78","314,000,151.35","309,976,847.77","304,525,028.21","298,515,307.33","293,942,099.26","281,326,502.12","274,906,526.21","269,347,689.77","264,084,587.45","266,414,576.20","261,159,042.88","261,598,030.44","262,010,121.65","300,650,252.23","298,174,029.12","291,941,275.92","294,323,207.72","292,355,596.13","293,821,655.66","285,058,037.78","282,436,836.81","301,889,674.38","326,081,451.19","399,539,178.08","398,823,870.41","466,171,161.28","461,253,214.38","452,323,747.03","616,373,975.82","621,130,710.05","612,108,860.86","601,981,709.61","589,485,356.12","582,608,398.33","569,476,069.14","563,572,812.90","577,929,461.17"
递延所得税负债,,,,,,,,,,,,"158,341.05","158,341.05","158,341.05","158,341.05","84,954.24","84,954.24","84,954.24","84,954.24","74,486.66","74,486.66","74,486.66","74,486.66","84,081.94","84,081.94","84,081.94","84,081.94","61,136.71","61,136.71","61,136.71","61,136.71","122,880.24","122,880.24","122,880.24","122,880.24","115,370.89","115,370.89","115,370.89","115,370.89","8,376,522.34","8,097,458.33","17,057,940.96","29,569,160.64"
