科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
固定资产,"620,788,683.01","777,754,619.59","832,639,874.72","872,146,224.89","946,221,298.62","971,683,531.99","1,027,935,437.75","1,097,122,949.80","1,200,897,589.45","1,202,064,991.62","1,257,696,507.83","1,281,000,102.06","1,812,326,513.31","1,828,517,807.30","1,850,832,912.43","1,821,805,536.60","1,721,504,361.85","1,669,078,030.43","1,606,233,816.00","1,529,313,967.57","1,458,910,171.96","1,406,008,966.13","1,295,070,595.54","1,232,787,249.16","971,852,984.64","1,125,412,756.11","1,078,484,705.27","1,034,703,564.86","880,773,732.57","867,651,471.00","844,989,285.50","831,214,449.52","782,462,538.71","721,023,132.92","707,535,120.13","691,778,538.20"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"11,010,088.12","1,877,889.13","2,288,640.12","6,299,298.86","15,714,830.78","21,308,388.83","29,147,871.48","36,589,083.32","2,108,201.30","4,864,600.30","3,268,441.22","10,605,647.88","10,665,673.06","14,717,617.31","20,638,225.07","22,888,421.14","27,490,056.29","28,546,415.33","29,648,132.95","42,630,901.35","120,074,541.23","136,657,640.30","188,529,311.91","161,103,739.44","204,191,739.71","73,021,031.73","67,904,032.27","69,045,778.85","25,763,959.22","18,811,222.58","18,866,841.06","18,918,167.34","3,399,460.83","1,274,230.33","1,251,746.55","1,661,558.31"
其他非流动负债,,,,,,,,,,,,,"14,024,000.00","13,930,507.00","13,860,387.01","13,790,267.02","14,024,000.00","14,024,000.00","14,024,000.00","14,024,000.00","14,024,000.00","14,857,333.33","14,024,000.00","14,107,333.35",,,,"11,450,499.02",,"618,988.77",,,"150,000,000.00",,"250,000,000.00",
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"10,733,072.03",,"130,000,000.00","130,000,000.00","30,000,000.00","30,000,000.00","133,000.00","10,000.00",,,,,"406,698,056.56","384,739,448.21","1,209,943,507.00","1,220,161,366.99","1,218,146,770.80","1,224,060,296.92","1,166,711,444.13","1,133,108,114.46","1,116,698,041.64","1,099,399,299.13","1,067,627,119.50","1,043,677,173.38","1,020,288,058.38","1,021,844,030.26","2,047,202,992.76","1,498,879,767.26","928,699,026.04","924,606,433.30","1,549,460,542.16","1,462,471,756.88","1,337,516,661.71","1,240,733,843.12","1,876,141,577.41","2,297,678,688.45"
固定资产清理,,,,,,,,,,,,"19,175,709.06",,,,,,,,,,,,,,,,"4,844,010.56","114,065.69",,"108,536.57","20,215,759.69",,,291.28,
负债合计,"991,892,654.33","1,432,856,843.41","1,427,151,539.59","1,465,237,075.76","1,140,713,423.16","1,034,483,828.95","1,084,793,940.76","1,381,026,355.36","1,332,719,701.36","1,403,312,612.09","1,535,847,341.80","1,578,576,934.00","2,179,603,183.09","2,052,604,873.01","2,199,885,878.28","2,283,704,038.67","2,137,409,910.01","2,073,299,271.99","2,061,416,544.13","2,096,506,019.84","1,969,361,531.56","1,876,806,686.03","1,803,602,641.42","1,793,983,261.76","1,716,346,748.57","1,665,802,758.76","6,439,669,631.61","5,795,627,675.36","5,411,949,254.15","4,909,239,576.65","5,801,249,915.83","6,627,329,887.97","8,224,639,231.18","8,577,023,358.61","9,153,735,573.28","10,407,592,988.03"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"166,430,000.00","216,359,000.00","216,359,000.00","216,359,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","290,000,000.00","580,000,000.00","580,000,000.00","580,000,000.00","1,719,755,018.00","1,877,530,273.00","1,877,530,273.00","1,877,530,273.00","1,877,530,273.00","1,877,530,273.00","1,877,530,273.00","1,877,530,273.00","1,877,530,273.00","1,877,530,273.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"53,124,124.12","33,454,882.24","33,454,882.24","33,454,882.24","1,137,511,857.72","1,137,511,857.72","1,142,074,356.36","1,142,074,356.36","1,142,074,356.36","1,142,074,356.36","1,142,074,356.36","1,142,074,356.36","1,143,585,870.12","1,143,585,870.12","1,143,585,870.12","1,143,585,870.12","1,143,585,870.12","1,143,585,870.12","1,143,585,870.12","1,143,585,870.12","1,143,585,870.12","1,143,585,870.12","1,143,585,870.12","853,585,870.13","853,585,870.12","853,585,870.12","1,981,804,800.02","3,166,636,711.49","3,159,714,895.65","3,159,714,895.65","2,805,763,985.65","2,805,763,985.65","2,805,763,985.65","2,805,763,985.65","2,805,763,985.65","2,805,763,985.65"
无形资产,"31,628,809.80","60,996,443.34","61,482,538.85","61,450,299.89","61,151,584.12","60,545,470.31","60,005,700.10","59,145,808.37","59,593,691.37","60,057,701.10","59,489,885.16","59,005,888.39","97,315,747.23","97,271,195.38","96,706,482.27","101,036,824.32","169,264,460.29","167,749,801.09","171,009,945.75","169,318,799.26","144,672,171.79","142,928,708.11","141,276,570.01","140,788,241.32","141,877,088.26","140,050,377.21","140,334,525.60","138,210,310.92","136,395,934.88","135,109,953.20","133,208,801.81","214,303,235.52","99,821,209.48","98,662,611.41","96,382,566.42","94,696,270.56"
盈余公积,"34,845,706.21","44,623,262.26","44,623,262.26","44,623,262.26","62,365,866.47","62,365,866.47","62,365,866.47","62,365,866.47","64,154,673.60","64,154,673.60","64,154,673.60","64,154,673.60","84,103,007.18","84,103,007.18","84,103,007.18","84,103,007.18","84,103,007.18","84,103,007.18","84,103,007.18","84,103,007.18","86,757,262.24","86,757,262.24","86,757,262.24","86,757,262.24","86,757,262.24","86,757,262.24","197,557,800.97","197,557,800.97","234,063,774.42","234,063,774.43","234,063,774.42","234,063,774.42","277,329,817.43","277,329,817.43","277,329,817.43","277,329,817.43"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,"1,330,337.45","1,330,337.45","1,330,337.45","1,330,337.45","1,330,337.45","1,330,337.45","1,330,337.45","1,330,337.45","1,330,337.45","1,330,337.45","1,330,337.45","1,330,337.45","54,318,823.09","54,318,823.09","54,318,823.09","54,318,823.09","54,318,823.09","54,318,823.09","54,318,823.09","54,318,823.09","24,611,759.39","24,611,759.39","1,330,337.45","1,330,337.45",,,,,,,,,,,,
