科目,2007-12-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
递延所得税负债,"2,643,300.00","2,643,303.18","2,643,303.18","4,541,715.64","4,541,715.64","4,541,715.64","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","2,643,303.18","1,762,202.12","1,762,202.12","1,762,202.12","1,762,202.12","881,101.06","881,101.06","881,101.06","881,101.06"
在建工程,"125,477,200.00","50,186,042.57","58,870,465.68","81,805,440.45","224,706,437.86","356,575,658.14","500,856,803.25","655,106,704.60","741,761,303.54","454,121,532.61","616,534,698.93","558,794,649.78","729,118,440.97","637,023,007.46","1,098,505,302.98","1,989,259,763.37","2,360,458,574.05","2,649,259,286.79","2,882,136,145.64","917,344,364.11","1,348,339,099.08","699,866,104.16","1,126,141,938.07","1,330,189,316.01","1,601,033,999.05","1,692,114,658.49","1,776,577,195.10","580,359,554.15","684,365,234.85","591,834,738.54","702,587,291.30","820,106,051.03","889,400,836.28","970,695,087.76","1,014,385,862.72","870,272,135.54","998,746,004.93","910,070,559.68","999,690,920.69"
其他非流动负债,,,,,,,,"49,587,879.59","50,301,121.05","50,889,456.37","50,974,262.02","52,343,904.98","52,581,920.70","52,577,291.82","52,597,297.24","54,560,495.23","54,737,691.95","54,728,433.85","54,806,273.90","54,796,842.03","59,114,563.61","63,016,027.39","63,176,953.30","67,412,660.88","66,971,967.18","66,283,267.94","65,740,629.92","30,209,313.40","30,209,313.40","30,209,313.40","30,477,629.10","30,209,313.40",,,,,,,
工程物资,"9,539,300.00","63,404,383.34","64,633,903.34","29,439,903.25","15,904,271.40","17,188,779.36","26,216,585.47","11,228,070.93","10,583,443.12","8,472,855.56","20,568,531.82","40,357,243.03","49,375,395.87","46,174,580.59","43,584,405.65","38,704,966.21","36,643,338.26","38,973,840.95","47,149,066.31","31,475,491.30","32,528,085.55","32,416,375.82","35,331,258.13","37,956,810.20","45,632,540.31","50,748,293.31","52,734,626.59","34,696,058.34","30,062,186.68","27,797,182.85","38,083,090.99","42,414,606.71","54,136,749.70","66,325,739.76","92,476,527.14","95,298,751.84","89,460,130.07","83,247,519.88","85,670,229.20"
非流动负债合计,"293,083,900.00","271,257,097.64","270,373,097.88","221,233,674.63","221,259,674.63","129,793,172.38","129,841,593.26","170,474,470.58","171,156,045.39","179,836,212.01","308,274,684.90","395,289,826.26","485,357,135.74","522,710,006.17","1,512,853,551.48","1,511,625,151.56","1,515,543,567.68","2,047,870,884.20","1,978,640,674.32","2,453,323,264.06","2,663,059,992.15","2,577,012,116.34","2,599,578,464.27","3,127,528,089.97","3,177,828,501.02","3,453,953,310.54","3,578,994,172.97","2,279,040,031.51","2,016,316,936.41","1,995,086,022.50","2,316,426,220.26","2,300,812,688.19","2,214,520,595.72","2,017,168,450.53","1,906,350,961.37","1,627,459,166.34","1,577,297,286.71","1,580,380,753.74","1,528,317,847.63"
固定资产清理,,,,,,"165,153.72","176,121.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"1,119,845,200.00","990,085,323.98","812,422,472.47","856,790,529.51","783,001,446.91","655,825,106.87","691,431,563.06","836,159,394.98","876,310,934.65","1,021,419,340.05","1,016,997,770.93","1,516,356,337.40","1,533,815,294.55","1,611,252,395.64","2,616,253,552.21","3,200,495,313.92","3,654,913,773.09","3,785,618,837.98","3,893,259,934.14","4,604,619,009.92","4,648,628,522.12","5,009,660,853.22","4,943,527,950.01","5,436,334,206.66","5,271,591,013.83","5,264,043,485.26","5,310,751,124.54","5,148,571,372.14","4,935,909,399.58","4,538,486,934.13","4,752,672,368.01","4,992,236,510.98","5,024,054,989.37","4,948,543,679.21","5,123,921,822.62","4,883,973,359.14","5,028,575,078.30","4,944,506,468.83","4,834,508,251.08"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"408,418,700.00","408,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","508,418,675.00","1,016,837,350.00","1,016,837,350.00","1,016,837,350.00","1,016,837,350.00","1,016,837,350.00","1,016,837,350.00","1,016,837,350.00","1,016,837,350.00","1,016,837,350.00","1,112,075,445.00","1,112,075,445.00","1,112,075,445.00","1,112,075,445.00","1,112,075,445.00","1,112,075,445.00","1,112,075,445.00","1,112,075,445.00","1,112,075,445.00","1,112,075,445.00","1,112,075,445.00","1,112,075,445.00","1,112,075,445.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
