科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
持有至到期投资,,,,,,,,,,,,,,,,,"147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26","147,443.26",,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,"4,969,691,403.73","4,970,981,447.96","4,972,125,659.18","4,972,572,905.98","4,972,861,259.03","4,973,844,034.19","4,974,826,809.35","4,976,472,237.73","4,977,471,706.74","6,948,504,563.51","6,950,821,861.72","6,952,983,049.59","6,955,161,782.01","6,957,355,686.01","6,959,509,754.77","6,961,663,823.53","6,963,817,892.29","6,966,046,770.43","6,968,259,319.48","6,970,471,868.53","4,529,939,758.76"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,"663,401,607.81","633,020,494.13","666,848,417.90","628,985,706.70","631,287,201.04","1,091,538,550.88","1,081,989,680.17","795,037,827.53","781,975,137.02","737,824,584.51","782,922,079.27","576,616,205.24","593,158,207.48","443,685,038.25","436,009,070.49","487,712,159.86","675,216,137.37","558,258,727.67","866,853,458.64","1,210,253,491.28","2,139,953,560.90","1,870,540,881.79","1,890,633,054.42","1,659,142,181.02","1,682,493,765.31","1,528,725,773.24","1,303,497,709.89","1,127,879,558.24","1,499,626,767.84"
长期股权投资,"3,308,259.43","3,308,259.43","3,308,259.43","3,000,000.00","3,000,000.00","13,000,000.00","13,000,000.00","10,000,000.00","20,000,000.00","30,000,000.00","30,000,000.00","41,011,000.00","41,011,000.00","41,011,000.00","41,011,000.00","41,011,000.00","210,125,400.00","363,125,400.00","363,125,400.00","478,125,400.00","478,125,400.00","478,125,400.00","492,067,272.11","534,017,981.09","534,017,981.09","534,017,981.09","534,017,981.09","535,891,865.16","547,802,974.66","559,189,890.12","78,339,485.87","86,334,932.88","79,093,910.52","93,628,901.91","79,531,404.68","85,226,698.24","83,192,300.24","74,905,809.31","71,038,410.64","107,564,219.46","100,804,362.19","106,524,627.19","88,890,606.53","73,722,322.76","83,161,229.05"
专项应付款,,,,,,,,,"20,000.00",,,,,,,,"190,228,261.77","184,714,861.77","190,228,261.77","255,228,261.77","249,304,861.77","312,228,261.77","329,228,261.77","80,710,810.00","80,710,810.00","81,010,810.00","80,710,810.00","80,710,810.00","80,710,810.00","79,900,000.00","143,926,000.00","79,900,000.00","79,630,000.00","79,900,000.00","162,900,000.00","70,000,000.00","70,220,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","120,000,000.00","120,000,000.00"
投资性房地产,,,,,,,,,,,,,,,,,"10,283,623.49","10,144,701.94","10,010,280.52","13,316,061.19","13,165,283.56","16,213,465.93","16,037,548.30","15,861,630.67","15,685,713.04","13,670,579.55","13,509,976.92","13,349,374.29","13,188,771.66","16,103,902.78","15,918,514.15","15,733,125.52","15,547,736.89","25,914,768.72","25,682,141.77","136,352,466.29","135,254,057.48","134,155,648.67","133,057,239.87","131,958,831.07","130,860,422.26","129,762,013.48","128,663,604.69","129,363,232.49","128,264,823.70"
预计负债,,,,,,,,,,,,,,,,,"40,972,651.75","40,972,651.75","40,972,651.75","38,613,078.07","38,613,078.07","38,613,078.07","38,613,078.07","36,000,000.00","36,000,000.00","36,000,000.00","36,000,000.00","36,000,000.00","36,000,000.00","36,000,000.00","36,000,000.00","86,000,000.00","86,000,000.00","86,000,000.00","86,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","44,865,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00"
固定资产,"2,265,159,243.26","2,251,902,463.19","2,220,331,813.20","2,281,511,530.41","2,250,774,928.28","2,240,930,637.33","2,239,786,820.98","2,272,768,679.03","2,261,623,683.80","2,268,296,845.53","2,280,975,862.89","2,289,773,956.55","2,249,732,871.41","2,325,023,551.56","2,340,630,581.29","2,462,542,523.79","3,067,274,728.62","3,031,979,173.29","3,055,901,984.82","6,598,528,155.10","6,416,350,266.78","6,443,048,486.27","6,536,253,249.41","8,960,692,065.69","8,834,755,187.40","8,722,993,301.94","9,646,827,849.82","12,173,632,335.33","12,042,146,958.21","11,900,927,707.04","11,725,299,617.75","18,729,858,389.32","21,325,048,528.81","21,107,037,624.32","20,789,799,756.54","27,541,115,512.95","27,128,359,891.95","26,742,944,395.70","26,335,898,401.54","36,613,430,762.49","36,053,920,894.60","35,522,273,469.37","34,964,846,720.99","52,641,806,865.44","52,435,317,294.16"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"419,740,879.33","490,892,192.71","539,484,165.81","614,674,312.84","624,128,688.34","734,291,493.43","797,577,045.77","847,231,220.09","803,754,241.46","860,515,634.73","949,850,966.99","1,069,052,080.95","1,128,158,958.91","1,174,000,435.82","1,322,957,646.83","1,381,873,798.09","10,889,457,436.34","12,115,663,184.28","13,626,518,323.95","11,657,064,735.30","13,108,459,561.77","15,015,743,849.97","17,342,836,419.45","17,239,487,200.42","18,549,760,994.57","22,155,276,665.48","23,748,511,800.54","26,224,455,000.16","27,605,698,178.17","30,136,376,993.30","34,227,854,028.65","32,630,704,713.45","31,836,420,853.88","34,765,005,555.58","37,245,402,657.40","33,234,798,579.90","34,698,611,913.39","36,347,963,553.35","37,382,972,393.05","28,444,253,177.07","29,996,029,086.95","30,412,132,440.62","31,162,796,859.81","10,194,539,906.66","10,783,878,668.84"
其他非流动负债,"2,062,600.00","2,062,600.00","2,062,600.00",,,,,,,,,"2,400,000.00","2,400,000.00","2,400,000.00","2,400,000.00","16,950,000.00","78,150,000.00","83,673,400.00","115,440,000.00","100,230,000.00","127,353,400.00","166,430,000.00","174,430,000.00","298,728,999.95","299,563,833.26","297,050,999.90","342,786,699.88","408,130,013.39","407,428,941.27","404,277,347.08","404,617,252.97",,"560,052,616.79",,"548,784,932.58",,"640,120,904.96",,"628,992,716.54",,"642,507,696.81",,"697,461,444.84",,"700,456,777.55"
工程物资,"165,647,465.06","135,111,161.93","142,991,906.84","129,807,996.30","174,368,905.27","103,858,879.15","79,333,711.77","59,618,581.04","121,945,922.59","117,133,047.70","85,887,176.44","41,240,723.43","41,943,007.57","47,643,308.38","54,827,877.48","23,927,996.29","1,067,585,894.50","896,057,350.44","903,650,732.35","965,860,120.88","1,042,260,567.35","1,450,989,877.10","1,364,650,277.39","2,208,537,600.97","2,573,468,447.92","2,770,823,195.22","2,940,581,547.97","2,534,483,112.23","2,591,913,130.11","2,582,043,799.68","2,302,856,192.11","1,741,291,149.75","1,635,048,579.06","883,379,847.55","921,739,700.93","681,445,160.40","669,722,041.17","680,531,344.65","568,101,638.98","490,775,396.97","488,641,389.43","486,715,854.08","479,335,335.70","345,630,497.99","309,723,821.89"
非流动负债合计,"1,380,062,600.00","1,280,062,600.00","1,270,062,600.00","1,095,000,000.00","1,095,000,000.00","1,095,000,000.00","1,025,000,000.00","745,400,000.00","745,420,000.00","745,400,000.00","815,400,000.00","518,900,000.00","518,900,000.00","518,900,000.00","518,900,000.00","454,950,000.00","6,339,069,144.07","6,023,698,030.39","6,946,028,277.69","7,213,361,662.41","8,309,029,040.88","11,864,852,095.30","14,029,163,792.46","14,569,840,409.93","21,396,303,956.46","21,431,560,614.82","24,498,238,020.78","26,319,747,634.25","28,436,058,426.98","29,285,706,419.52","31,747,379,132.81","31,718,175,856.50","33,870,870,460.90","34,819,487,065.85","37,144,860,252.94","36,097,581,290.05","37,124,206,247.87","35,351,880,152.82","35,197,702,550.01","34,809,699,910.76","34,790,569,354.41","33,730,445,197.83","34,768,218,474.21","32,199,780,868.82","30,221,840,328.15"
固定资产清理,,,"2,572,840.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
