科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"354,093,876.16","331,837,627.83","368,347,382.45","366,554,111.72","395,620,152.64","389,699,472.27","409,798,009.80","434,108,670.49","453,640,849.42","448,426,013.93","496,754,768.46","477,450,168.15","475,353,399.77","468,718,128.12","502,173,356.91","457,973,195.54","509,140,154.26","388,006,199.79","560,249,243.79","622,406,259.74","689,915,922.74","707,536,665.07","696,180,656.45","733,080,726.22","683,390,443.62","1,192,239,655.23","967,789,509.14","926,740,899.32","997,582,005.06","952,870,252.54","938,286,103.57","824,254,758.70","932,393,430.22","1,094,781,818.16","1,139,995,840.68","1,046,033,815.77","1,148,233,362.12","1,259,667,721.54","1,319,007,617.90","1,447,063,534.99"
生产性生物资产,,,,,,,,,,,,,,,,,"80,000.00","80,000.00","73,600.00","70,400.00","67,200.00","64,000.00","60,800.00","57,600.00","54,400.00","51,200.00","48,000.00","44,800.00","221,600.00","212,400.00","203,200.00","194,000.00","184,800.00","175,600.00","198,400.00","189,200.00","321,680.00","307,360.00","318,040.00","333,120.00"
实收资本(或股本),"80,500,000.00","80,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","107,500,000.00","151,023,316.00","151,023,316.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00","302,046,632.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"749,837.45","103,359.43","242,442,337.45","242,442,337.45","241,691,007.27","241,691,007.27","241,691,007.27","241,691,007.27","241,691,007.27","241,691,007.27","241,691,007.27","241,691,007.27","241,691,007.27","241,691,007.27","241,691,006.82","241,691,006.82","1,010,467,689.62","1,010,467,689.62","859,444,373.62","859,444,373.62","859,444,373.62","859,444,373.62","859,444,373.62","859,444,373.62","861,718,770.62","861,718,770.62","861,718,770.62","861,718,770.62","861,879,283.64","861,879,283.64","861,879,283.64","861,879,283.64","861,879,283.64","861,879,283.64","861,879,283.64","861,879,283.64","861,879,283.64","861,879,283.64","861,879,283.64","861,879,283.64"
无形资产,"40,943,433.71","40,609,998.11","40,276,562.51","39,943,126.91","39,697,949.56","39,364,933.93","39,037,739.64","38,704,576.02","38,371,412.40","38,038,248.78","37,705,085.16","37,371,921.54","37,331,257.92","36,990,594.30","36,649,930.68","36,309,267.06","36,087,959.84","35,801,776.40","35,538,509.62","45,223,656.28","45,589,468.42","45,171,162.65","44,763,464.86","44,416,161.91","44,081,325.89","43,823,536.94","43,476,233.99","43,128,931.04","53,330,246.37","52,992,265.38","52,655,238.51","52,678,451.89","52,171,863.73","51,791,183.89","51,410,504.05","51,029,824.21","51,045,156.06","50,662,494.27","50,279,832.49","49,897,170.71"
盈余公积,"94,024,020.11","94,024,020.11","94,024,020.11","94,024,020.11","99,114,268.73","99,114,268.73","99,114,268.73","99,114,268.73","99,114,268.73","99,114,268.73","99,114,268.73","99,114,268.73","101,234,836.17","101,234,836.17","101,234,836.17","101,234,836.17","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77","118,456,244.77"
开发支出,,,,,,,,,,,,,,,,"1,453,420.00",,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
