科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00",,,
长期股权投资,"894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","894,303.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00",,,,,,,,,,"57,615,626.84","57,615,626.84","57,264,003.78",,,,,,,
专项应付款,"553,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,305,109.76","16,740,836.53","16,740,836.53","22,299,094.99","22,299,094.99","22,280,535.99","22,280,535.99","22,280,535.99","22,280,535.99","22,280,535.99","22,280,535.99","22,280,535.99","22,280,535.99","22,280,535.99","22,280,535.99",,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,"1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57","1,782,199.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"79,452,490.27","78,227,685.44","75,625,803.40","74,304,291.40","71,855,191.86","70,312,724.19","67,960,206.27","67,875,116.60","65,681,332.88","63,565,596.81","61,524,305.38","59,752,088.31","58,081,827.29","56,511,562.15","54,419,295.18","53,117,351.99","51,939,038.92","51,092,182.10","50,553,112.88","47,996,587.69","47,481,010.12","46,838,607.88","45,968,572.99","44,950,929.81","44,435,064.94","43,545,039.92","42,843,137.89","42,905,158.92","37,919,097.42","37,588,394.94","37,268,495.31","37,286,024.53","36,905,440.84","42,371,249.80","42,017,803.54","40,366,956.24","41,222,316.72","41,573,111.11","40,552,304.95","22,729,358.41","22,895,418.73","22,294,854.24","21,692,907.99","20,072,952.84","19,632,557.58","17,952,189.44","17,507,173.54","16,871,163.65","16,545,788.33"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"13,832.20","13,832.20","149,412.20","135,580.00","135,580.00","135,580.00","135,580.00",,,,,,,,,,,,,,,,,,,,,"68,694.00","68,694.00","163,078.15","1,296,910.43","1,199,459.30","1,748,128.12",,,,,,,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,839,567.03","31,839,567.03","31,839,567.03",,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"4,741,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","4,188,199.57","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","2,406,000.00","21,711,109.76","19,146,836.53","19,146,836.53","61,556,233.22","61,243,010.03","60,911,227.84","60,598,004.65","56,526,103.02","56,526,103.02","56,526,103.02","56,526,103.02","56,526,103.02","56,526,103.02","56,526,103.02","56,526,103.02","34,245,567.03","34,245,567.03","34,245,567.03","31,839,567.03","31,839,567.03","31,839,567.03"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"444,146,431.53","455,423,507.24","454,897,252.09","398,448,729.27","390,512,325.90","395,170,014.17","399,183,206.77","370,612,857.77","359,411,588.84","360,575,408.21","360,422,481.07","358,308,639.81","362,404,761.74","353,357,553.00","353,658,679.77","391,021,378.42","379,324,125.98","388,973,969.02","378,397,013.63","371,896,738.00","366,746,654.34","375,467,183.04","382,215,481.07","180,049,438.19","184,810,062.85","173,852,894.94","171,632,372.79","167,653,920.28","173,700,847.60","158,885,480.26","141,379,397.68","151,627,715.30","132,065,761.91","139,265,660.02","135,032,935.72","136,246,850.70","131,209,420.26","129,824,066.73","134,344,074.23","252,962,409.98","242,742,037.67","201,458,451.29","204,256,454.91","196,435,737.71","186,054,677.08","207,860,739.48","191,229,982.81","137,768,353.78","127,965,861.40"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","141,742,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00","425,226,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"65,076,549.34","63,943,696.44","63,854,123.37","63,858,841.86","63,858,841.86","63,364,428.48","63,364,428.48","63,335,222.13","63,335,222.13","63,313,224.60","63,313,224.60","63,365,401.27","63,365,401.27","63,306,119.48","63,306,119.48","63,306,119.48","63,306,119.48","63,306,119.48","63,306,119.48","63,306,119.48","63,306,119.48","63,306,119.48","63,306,119.48","182,914,021.48","182,914,021.48","182,914,021.48","182,914,021.48","182,914,021.48","182,914,021.48","182,914,021.48","182,914,251.45","182,914,251.45","182,914,251.45","182,914,251.45","182,914,251.45","182,914,251.45","182,914,251.45","182,914,251.45","182,914,251.45","182,914,251.45","182,914,251.45","182,914,251.45","182,914,251.45","196,282,573.04","196,282,573.04","196,282,573.04","196,282,573.04","196,282,573.04","196,282,573.04"
无形资产,"61,904,762.00","61,672,619.15","61,440,476.30","61,208,333.45","60,976,190.60","60,744,047.75","60,511,904.90","60,279,762.05","60,047,619.20","59,815,476.35","59,583,333.50","59,351,190.65","59,119,047.80","58,886,904.95","58,654,762.10","58,422,619.25","58,190,476.40","57,958,333.55","57,726,190.70","57,494,047.85","57,261,905.00","57,029,762.15","56,797,619.30","56,565,476.45","56,333,333.60","56,101,190.75","55,869,047.90","55,636,905.05","65,961,225.05","65,961,225.05","65,961,225.05","64,861,871.30","64,861,871.30","64,312,194.42","64,037,355.99","63,761,227.87","63,486,067.02","63,210,906.17","62,936,712.56",,,,,,,,,,
