科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"2,278.56","2,278.56","2,278.56","2,278.56","655,575,512.72","655,575,512.72","655,575,512.72","655,575,512.72","655,575,512.72","655,575,512.72","655,575,512.72","655,575,512.72","655,575,512.72","655,575,512.72","655,575,512.72","655,575,512.72","655,575,512.72","657,775,933.84","657,775,933.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84","496,202,753.84"
无形资产,"17,927,145.96","17,164,758.99","16,778,784.99","16,585,797.99","16,489,304.49","16,392,810.99","16,296,317.49","16,199,823.99","16,308,028.90","16,524,364.76","16,410,454.58","16,296,544.40","16,182,634.22","18,005,557.19","17,879,764.61","17,753,972.03","17,628,179.45","17,502,386.87","17,376,594.29","17,406,991.03","17,277,193.60","17,147,396.17","21,781,806.40","21,529,849.81","21,277,893.22","21,025,936.63","26,956,981.61","26,546,486.51","26,135,991.41","22,678,148.51","22,244,029.49","21,809,910.47","21,375,791.45","20,941,672.43"
盈余公积,"37,282,536.17","40,368,544.20","44,430,773.18","47,409,598.95","44,430,773.18","49,800,850.03","49,800,850.03","49,800,850.03","49,800,850.03","64,200,869.55","64,200,869.55","64,200,869.55","64,200,869.55","71,904,961.33","71,904,961.33","71,904,961.33","71,904,961.33","77,098,044.90","77,098,044.90","77,098,044.90","77,098,044.90","83,823,398.24","83,823,398.24","83,823,398.24","83,823,398.24","92,554,866.65","92,554,866.65","92,554,866.65","92,554,866.65","104,477,982.11","104,477,982.11","104,477,982.11","104,477,982.11","123,725,794.63"
开发支出,,,,,,,,,,,,,,"837,548.96","2,451,986.18","4,217,685.74","6,145,347.35","7,657,026.71","9,259,609.96","9,902,335.33","10,769,424.76","11,961,807.44","8,264,994.05","9,457,920.78","10,612,826.67","11,850,709.06","5,909,425.92","6,292,284.92","6,661,172.93",,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"48,086,854.04","30,043,117.89","35,857,017.76","27,700,227.48","41,499,994.21","49,221,487.19","64,069,861.68","38,655,204.68","114,330,360.81","133,581,172.42","51,703,593.41","84,505,042.97","103,314,285.78","105,919,668.53","119,178,449.90","58,321,143.27","71,451,200.98","83,295,134.95","99,621,338.16","68,844,330.80","88,316,757.60","100,188,299.55","118,348,784.69","88,525,005.39","116,777,161.74","135,908,798.47","158,382,169.34","123,832,114.91","155,021,528.31","177,647,291.75","207,560,551.57","207,275,595.98","245,084,878.56","270,578,308.54"
长期待摊费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东权益,,,,,,,,,,,,,-146.16,"5,192,925.15","5,302,690.40","5,395,450.65","5,508,716.31","5,627,859.05","5,735,886.26","5,968,436.91","6,156,436.48","6,256,661.07","6,418,349.99","6,609,509.81","6,826,739.97","6,985,861.88","7,121,792.43","6,300,803.95","6,547,563.23","6,863,626.29","7,111,812.20","6,059,338.22","6,461,655.02","6,893,035.98"
递延所得税资产,"487,516.08","422,266.10","722,289.60","763,060.67","733,888.99","753,154.96","838,482.47","1,051,113.59","1,257,111.31","1,223,509.31","1,132,701.72","1,263,585.86","1,156,545.73","1,656,551.43","1,559,709.05","1,504,303.86","1,514,068.09","2,343,267.03","1,943,326.26","1,805,901.30","1,818,284.12","1,826,109.93","1,837,412.09","1,984,539.43","2,069,577.43","1,918,884.06","1,640,038.75","1,768,497.52","1,792,584.08","2,104,377.10","2,076,420.62","2,065,679.28","2,102,108.45","2,084,795.58"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,,,"4,013,253.70","3,608,049.79","4,942,389.20","4,835,290.00","5,703,051.07","7,217,869.57","4,274,659.30","3,707,741.20","3,741,016.00","3,520,720.00","3,970,817.00","3,829,292.00","5,766,744.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"177,542,813.46","164,672,093.51","156,118,644.45","157,337,988.72","156,034,276.63","158,301,472.83","158,434,691.24","163,101,322.06","168,244,865.10","203,153,170.76","208,962,865.85","210,304,692.74","215,693,701.99","235,426,251.39","235,709,992.36","238,134,892.51","242,178,679.46","242,956,314.50","241,123,726.98","238,731,725.46","238,370,034.85","246,933,737.14","246,572,178.99","247,431,679.52","245,211,050.58","243,428,907.06","241,069,654.41","237,982,445.81","236,761,735.02","207,041,062.32","203,815,792.64","202,040,383.15","200,180,872.73","199,734,481.41"
所有者权益(或股东权益)合计,"205,944,848.77","190,987,120.65","200,863,249.50","195,685,284.99","903,079,460.11","916,171,029.94","931,019,404.43","905,604,747.43","981,279,903.56","1,014,930,734.69","933,053,155.68","965,854,605.24","984,663,701.89","1,000,166,247.73","1,013,534,794.35","952,770,247.97","966,013,571.34","985,370,152.74","1,001,804,383.16","971,259,926.45","990,920,352.82","1,009,617,472.70","1,027,939,646.76","998,307,027.28","1,026,776,413.79","1,054,798,640.84","1,077,407,942.26","1,042,036,899.35","1,073,473,072.03","1,108,338,013.99","1,138,499,459.72","1,137,162,030.15","1,175,373,629.53","1,220,546,252.99"
资产总计,"323,357,884.28","292,686,554.65","309,806,656.93","364,427,933.54","1,042,635,909.22","969,018,744.11","1,003,437,529.58","993,966,805.28","1,032,216,269.58","1,076,751,201.05","1,113,213,234.32","1,091,894,064.90","1,089,339,547.55","1,066,934,646.57","1,087,833,888.74","1,021,940,475.37","1,068,517,250.71","1,062,517,911.72","1,080,365,876.83","1,050,569,278.36","1,075,391,252.25","1,103,097,018.10","1,112,038,553.55","1,075,862,389.01","1,097,884,504.71","1,132,245,847.87","1,140,490,203.07","1,123,401,283.82","1,131,563,600.97","1,188,225,124.83","1,202,082,099.17","1,210,756,936.22","1,232,316,846.57","1,291,430,760.68"
负债和所有者(或股东权益)合计,"323,357,884.28","292,686,554.65","309,806,656.93","364,427,933.54","1,042,635,909.22","969,018,744.11","1,003,437,529.58","993,966,805.28","1,032,216,269.58","1,076,751,201.05","1,113,213,234.32","1,091,894,064.90","1,089,339,547.55","1,066,934,646.57","1,087,833,888.74","1,021,940,475.37","1,068,517,250.71","1,062,517,911.72","1,080,365,876.83","1,050,569,278.36","1,075,391,252.25","1,103,097,018.10","1,112,038,553.55","1,075,862,389.01","1,097,884,504.71","1,132,245,847.87","1,140,490,203.07","1,123,401,283.82","1,131,563,600.97","1,188,225,124.83","1,202,082,099.17","1,210,756,936.22","1,232,316,846.57","1,291,430,760.68"
