科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,"120,000,000.00",,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"395,131,670.43","395,526,681.72","395,921,693.01","396,316,704.30","396,720,109.27","397,140,301.33","397,560,493.39","397,980,685.45",,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,"851,138.09","647,583.63","519,236.40","284,280.70","245,255,594.14","218,696,260.11","218,286,260.11","182,214,260.11","202,214,652.01","180,087,255.28","158,320,709.50","139,849,222.50","148,058,337.10","108,631,144.67","67,171,116.67","64,171,116.67","63,579,429.30","42,832,993.99"
长期应付款,"9,855,422.48","9,647,394.28","9,802,744.59","8,054,177.32","7,896,773.22","8,038,593.67","8,007,889.91","12,133,798.12","12,988,473.13","13,322,250.25","14,483,084.61","15,881,731.83","17,077,970.21","17,998,159.82","18,839,264.55","18,999,298.66","19,990,738.86","19,646,343.41","19,530,754.16","19,271,537.94","19,575,931.30","19,810,452.91","19,899,730.22","20,390,461.13","20,570,372.19","22,066,996.17","22,167,626.53","28,030,947.15","28,052,853.53","33,152,129.37","31,974,129.75","54,882,436.60","54,598,106.38","53,936,968.15","55,226,311.05","50,624,898.07","50,432,175.35","49,245,898.87","35,743,326.44","24,472,543.94","29,510,290.81","11,261,322.33","16,124,977.77","11,359,415.42","6,636,148.28"
长期股权投资,"5,972,000.00","5,972,000.00","5,972,000.00","7,190,800.00","7,190,800.00","7,190,800.00","7,190,800.00","7,190,800.00","7,190,800.00","6,359,002.17","6,359,002.17","4,430,800.00","4,430,800.00","4,430,800.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,748,817.15","1,748,817.15","1,748,817.15","98,817.15","3,089,417.43","3,089,417.43","2,509,304.29","2,509,304.29","1,955,026.24","1,955,026.24","1,868,260.87","1,858,138.92","1,849,557.85","1,859,817.60","1,867,460.68","9,869,612.37","9,505,435.72","9,512,450.88"
专项应付款,"434,709.10","820,154.10","820,154.10","13,616.10","13,616.10","13,616.10","13,616.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,700,000.00",,,,,,,
投资性房地产,"22,721,312.71","22,508,963.98","23,015,544.34","22,796,348.68","22,577,153.02","22,357,957.36","22,138,761.70","32,596,412.38","32,377,216.72","32,158,021.06","31,938,825.40","31,550,615.90","34,518,800.73","38,118,158.22","37,840,194.57","37,398,046.04","37,120,082.39","36,842,118.74","36,564,155.09","36,119,166.56","35,841,202.91","35,563,239.26","35,121,090.73","34,831,085.72","34,553,122.07","31,448,920.79","31,033,407.76","30,782,079.61","30,530,751.46","30,279,423.31","30,028,095.16","29,612,582.13","29,361,253.98","29,109,925.83","28,858,597.68","28,443,084.65","28,191,756.50","38,569,719.70","38,082,062.94","37,758,591.06","36,113,319.18","34,468,047.30","32,822,775.42","162,463,289.52","158,729,218.04"
预计负债,,,,,,,,,,,,,,,,"2,637,874.64","2,637,874.64","2,637,874.64","2,506,394.64","3,527,676.64","3,527,676.64","3,527,676.64","3,527,676.64","3,842,148.64","3,842,148.64","3,842,148.64","1,182,470.45","314,472.00","314,472.00","314,472.00","314,472.00",,,,,,,,,"1,184,957.00","1,184,957.00",,,,
固定资产,"265,551,109.24","264,738,482.46","262,231,477.40","260,762,908.47","238,277,260.45","235,696,377.73","232,336,848.39","230,490,424.46","227,440,657.26","226,311,097.84","224,357,706.20","241,429,914.90","264,616,099.05","261,834,387.71","259,257,178.12","264,189,530.32","260,849,128.91","258,170,768.52","255,652,289.60","261,381,451.54","257,854,989.11","255,646,946.34","258,570,502.06","255,607,596.96","254,546,484.60","251,675,957.88","247,773,079.67","500,506,592.63","490,526,001.64","512,465,406.51","528,518,922.83","573,852,280.19","566,875,517.52","594,542,335.40","593,040,977.24","582,162,214.48","577,990,870.91","555,373,177.63","547,005,618.45","533,065,262.95","527,569,895.25","515,572,695.89","520,625,237.56","527,880,027.19","519,808,732.32"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"4,015,804.53","4,122,319.72","4,768,735.95","6,443,243.45","26,172,428.87","26,789,874.33","29,327,550.86","28,277,021.47","28,472,864.52","36,124,466.00","42,453,743.01","24,247,082.65","1,287,427.75","3,554,524.41","4,134,064.55","1,712,723.11","2,275,493.21","5,325,279.59","15,743,392.72","4,991,123.76","5,769,886.19","6,842,205.64","1,717,984.14","2,300,405.49","2,675,218.69","7,026,367.51","7,800,767.51","33,848,485.45","40,680,907.63","17,686,772.25","20,083,081.54","15,792,332.74","17,116,311.66","18,705,441.53","19,300,164.70","20,036,580.90","21,226,618.63","24,457,328.86","33,217,057.79","46,645,220.53","61,485,688.29","70,368,132.96","86,144,634.60","89,175,078.17","103,513,983.23"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,672,142.86","1,602,767.86","1,533,392.86","1,464,017.86",,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
