科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"218,455,577.36","219,114,809.08","230,311,119.71","227,815,726.73","229,564,498.08","260,063,800.88","261,645,229.99","270,892,718.48","271,878,341.96","285,495,041.23","293,746,346.88","255,300,287.91","265,673,687.91","279,207,688.53","284,284,096.98","308,246,411.11","321,778,648.29","318,463,511.84","325,990,049.65","324,976,910.42","334,381,729.70","344,005,328.80","335,371,105.31","324,916,614.58","331,966,865.94","339,350,316.99","343,926,614.58","330,757,632.68","336,905,636.95","339,700,566.60","341,837,464.80","347,149,154.81","353,926,447.74","362,734,035.16","367,443,659.43","337,789,100.18","349,887,347.16","337,573,661.72","346,750,135.50","417,720,649.49","430,145,301.48","423,867,690.64","439,879,380.95"
专项应付款,"2,128,765.36",,,,,,,,,,"12,775,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,"100,834,528.27","103,918,263.52","103,071,727.62","103,071,727.62","101,377,398.06","100,530,233.28","99,683,068.50","98,835,903.72","97,988,738.94","97,141,574.16","96,294,409.38","95,729,632.86","94,600,079.82","93,752,915.04","92,905,750.26","92,058,585.48","91,211,420.70","90,364,255.92","89,517,091.14","88,669,926.36","87,822,761.58","86,975,596.80","86,128,432.02","85,281,267.24","84,434,102.46","83,586,937.68","82,739,772.90","81,892,608.12","81,045,443.34","80,198,278.56","79,351,113.78","78,503,949.00"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,102,368.00"
固定资产,"462,405,779.95","476,102,798.04","478,313,192.33","610,938,644.81","603,785,375.40","622,049,400.29","622,213,061.71","703,432,916.07","698,868,542.79","682,083,519.32","677,799,742.48","802,846,764.38","793,249,417.87","781,188,979.84","774,695,746.18","761,129,879.13","768,396,946.10","779,991,556.25","771,533,808.35","775,008,324.91","764,563,866.76","754,725,912.18","745,363,563.51","791,759,588.05","780,216,348.98","769,523,658.46","764,329,894.61","784,560,916.02","767,964,238.85","784,342,835.81","811,951,998.77","951,527,301.14","944,981,629.89","938,484,869.25","902,906,185.47","885,365,954.37","873,594,709.43","867,283,525.29","862,084,482.35","869,936,180.32","855,388,258.94","843,860,481.33","839,891,333.64"
递延所得税负债,,,,,,,,"1,178,472.58","1,178,472.58","1,178,472.58","1,178,472.58","1,811,339.38","1,811,339.38","1,811,339.38","1,811,339.38",,,,,,,,,"4,565.75","4,565.75","4,565.75","4,565.75","4,423.95","4,423.95","4,423.95","4,423.95","3,258.95","3,258.95","3,258.95","3,258.95","2,175.77","2,175.77","2,201.99",,,,,
在建工程,"239,214,022.88","302,275,558.60","306,143,217.37","164,944,417.69","251,793,033.62","220,032,385.96","227,126,488.93","95,659,549.23","103,839,562.48","114,940,934.17","131,909,174.30","24,015,462.99","26,464,078.33","32,166,070.88","45,656,449.87","45,420,630.13","34,022,060.93","35,882,168.51","46,034,682.88","73,007,601.85","77,642,343.61","92,594,399.58","116,357,429.91","87,088,259.31","107,302,308.45","108,903,009.00","137,643,650.43","136,148,163.51","139,406,081.86","148,585,078.60","134,970,438.73","21,327,623.31","22,480,351.34","20,317,441.14","21,361,194.23","18,671,790.56","20,078,727.48","23,207,447.96","23,146,026.07","11,083,747.34","16,385,464.24","16,670,390.47","18,106,874.54"
其他非流动负债,,"1,648,626.63","1,162,125.80","768,387.22","555,071.30","209,362.45",,,,,,"12,985,000.00","17,092,587.40","32,051,048.99","43,741,223.79","30,725,317.56","35,363,231.59","35,122,454.43","33,972,454.43","34,873,793.80","34,693,802.65","34,693,802.65","35,822,702.65","26,005,729.70","20,231,732.38","19,957,735.06","19,683,737.74","24,311,239.52","24,037,242.20","23,763,244.88","23,489,247.56",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,"1,500,772.73","7,746,045.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"57,128,765.36","56,648,626.63","56,162,125.80","768,387.22","555,071.30","209,362.45",,"1,178,472.58","1,178,472.58","1,178,472.58","13,953,472.58","45,121,339.38","49,510,176.78","94,468,638.37","191,552,563.17","176,725,317.56","181,363,231.59","181,122,454.43","179,972,454.43","150,873,793.80","150,693,802.65","150,693,802.65","151,822,702.65","26,010,295.45","20,236,298.13","19,962,300.81","19,688,303.49","24,315,663.47","174,041,666.15","173,767,668.83","173,493,671.51","184,120,008.30","182,834,010.98","283,423,013.66","283,149,016.34","280,903,734.95","279,451,437.63","279,177,466.53","280,421,267.22","281,227,069.01","280,953,071.69","280,679,074.37","281,707,445.05"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"1,334,346,308.07","1,312,008,437.32","1,406,848,328.76","1,362,667,305.28","1,252,118,197.26","1,580,169,894.63","1,548,691,136.63","1,880,409,858.56","1,763,889,383.97","1,773,154,024.07","1,801,415,824.37","1,972,251,598.77","2,005,800,874.42","2,150,689,517.37","2,285,658,912.20","2,263,888,894.36","2,396,769,210.39","2,553,198,740.34","2,583,960,310.06","2,654,690,102.91","2,608,606,193.73","2,669,407,237.90","2,770,913,721.49","2,723,375,513.26","2,782,074,322.62","2,923,195,930.99","3,002,200,160.45","2,665,479,377.23","2,681,506,372.63","2,880,987,057.57","2,750,131,736.24","2,656,066,696.74","2,481,741,496.19","2,681,531,353.99","2,536,848,040.12","2,400,467,295.52","2,355,970,744.59","2,173,985,457.79","2,062,959,853.82","2,315,540,348.83","2,427,215,593.45","2,168,533,577.15","2,203,172,991.49"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","324,403,000.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","389,283,600.00","421,283,600.00","421,283,600.00","421,283,600.00","421,283,600.00","421,283,600.00","421,283,600.00","421,283,600.00","421,283,600.00","421,283,600.00","421,283,600.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"570,194,172.38","570,194,172.38","570,194,172.38","570,230,867.78","570,230,867.78","552,660,011.05","552,660,011.05","569,599,613.84","569,599,613.84","569,599,613.84","569,599,613.84","571,398,144.32","571,398,144.32","571,398,144.32","571,398,144.32","573,216,209.07","573,216,209.07","573,216,209.07","508,335,609.07","499,950,047.20","499,950,047.20","499,950,047.20","499,950,047.20","499,950,047.20","499,950,047.20","499,950,047.20","499,950,047.20","499,950,047.20","499,950,047.20","499,950,047.20","499,950,047.20","499,950,047.20","499,950,047.20","1,409,818,047.20","1,409,818,047.20","1,409,818,047.20","1,409,818,047.20","1,409,818,047.20","1,409,818,047.20","1,476,199,044.89","1,476,199,044.89","1,476,199,044.89","1,476,199,044.89"
