科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
资本公积,,"351,684,350.00","351,684,350.00","351,684,350.00","324,514,350.00","324,514,350.00","324,514,350.00","324,514,350.00","324,514,350.00","324,514,350.00","324,514,350.00","324,514,350.00","324,514,350.00","324,514,350.00","324,514,350.00","161,494,350.00","161,494,350.00","161,494,350.00","161,494,350.00","161,494,350.00","161,494,350.00","161,494,350.00","161,494,350.00","161,494,350.00","161,494,350.00","161,494,350.00","161,490,887.27","161,490,887.27","476,430,142.46","476,430,142.46","410,332,200.90","410,332,200.90","410,332,200.90","410,332,200.90","879,173,960.52","879,173,960.52","882,103,793.12","882,103,793.12","2,128,544,859.87","2,128,544,859.88","2,128,544,859.87","1,593,940,831.88"
无形资产,"39,371,107.86","39,156,287.16","38,952,044.12","38,736,139.91","38,525,710.91","38,311,697.52","42,736,407.09","42,493,979.28","42,251,551.47","42,009,123.66","41,788,131.48","41,544,470.37","41,301,322.22","41,058,814.88","40,816,307.54","40,573,800.20","40,520,459.49","40,309,063.51","40,123,319.94","39,938,053.65","39,669,197.61","39,400,341.57","39,139,184.96","38,869,324.64","38,608,314.08","37,645,228.17","37,397,416.95","37,200,429.81","147,193,789.29","146,407,595.55","145,623,403.27","144,859,047.13","144,073,024.33","143,287,001.53","194,757,752.22","193,175,452.17","191,537,702.02","202,705,266.86","216,517,850.97","216,338,706.50","214,549,065.76","216,244,711.83"
盈余公积,"5,880,934.78","5,880,934.78","9,676,718.83","9,676,718.83","9,676,718.83","9,676,718.83","9,676,718.83","9,676,718.83","9,676,718.83","9,676,718.83","10,594,443.66","10,594,443.66","10,594,443.66","10,594,443.66","17,396,693.79","17,396,693.79","17,396,693.79","17,396,693.79","18,489,708.50","18,489,708.50","18,489,708.50","18,489,708.50","18,489,708.50","18,489,708.50","18,489,708.50","18,489,708.50","18,489,708.50","18,489,708.50","18,489,708.50","18,489,708.50","37,917,486.61","37,917,486.61","37,917,486.61","37,917,486.61","37,917,486.61","37,917,486.61","37,917,486.61","37,917,486.61","44,377,570.61","44,377,570.61","44,377,570.61","44,377,570.61"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,529,508.04","10,539,674.07","12,313,535.41","15,567,382.37","11,055,855.51","6,795,757.84","10,551,317.58","7,004,188.10"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"349,069,756.60","349,069,756.60","349,069,756.60","349,069,756.60","349,069,756.60","349,069,756.60","349,069,756.60","349,069,756.60"
未分配利润,"82,930,084.50","99,226,036.78","108,239,557.93","118,287,504.22","138,458,810.28","140,205,662.76","62,815,303.62","54,076,119.90","75,752,696.68","90,973,425.01","102,209,087.24","116,481,004.52","131,914,979.22","153,736,474.05","171,967,023.72","164,088,121.99","190,239,141.19","170,642,064.50","162,170,540.09","161,001,432.12","131,987,557.71","129,412,179.70","98,683,688.39","94,003,581.37","93,944,277.99","99,084,478.90","110,156,572.79","110,828,132.78","172,952,400.97","187,576,240.72","250,151,104.27","247,078,677.17","267,136,907.68","272,587,800.10","300,690,099.19","323,179,908.17","370,776,916.49","436,814,695.22","472,737,241.57","554,959,019.08","645,090,927.01","628,939,727.65"
长期待摊费用,,,,,,,,,,,,,,,,,,,,,,"6,176,143.75",,,,,,,,,,,,,,"175,546.66","192,196.57","181,808.26","171,419.95","161,031.64","150,643.33","140,255.02"
少数股东权益,"11,062,435.16","13,182,575.31","14,785,769.38","15,868,443.20","18,103,651.80","18,405,357.30","12,693,071.07","13,156,012.39","12,933,629.39","13,351,266.82","12,782,036.54","14,053,834.55","15,541,410.20","17,615,951.68","17,211,070.62","19,931,901.44","21,483,818.81","24,425,835.99","24,491,685.06","24,383,527.03","24,412,484.17","24,739,141.25","23,064,170.30","24,644,543.24","24,179,119.51","25,083,749.31","20,891,182.17","21,094,451.09","40,323,091.32","41,419,034.92","42,072,535.03","42,722,265.96","45,102,526.26","46,502,772.54","47,503,060.70","48,001,468.22",,,,,,
递延所得税资产,"509,131.55","625,964.50","338,119.81","377,613.38","370,301.05","681,931.30","6,967,323.62","9,324,268.40","6,931,872.96","6,157,224.58","8,903,206.41","9,074,256.49","8,261,945.76","3,819,606.11","9,939,800.20","4,571,106.06","1,567,166.19","6,015,115.64","3,022,805.41","2,099,910.64","7,232,070.08","8,147,406.82","16,494,079.61","13,842,018.20","16,191,368.08","15,053,059.82","21,429,231.44","20,783,145.36","37,337,208.90","21,958,721.26","21,923,662.92","22,870,410.06","20,075,271.46","19,483,904.14","20,417,670.07","19,082,158.12","16,483,950.89","13,989,989.36","21,424,335.39","20,927,323.31","18,626,186.09","20,440,378.35"
