科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
在建工程,"1,545,543.89","2,252,250.49","3,756,168.39","23,859,140.05","46,113,798.85","30,357,128.14","50,000.00",,,,,,,,"15,792,703.63","29,001,631.66","32,644,601.57","33,217,863.29","34,803,836.12",,,,,,,,,,,,,,,,,"4,370,222.77",,,,"378,356.07","378,356.07",,,,,,,,
其他非流动负债,,,,,,,,,,,,"4,444,592.92","11,017,197.19","4,303,332.61","6,303,332.61","7,221,028.26","2,052,414.19","5,219,253.43","5,219,253.43","10,704,459.17","8,618,575.67","13,252,459.17","6,479,624.25","8,785,239.80","10,985,239.80","10,985,239.80","10,985,239.80","7,799,783.47","7,799,783.47","7,799,783.47","7,799,783.47",,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"15,272,716.70","14,666,300.53","24,363,092.45","39,095,696.18","36,802,029.51","15,254,671.06","16,147,352.58","1,184,718.00","1,028,413.67","872,118.80","715,814.47","5,120,017.84","11,506,933.48","4,839,209.83","6,753,521.21","7,491,192.60","2,330,211.50","5,354,335.60","5,497,050.73","10,747,088.76","8,661,192.59","13,295,134.84","6,522,330.83","8,797,307.96","10,997,276.10","10,997,102.90","10,997,043.96","7,811,489.52","7,811,595.50","7,811,596.85","7,811,596.27","5,423,275.15","5,328,304.27","5,373,539.52","5,386,372.77","18,281,346.20","18,023,769.83","17,437,416.63","9,164,740.77","61,115,092.36","54,517,256.30","54,517,016.54","51,530,516.17","21,229,261.70","20,165,123.60","18,653,009.74","17,056,636.01","17,709,751.55","17,052,468.62"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"100,334,765.49","114,823,835.88","125,616,978.61","117,028,187.03","140,619,740.91","124,524,376.72","123,854,579.63","83,527,431.54","79,840,854.55","74,294,265.80","63,750,058.28","45,425,000.35","65,304,153.34","91,043,199.55","86,379,699.76","97,790,024.65","114,268,201.88","134,059,679.31","151,779,395.20","145,795,276.06","214,163,584.61","234,906,971.56","283,632,770.12","268,800,631.30","325,955,453.19","411,762,897.96","603,967,877.06","264,185,003.99","315,918,800.79","332,274,104.82","323,641,144.66","332,191,172.11","344,127,260.89","410,316,161.05","386,714,269.13","352,869,545.91","359,709,181.47","333,615,507.87","380,964,189.37","370,054,973.86","414,407,647.50","400,773,533.33","416,413,514.72","305,808,785.40","282,720,272.43","190,281,993.80","204,473,450.70","267,791,715.26","273,986,152.18"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"115,200,000.00","195,840,000.00","195,840,000.00","195,840,000.00","195,840,000.00","195,840,000.00","293,760,000.00","293,760,000.00","293,760,000.00","293,760,000.00","293,760,000.00","293,760,000.00","293,760,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","440,640,000.00","713,200,000.00","713,200,000.00","713,200,000.00","713,200,000.00","713,544,000.00","713,544,000.00","713,544,000.00","713,504,000.00","713,648,000.00","713,648,000.00","713,648,000.00","713,648,000.00","712,028,800.00","712,028,800.00","712,028,800.00","712,028,800.00","712,028,800.00","712,028,800.00","712,028,800.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"195,907,816.47","115,267,816.47","115,267,816.47","115,267,816.47","115,267,816.47","115,267,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","17,347,816.47","60,272,626.47","69,185,276.47","74,758,051.47","80,330,826.47","89,178,481.47","94,751,256.47","89,405,879.58","90,630,804.58","93,374,609.58","84,786,640.30","84,786,640.30","85,169,040.30","78,757,008.30","74,500,100.81","74,500,100.81","74,500,100.81","74,500,100.81","74,500,100.81","74,500,100.81"
无形资产,"22,289,150.29","22,128,280.75","21,990,031.22","21,807,981.69","21,680,982.66","23,346,934.66","23,201,171.07","22,738,237.92","22,632,061.37","22,493,884.82","24,491,605.66","24,834,112.89","26,175,288.06","26,171,505.31","27,879,530.45","29,065,975.67","29,519,022.38","33,907,811.35","33,391,047.06","33,301,738.37","32,742,374.89","32,183,097.09","31,444,588.30","29,899,923.59","29,341,682.80","28,849,253.22","28,897,355.76","29,138,545.53","28,533,526.47","27,928,373.60","27,581,151.88","27,106,099.41","26,658,147.02","26,768,356.42","26,173,761.96","96,987,002.33","103,161,236.09","119,936,727.02","116,816,064.64","106,400,569.40","103,246,252.68","100,624,214.96","97,735,831.83","155,628,561.43","150,637,547.78","145,360,168.54","140,514,056.92","135,303,356.84","130,045,643.10"
盈余公积,"17,087,802.42","17,087,802.42","17,087,802.42","19,665,012.21","19,665,012.21","19,665,012.21","19,665,012.21","29,177,953.34","29,177,953.34","29,177,953.34","29,177,953.34","38,561,022.32","38,561,022.32","38,561,022.32","38,561,022.32","49,087,361.93","49,087,361.93","49,087,361.93","49,087,361.93","60,748,604.57","60,748,604.57","60,748,604.57","60,748,604.57","73,491,259.92","73,491,259.92","73,491,259.92","73,491,259.92","92,875,286.79","92,875,286.79","92,875,286.79","92,875,286.79","121,731,858.04","121,731,858.04","121,731,858.04","121,731,858.04","159,126,198.44","159,126,198.44","159,126,198.44","159,126,198.44","175,861,878.49","175,861,878.49","175,861,878.49","175,861,878.49","192,784,585.72","192,784,585.72","192,784,585.72","192,784,585.72","207,516,674.80","207,516,674.80"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,094,080.00","21,094,080.00","20,891,680.00","20,891,680.00","8,601,952.00","8,601,952.00","8,601,952.00",,,,,"3,584,390.37","46,010,428.76","46,010,428.76"
商誉,,,,,,,,,,,,,,,"10,000,000.00","11,137,414.67","11,137,414.67","11,137,414.67","11,137,414.67","11,137,414.67","11,137,414.67","11,137,414.67","11,137,414.67",,,,,,,,,,,,,"60,288,349.00","60,288,349.00","60,288,349.00","60,288,349.00","60,288,349.00","60,288,349.00","60,288,349.00","60,288,349.00","70,835,809.00","70,835,809.00","70,835,809.00","70,835,809.00","65,716,543.35","65,716,543.35"
未分配利润,"66,730,377.52","68,354,083.40","89,204,198.67","107,469,576.24","123,712,337.60","143,089,909.87","117,567,895.81","139,951,870.44","154,515,859.25","148,013,961.96","167,643,207.36","195,014,852.23","211,883,618.61","72,982,603.37","94,844,056.05","125,362,322.54","144,434,710.40","128,172,327.33","150,783,556.66","184,834,137.85","205,975,132.53","236,633,194.57","243,091,466.53","277,395,586.29","305,433,514.15","304,749,194.44","352,922,579.61","414,732,717.54","456,436,545.81","515,021,679.37","265,120,263.11","347,586,941.46","402,486,240.78","399,825,351.53","502,585,173.23","609,806,792.08","668,501,014.09","625,913,535.46","663,674,824.86","668,126,056.54","709,526,663.84","760,306,122.05","797,626,159.00","813,851,753.24","857,096,577.66","901,593,647.27","925,468,856.38","944,612,685.27","970,522,263.39"
长期待摊费用,"133,222.07","69,555.92","5,889.89","67,645.21","63,267.20","66,989.17","76,486.15","55,983.13","51,265.61","46,940.60","42,615.59","38,290.58","210,359.67","191,139.07","171,918.49","453,531.24","353,477.33","327,590.10","332,464.74","214,811.43","156,741.48","208,671.53","244,201.58","208,031.70","174,982.35","165,703.84","2,098,576.02","7,109,234.94","5,737,796.85","4,366,358.76","2,994,920.67","9,149,343.22","6,920,943.55","11,787,404.30","9,445,051.49","7,002,762.78","5,325,945.80","2,936,856.00","1,731,116.89","525,377.78","1,053,828.58","1,006,397.32","939,326.52","1,356,885.56","1,778,991.50","2,716,643.39","2,453,867.09","2,701,349.54","2,615,586.83"
