科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"2,570,150.51","2,493,065.32","3,409,684.10","4,481,372.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,742,707.10","4,767,931.09","4,733,745.50"
长期股权投资,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","8,536,082.16","8,536,082.16","8,536,082.16","8,536,082.16","7,880,724.63","7,880,724.63","7,371,440.70","6,987,159.56","5,985,815.35","5,871,578.10","5,957,508.82","5,958,925.23","5,782,125.92","5,621,669.32","5,230,521.53","4,936,627.46","2,666,676.11",,,,,,,,,,,,,,,,,,,"7,339,392.90","14,003,762.95","14,003,762.95"
专项应付款,"5,500,000.00","5,500,000.00","5,500,000.00","5,500,000.00","5,500,000.00","6,000,000.00","6,000,000.00","6,800,000.00","5,500,000.00","5,500,000.00","5,500,000.00","5,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,396,994.62","46,837,288.62","50,935,719.85","53,732,409.99",,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,812,909.93","8,749,170.73",,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000.00",,
固定资产,"134,249,528.13","131,115,350.00","127,939,598.10","124,531,052.67","146,183,503.50","142,527,430.22","138,783,074.34","136,466,063.42","141,887,469.21","138,089,433.67","138,283,840.57","134,279,242.51","253,767,568.42","249,047,910.50","243,415,458.68","237,204,002.28","260,611,219.77","255,739,844.43","250,618,537.48","246,370,467.07","322,591,022.20","315,904,636.76","309,430,357.36","472,771,709.10","481,827,844.03","472,675,974.77","466,041,860.66","455,527,811.24","529,112,496.79","509,006,092.23","581,695,863.63","551,779,773.11","570,539,474.55","558,240,344.01","557,297,901.19","538,215,140.19","531,936,845.04","520,089,132.73","508,361,459.24","939,092,514.34","941,806,048.92","921,207,623.55","903,833,281.17","879,023,202.42","929,444,226.47","911,467,330.87"
递延所得税负债,"29,953.76","29,953.76","29,953.76","29,953.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"19,199,883.44","23,918,412.83","26,812,599.99","30,977,623.09","18,298,694.75","25,688,143.22","43,206,071.83","50,773,189.65","50,512,816.44","61,265,143.58","85,447,645.73","102,831,624.70","25,879,708.45","43,545,475.11","45,061,073.84","62,450,289.33","50,798,631.16","60,979,041.26","74,030,279.68","83,907,682.51","12,676,205.14","22,585,994.69","28,523,141.47","44,471,782.65","60,624,783.42","70,751,126.19","74,914,115.23","97,105,899.61","58,698,357.19","68,534,948.98","29,090,281.89","36,276,582.05","6,212,480.96","9,395,306.84","15,687,015.10","24,483,446.02","15,487,161.37","19,900,868.59","21,847,974.08","71,345,347.57","69,537,716.25","82,310,611.21","95,913,477.89","106,182,383.15","26,057,525.83","31,163,084.08"
其他非流动负债,"200,000.00","200,000.00","200,000.00","200,000.00","180,000.00","180,000.00","180,000.00","180,000.00","3,040,000.00","3,040,000.00","3,040,000.00","3,040,000.00","8,840,000.00","8,840,000.00","8,646,666.67","8,550,000.00","8,366,700.00","8,248,375.00","8,130,050.00","8,011,725.00","9,033,400.00","8,906,742.00","8,780,084.00","98,926,020.54","92,242,063.22","84,870,785.21","77,456,173.86","72,913,229.21",,,,,,,,,,,,,,,,,,
工程物资,,,,,,,"812,355.34","2,353,856.09","6,698,145.65","6,317,191.49","4,447,686.53","4,146,574.26","4,033,858.18","4,247,620.91","2,294,463.29","2,788,416.47","1,575,081.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"8,300,104.27","8,223,019.08","9,139,637.86","10,211,325.98","5,680,000.00","6,180,000.00","6,180,000.00","6,980,000.00","8,540,000.00","8,540,000.00","8,540,000.00","8,540,000.00","8,840,000.00","8,840,000.00","8,646,666.67","8,550,000.00","8,366,700.00","8,248,375.00","8,130,050.00","8,011,725.00","9,033,400.00","8,906,742.00","8,780,084.00","116,926,020.54","92,242,063.22","84,870,785.21","77,456,173.86","72,913,229.21","64,966,464.51","62,891,070.32","61,035,676.13","58,928,281.96","61,495,755.22","59,487,566.25","57,279,087.37","55,354,289.92","53,875,708.07","52,063,148.84","50,405,647.78","94,057,976.44","93,626,865.71","96,077,101.22","97,660,995.07","104,034,921.06","46,410,920.98","45,018,848.65"
固定资产清理,,,,,,,,,,,"252,154.90","252,154.90",,,,"1,230,818.43",,,,,,,,,,"1,232.51","38,071.62","353,778.12",,,"55,259.08",,,"4,727.68",,,,,"468,093.19",,,"3,498.66","61,818.19",,,
负债合计,"218,503,107.66","242,698,474.08","245,909,675.67","189,940,217.56","57,566,363.00","55,517,238.95","77,194,283.55","76,153,556.21","82,284,987.50","69,166,505.75","109,996,828.40","155,433,523.98","156,906,047.51","222,006,478.78","283,684,304.61","212,521,281.79","142,861,886.96","119,587,148.73","169,973,687.82","157,730,169.74","146,409,108.55","153,329,106.78","298,085,598.55","693,798,439.55","595,153,209.21","564,701,072.96","520,044,450.82","508,516,754.64","491,102,884.53","455,567,934.58","509,261,864.94","408,218,947.70","392,799,440.32","383,554,734.54","423,349,512.50","439,088,037.82","372,046,868.89","447,661,164.24","425,924,108.71","1,068,504,125.57","986,167,423.73","964,459,382.87","974,067,977.83","1,016,750,229.11","988,921,147.39","1,015,294,845.27"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"148,391,024.00","148,391,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","197,891,024.00","275,791,024.00","275,791,024.00","275,791,024.00","275,791,024.00","413,686,536.00","413,686,536.00","413,686,536.00","413,686,536.00","413,686,536.00","413,686,536.00","413,686,536.00","413,686,536.00","413,686,536.00","413,686,536.00","413,686,536.00","413,686,536.00","413,686,536.00","512,625,696.00","549,034,794.00","549,034,794.00","549,034,794.00","549,034,794.00","549,034,794.00","549,034,794.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"5,184,658.82","5,184,658.82","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,473,300.70","270,328,252.78","269,240,312.56","270,604,183.38","270,604,183.38","712,983,291.38","427,947,826.75","425,734,082.82","425,734,082.82","304,046,952.61","304,040,383.16","304,046,952.61","304,046,952.61","304,046,952.61","304,046,952.61","304,046,952.61","304,046,952.61","304,046,952.61","304,046,952.61","304,046,952.61","304,046,952.61","304,046,952.61","565,483,436.51","939,533,761.72","939,533,761.72","939,533,761.72","950,973,449.25","995,633,761.72","995,633,761.72"
