科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"18,813,347.00","24,221,813.29","25,331,611.41","27,697,958.63","32,499,292.63","35,055,087.76","36,771,684.36",,"-37,800.00",,,,,,,,,,,,,"163,599,000.00","190,000,000.00","180,229,190.03","170,229,190.03","160,229,190.03","150,229,190.03","623,290,830.92","1,028,115,873.24","1,010,149,505.20","1,295,767,111.40","816,373,838.92","796,855,261.67","620,659,514.70","565,193,410.91","510,521,214.59","467,433,383.30","693,740,618.53","758,984,288.59","383,606,972.82","361,795,618.11","595,269,355.00","599,038,573.56","133,833,159.72","82,125,059.45",,"147,655,791.75",,
长期股权投资,"465,746,233.48","225,976,986.37","241,202,194.82","276,392,938.54","276,432,799.14","317,488,734.21","355,368,065.06","327,789,973.95","92,705,323.95","75,578,876.11","74,047,204.48","71,163,459.33","70,949,469.38","301,198,087.07","290,976,062.81","253,269,839.41","237,917,383.16","220,888,971.90","211,232,484.42","198,954,213.38","184,508,526.56","204,281,487.09","191,613,097.77","191,480,715.28","178,977,482.96","169,819,540.71","156,692,920.09","138,353,859.60","126,399,111.24","51,244,379.93","30,134,076.66","2,619,015.09","2,761,170.83","3,559,033.66","4,569,442.93","5,153,529.36","5,463,918.05","6,346,173.27","10,228,131.40","10,000,510.78","10,600,510.78","9,970,603.57","9,970,603.57","9,787,584.95","9,144,045.78","9,170,753.98","40,884,124.53","105,528,112.33","105,355,730.24"
专项应付款,,,,,,,,,,,,,"60,000,000.00","60,929,000.00","62,929,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,"30,740,003.29","30,536,958.55","30,333,913.81","30,130,869.07","29,927,824.33","29,724,779.59","29,521,734.85","29,318,690.11","29,115,645.37","28,912,600.63","28,709,555.89","28,506,511.15","28,303,466.41","28,100,421.67","27,897,376.93","27,694,332.19","27,491,287.45","27,288,242.71","27,085,197.97","26,882,153.23","26,679,108.49","26,476,063.75","26,273,019.01","26,069,974.27","25,866,929.53","25,663,884.79","25,460,840.05","25,257,795.31","25,054,750.57","24,851,705.83","24,648,661.09","24,445,616.35","24,242,571.61",,,,,,,"5,779,030.98","5,779,030.98","5,779,030.98","5,779,030.98","5,260,079.46","5,130,341.58","5,000,603.70","4,870,865.82","4,741,127.94","4,611,390.06"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,000,000.00",,
固定资产,"2,085,408,961.16","2,055,219,089.43","2,007,542,345.49","1,999,316,111.45","1,942,185,074.96","1,920,985,612.92","1,867,435,594.85","1,994,550,689.19","2,954,807,344.47","2,929,855,963.11","3,136,212,416.86","3,102,052,694.32","3,072,022,493.90","2,071,413,641.47","2,019,024,271.80","2,269,534,315.98","2,221,387,542.19","2,173,373,058.75","2,125,147,739.10","2,497,379,365.06","2,443,650,822.09","2,339,536,311.12","2,330,985,104.54","2,446,634,551.05","2,386,538,849.85","2,334,509,030.72","2,279,643,293.66","4,777,357,015.59","4,694,530,017.77","5,043,868,474.93","4,932,835,516.09","4,583,404,767.78","4,474,371,627.24","1,166,522,109.13","1,135,858,044.44","5,926,337,329.29","5,878,414,015.69","5,755,827,574.97","5,681,630,514.68","5,745,608,180.80","5,660,183,253.51","5,793,394,584.10","5,705,100,067.72","4,617,819,561.71","4,551,503,003.24","4,481,857,650.65","4,416,727,602.56","4,459,411,297.29","4,398,468,607.24"
递延所得税负债,,,,213.12,213.12,213.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,161,766.04"
在建工程,"168,573,880.71","341,773,983.71","416,030,202.84","435,113,486.56","531,484,573.89","535,326,082.56","645,033,460.22","801,923,225.46","934,938,417.52","1,175,110,366.36","1,168,468,644.47","1,293,602,311.36","1,355,040,103.53","1,501,185,570.71","1,637,098,921.19","1,585,629,111.89","1,804,030,885.62","1,901,953,462.05","2,047,426,568.46","2,127,801,697.06","2,382,461,556.39","3,416,626,474.81","3,780,298,630.80","4,783,133,094.90","5,207,172,328.79","5,698,883,505.64","6,076,452,873.42","3,824,942,751.06","4,084,836,342.32","4,381,040,078.18","4,596,351,108.96","4,924,090,528.84","5,042,909,288.92","5,073,435,419.43","5,225,897,562.25","336,891,856.67","330,012,026.69","403,190,202.21","420,117,683.54","289,264,826.34","295,056,996.79","89,795,345.45","87,245,823.64","71,805,772.13","83,183,965.26","87,183,597.57","112,617,574.98","18,454,200.54","19,368,500.49"
其他非流动负债,"4,000,000.00","3,400,000.00","3,400,000.00","4,400,000.00","9,400,000.00","8,800,000.00","10,950,000.00","16,700,000.00","16,700,000.00","16,700,000.00","16,700,000.00","17,269,488.09","17,269,488.09","15,705,059.51","15,705,059.51","87,950,297.60","87,718,154.75","91,939,583.32","95,634,226.19","95,528,869.06","95,296,726.21","96,518,154.79","99,886,011.94","102,599,107.19","102,349,107.20","103,299,107.21","101,372,678.65","102,837,244.29","102,387,244.30","151,937,244.31","158,767,244.32","74,507,612.65","73,593,550.74","12,697,572.28",,,,,,,,,,,,,,,
工程物资,,"196,677,416.71","270,066,037.16","324,375,150.45","321,150,150.09","338,461,667.67","348,138,751.44","336,971,635.77","344,135,102.37","375,917,011.62","416,561,856.39","361,097,659.47","357,540,021.74","352,854,448.53","371,331,804.76","372,973,136.85","375,823,149.20","481,779,311.75","1,136,281,237.63","1,104,868,700.56","1,206,718,561.78","1,163,305,892.10","950,907,345.64","509,873,055.04","355,209,980.67","305,626,856.00","285,005,371.56","136,151,968.82","122,998,583.99","106,125,916.40","119,269,696.25","48,497,777.65","50,723,055.04","51,300,876.76","7,546,184.61","7,546,184.61","7,546,184.61","7,546,184.61","7,546,184.61","7,546,184.61","7,546,184.61","7,546,184.61","7,546,184.61","7,546,184.61","7,546,184.61","7,546,184.61",,,
非流动负债合计,"544,020,893.82","520,389,161.01","484,305,981.44","395,597,984.10","399,006,696.13","397,383,428.76","378,273,529.35","296,079,741.19","665,809,640.98","890,353,261.54","925,283,522.64","797,838,409.30","1,527,808,032.20","1,754,892,116.32","2,195,743,541.98","2,149,126,978.15","2,302,258,834.64","2,441,939,583.32","2,705,160,777.67","3,154,278,869.06","3,656,046,726.21","4,275,867,154.79","4,681,636,011.94","4,373,828,297.22","4,879,370,297.23","5,126,320,297.24","5,114,393,868.68","5,063,370,075.21","5,544,305,117.54","5,562,722,082.84","5,962,069,689.05","5,056,131,577.25","5,011,297,152.39","3,368,921,247.33","3,309,251,679.94","3,505,538,022.35","3,444,934,021.47","3,727,787,008.43","3,790,186,459.03","3,319,033,751.62","3,394,089,824.79","3,624,533,009.07","3,623,280,992.02","2,971,316,186.34","2,912,896,442.99","2,806,877,955.63","2,979,364,104.48","1,105,110,264.92","1,048,155,462.32"
