科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,"37,000,000.00","37,000,000.00","40,000,000.00","40,000,000.00","96,000,000.00","69,500,000.00","39,824,298.94","39,824,298.94","40,689,358.95","40,689,358.95","41,343,603.32","41,343,603.32","42,011,791.87","42,011,791.87","43,042,998.92","41,342,998.92","41,131,286.70","43,531,286.70","43,229,959.04","43,229,959.04","43,731,866.15","43,731,866.15","43,749,676.36","43,749,676.36","43,728,906.38","9,473,679.96","8,169,306.58","8,169,306.58","8,095,748.18","8,095,748.19","8,181,348.86","5,999,898.65","6,026,239.38","4,686,239.38","5,578,610.03","5,578,610.02","5,648,551.12","5,648,551.12","5,627,191.80","5,627,191.80"
专项应付款,"100,000.00","100,000.00","47,494.80","40,994.80","38,902.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,102,039.39","20,348,852.42","20,098,486.91","19,848,121.41","19,597,755.92","19,347,390.42","19,097,024.93","18,846,659.44","18,596,293.94","18,345,928.45","18,095,562.96","17,845,197.48","17,594,832.00","17,344,466.52","17,094,101.04","16,843,735.56"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"89,555,225.09","87,473,163.71","87,224,543.75","105,599,745.39","104,962,370.38","196,578,241.19","195,071,797.56","189,033,576.93","184,098,711.24","183,001,718.84","293,772,362.37","293,809,579.62","303,431,262.15","373,045,997.13","371,065,855.07","381,313,830.49","378,071,074.93","372,708,083.73","370,145,195.85","378,509,916.98","369,697,065.13","375,979,460.89","371,956,438.50","403,732,792.27","398,578,267.30","549,277,771.87","608,790,454.45","604,362,662.27","593,979,676.39","575,295,598.31","565,607,130.83","633,289,412.74","694,347,823.00","676,446,006.97","837,675,753.30","788,120,059.82","905,038,401.86","887,205,947.84","872,038,624.94","865,746,042.60","850,800,539.33","995,077,392.32","1,222,579,082.88","1,193,692,956.68","1,206,178,542.19"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.23,320.12,320.12,320.12,320.12,247.85,247.85,247.85,247.85,175.58,175.58
在建工程,"2,370,008.88","26,607,125.92","31,223,599.78","3,738,408.06","3,913,667.19","2,531,392.00","467,921.50","172,544.00","1,946,481.57","5,346,598.42","7,829,750.38","28,098,805.04","52,786,929.53","8,684,935.93","9,361,274.80","5,174,381.71","3,754,999.12","9,265,553.97","10,572,006.32","7,861,820.81","14,160,655.66","36,176,868.28","83,672,823.74","146,491,150.10","173,544,801.76","75,041,582.96","15,872,245.29","87,729,422.05","100,486,415.66","85,057,399.42","139,171,602.13","173,439,461.38","133,434,861.60","181,753,179.30","107,730,160.42","139,891,095.08","26,530,084.69","31,831,163.64","145,703,889.98","286,241,648.31","330,443,573.03","251,594,702.19","57,723,112.76","301,740,805.62","308,606,562.99"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,"18,741,600.00","20,741,600.00","24,752,800.00","24,002,362.03","31,749,963.40","32,749,963.40","31,988,484.22","30,511,091.98","29,853,154.47","35,143,923.49","34,379,046.04",,,,,,,,,,,,,,
工程物资,,,,,,"707,123.85","2,007,772.15","2,366,831.76","3,420,250.57","72,621.03","449,317.09","1,438,545.27","1,161,062.69","2,785,304.03","2,232,205.14",,,,,,,"358,632.48",,"11,909.82","296,806.72","197,392.14",,,,,"3,188.03","54,483.04","66,656.47","107,565.24","91,765.94","72,311.17","30,220.19","18,612.54","382,885.12","1,952,229.21","6,742,651.89","3,914,216.50","47,360.17","1,892,734.47","2,871,476.73"
非流动负债合计,"100,000.00","100,000.00","47,494.80","40,994.80","38,902.49",,,,,"30,000,000.00","60,000,000.00","70,000,000.00","100,000,000.00","90,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","20,000,000.00","20,000,000.00","18,600,000.00","37,341,600.00","39,341,600.00","74,752,800.00","73,002,362.03","80,749,963.40","181,749,963.40","179,988,484.22","178,511,091.98","177,853,154.47","180,143,923.49","216,279,046.04","126,651,028.33","125,876,397.76","33,020,100.54","35,014,070.22","34,162,770.67","35,445,056.79","41,926,048.21","134,039,198.10","248,671,285.61","273,568,128.98","264,947,162.58","173,811,709.14","90,557,626.45","91,276,544.95"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"162,771,871.74","175,222,445.02","163,489,231.03","123,565,640.01","248,374,645.70","342,509,545.82","338,109,201.16","216,871,693.38","199,044,068.50","321,422,029.09","539,578,165.16","449,199,110.59","489,438,808.03","555,893,224.85","550,081,333.65","555,839,246.13","585,861,629.92","647,669,733.15","659,177,239.64","564,933,880.70","619,830,326.09","547,983,828.90","689,286,525.13","670,698,359.32","705,548,583.41","866,122,839.35","963,193,870.38","946,315,137.10","954,120,237.18","1,070,581,692.18","1,048,011,313.13","892,079,952.65","754,798,315.98","923,955,894.76","962,288,470.28","643,643,254.32","852,457,727.30","1,047,048,440.72","1,122,689,509.02","859,079,017.97","1,034,457,035.79","1,193,902,237.31","1,017,188,974.57","614,039,355.63","574,837,292.40"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"68,750,000.00","68,750,000.00","68,750,000.00","68,750,000.00","68,750,000.00","68,750,000.00","68,750,000.00","68,750,000.00","82,150,000.00","98,580,000.00","98,580,000.00","98,580,000.00","98,580,000.00","167,586,000.00","167,586,000.00","167,586,000.00","167,586,000.00","301,654,800.00","301,654,800.00","301,654,800.00","301,654,800.00","340,154,800.00","340,154,800.00","340,154,800.00","340,154,800.00","340,154,800.00","340,154,800.00","340,154,800.00","340,154,800.00","340,154,800.00","340,154,800.00","363,798,864.00","363,798,864.00","618,458,068.00","618,458,068.00","618,458,068.00","618,458,068.00","618,458,068.00","618,458,068.00","641,594,661.00","641,594,661.00","1,090,710,923.00","1,090,710,923.00","1,090,710,923.00","1,090,710,923.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"157,839,575.39","157,839,575.39","157,839,575.39","157,839,575.39","157,839,575.39","146,854,397.27","146,854,397.27","146,854,397.27","242,056,997.27","225,626,997.27","225,626,997.27","225,626,997.27","225,626,997.27","176,336,997.27","176,336,997.27","176,336,997.27","176,336,997.27","75,785,397.27","75,785,397.27","75,785,397.27","75,785,397.27","330,167,472.27","330,167,472.27","330,167,472.27","330,167,472.27","330,167,472.27","330,167,472.27","330,167,472.27","330,167,472.27","330,167,472.27","330,167,472.27","632,422,954.75","632,422,954.75","450,523,522.75","450,523,522.75","449,729,084.89","449,729,084.89","449,729,084.89","449,729,084.89","960,235,888.15","960,235,888.15","511,119,626.15","511,119,626.15","511,119,626.15","511,119,626.15"
无形资产,,,,"10,954,810.54","10,893,266.65","10,831,722.76","10,770,178.87","10,708,634.98","10,647,091.09","10,585,547.20","15,846,562.64","29,247,499.82","29,121,388.47","28,987,575.57","28,791,357.67","30,654,709.76","30,504,525.67","35,419,771.97","35,506,943.10","68,737,853.07","68,327,164.55","69,298,667.70","68,881,982.23","68,752,047.62","68,369,340.89","67,970,679.75","67,521,014.34","67,318,729.82","114,287,111.65","89,524,775.83","88,989,710.59","88,471,896.51","87,911,438.25","87,467,477.13","86,898,267.42","80,359,632.98","79,754,929.52","122,875,403.39","122,132,005.22","121,313,144.27","120,508,456.94","119,703,769.61","119,018,082.28","128,496,194.48","127,645,332.02"
